case,target,spearman,spearman_null95,pearson,pearson_null95,best_W
cache,tv,0.183,0.087,0.542,0.104,32
cache,maxstep,0.51,0.157,0.758,0.137,32
cache,range,0.605,0.215,0.83,0.162,64
cache,level,0.329,0.147,0.789,0.139,32
conv_softmax,tv,0.441,0.362,0.602,0.513,512
conv_softmax,maxstep,0.413,0.217,0.282,0.143,16
conv_softmax,range,0.425,0.234,0.359,0.19,16
conv_softmax,level,0.563,0.308,0.578,0.346,32
coremark,tv,0.309,0.089,0.337,0.082,512
coremark,maxstep,0.481,0.127,0.014,0.052,512
coremark,range,0.335,0.073,0.19,0.027,16
coremark,level,0.794,0.28,0.816,0.235,512
csr,tv,0.118,0.098,0.705,0.088,8
csr,maxstep,0.5,0.363,0.92,0.218,16
csr,range,0.481,0.378,0.913,0.233,16
csr,level,0.205,0.139,0.813,0.117,16
debug,tv,0.278,0.137,0.321,0.185,256
debug,maxstep,0.533,0.158,0.642,0.154,256
debug,range,0.609,0.192,0.647,0.16,256
debug,level,0.57,0.354,0.641,0.386,256
exception,tv,0.26,0.126,0.647,0.189,32
exception,maxstep,0.632,0.211,0.778,0.236,64
exception,range,0.635,0.206,0.784,0.25,64
exception,level,0.332,0.112,0.705,0.184,16
interrupt,tv,0.034,0.032,0.09,0.019,1
interrupt,maxstep,0.53,0.271,0.673,0.173,16
interrupt,range,0.539,0.284,0.742,0.197,16
interrupt,level,0.042,0.057,0.302,0.044,2
ISA_FP,tv,0.266,0.057,0.328,0.072,64
ISA_FP,maxstep,0.807,0.156,0.75,0.143,128
ISA_FP,range,0.852,0.17,0.815,0.157,128
ISA_FP,level,0.799,0.139,0.851,0.142,128
ISA_INT,tv,0.065,0.032,0.183,0.038,16
ISA_INT,maxstep,0.445,0.111,0.34,0.055,32
ISA_INT,range,0.477,0.121,0.366,0.058,32
ISA_INT,level,0.285,0.093,0.434,0.079,32
ISA_LS,tv,0.121,0.042,0.173,0.062,64
ISA_LS,maxstep,0.414,0.06,0.296,0.065,32
ISA_LS,range,0.571,0.085,0.351,0.057,128
ISA_LS,level,0.335,0.067,0.374,0.06,64
ISA_THEAD,tv,0.086,0.051,0.075,0.052,64
ISA_THEAD,maxstep,0.397,0.136,0.219,0.073,16
ISA_THEAD,range,0.426,0.152,0.253,0.087,16
ISA_THEAD,level,0.267,0.129,0.247,0.106,32
MMU,tv,0.022,0.029,0.077,0.02,1
MMU,maxstep,0.624,0.262,0.688,0.223,32
MMU,range,0.613,0.257,0.758,0.244,32
MMU,level,0.285,0.167,0.592,0.14,16
