signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_cp0_top/biu_cp0_coreid[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_me_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ms_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_mt_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_rvba[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_se_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ss_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_st_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_lpmd_b[1:0],1,1.4069644741470277e-05,1.6444,4.403357055198955,1.0,0.03265217470225178,2
x_aq_cp0_top/cp0_dtu_addr[11:0],1962,0.027604642982764684,0.4570508205912335,1.2238858887344197,0.3399592252803262,0.13016440332506615,6
x_aq_cp0_top/cp0_dtu_debug_info[5:0],3,4.220893422441084e-05,0.6848000000000001,1.8337502501825862,0.6666666666666666,-0.002417210016043405,1
x_aq_cp0_top/cp0_dtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_mexpt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_pcfifo_frz,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_rreg,2,2.8139289482940555e-05,0.9101200000000003,2.4371097805142754,1.0,0.0031219795528641603,1
x_aq_cp0_top/cp0_dtu_satp[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_wdata[63:0],1326,0.01865634892718959,0.4640293288084464,1.2425728647700731,0.35671191553544496,0.024015113638672814,7
x_aq_cp0_top/cp0_dtu_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_index[11:0],1962,0.027604642982764684,0.4570508205912335,1.2238858887344197,0.3399592252803262,0.13016440332506615,6
x_aq_cp0_top/cp0_hpcp_int_off_vld,2,2.8139289482940555e-05,0.8976200000000001,2.4036374117536403,0.5,0.005168550684214658,1
x_aq_cp0_top/cp0_hpcp_mcntwen[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdm,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmds,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdu,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_sync_stall_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_wdata[63:0],1326,0.01865634892718959,0.4640293288084464,1.2425728647700731,0.35671191553544496,0.024015113638672814,7
x_aq_cp0_top/cp0_hpcp_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_cskyee,1,1.4069644741470277e-05,1.6444,4.403357055198955,1.0,0.032652174702254316,1
x_aq_cp0_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_frm[2:0],152,0.002138586000703482,0.44398230263157895,1.1888911485503775,0.5328947368421053,0.009551978387731102,3
x_aq_cp0_top/cp0_idu_fs[1:0],3,4.220893422441084e-05,0.7166433333333334,1.9190199938546766,0.6666666666666666,-0.004169284281120401,2
x_aq_cp0_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_issue_stall,2,2.8139289482940555e-05,0.48516000000000015,1.299156354232745,1.0,0.003102995844252802,1
x_aq_cp0_top/cp0_idu_ucme,1,1.4069644741470277e-05,1.6444,4.403357055198955,1.0,0.032652174702254316,1
x_aq_cp0_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_bht_en,1,1.4069644741470277e-05,1.1654000000000002,3.1206958842914516,1.0,-0.005007679488283548,1
x_aq_cp0_top/cp0_ifu_bht_inv,4,5.627857896588111e-05,0.4273225,1.1442797039772898,0.25,0.004198028219748081,1
x_aq_cp0_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_btb_en,1,1.4069644741470277e-05,1.1654000000000002,3.1206958842914516,1.0,-0.005007679488283548,1
x_aq_cp0_top/cp0_ifu_icache_en,1,1.4069644741470277e-05,1.1654000000000002,3.1206958842914516,1.0,-0.005007679488283548,1
x_aq_cp0_top/cp0_ifu_icache_inv_addr[63:0],896,0.012606401688357369,0.4618348660714286,1.2366965554928786,0.3950892857142857,0.06229648004062115,6
x_aq_cp0_top/cp0_ifu_icache_inv_req,4,5.627857896588111e-05,0.39820999999999995,1.0663225571337727,0.0,0.0011917735287852228,1
x_aq_cp0_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
