signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_cp0_top/biu_cp0_coreid[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_me_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ms_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_mt_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_rvba[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_se_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ss_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_st_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_lpmd_b[1:0],1,3.330114222917846e-05,1.6444,4.428858411596905,1.0,0.05012138250008423,2
x_aq_cp0_top/cp0_dtu_addr[11:0],80,0.002664091378334277,0.75034975,2.020915106985609,0.575,0.01980164319241166,6
x_aq_cp0_top/cp0_dtu_debug_info[5:0],3,9.990342668753538e-05,0.6848000000000001,1.844370129081465,1.0,-0.011560511977000722,1
x_aq_cp0_top/cp0_dtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_mexpt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_pcfifo_frz,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_rreg,2,6.660228445835692e-05,0.9101200000000003,2.4512239221373,1.0,0.01023000196368565,1
x_aq_cp0_top/cp0_dtu_satp[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_wdata[63:0],62,0.0020646708182090645,0.8495651612903224,2.288131726331991,0.6129032258064516,0.1574701462832989,7
x_aq_cp0_top/cp0_dtu_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_index[11:0],80,0.002664091378334277,0.75034975,2.020915106985609,0.575,0.01980164319241166,6
x_aq_cp0_top/cp0_hpcp_int_off_vld,2,6.660228445835692e-05,0.8976200000000001,2.4175577033675593,0.5,0.014152318474745542,1
x_aq_cp0_top/cp0_hpcp_mcntwen[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdm,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmds,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdu,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_sync_stall_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_wdata[63:0],62,0.0020646708182090645,0.8495651612903224,2.288131726331991,0.6129032258064516,0.1574701462832989,7
x_aq_cp0_top/cp0_hpcp_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_cskyee,1,3.330114222917846e-05,1.6444,4.428858411596905,1.0,0.05012138250008125,1
x_aq_cp0_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_fs[1:0],3,9.990342668753538e-05,0.5207200000000002,1.4024538750223432,0.0,0.003949565238253543,2
x_aq_cp0_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_issue_stall,2,6.660228445835692e-05,0.48516000000000015,1.3066802158661852,1.0,0.010197522802667796,1
x_aq_cp0_top/cp0_idu_ucme,1,3.330114222917846e-05,1.6444,4.428858411596905,1.0,0.05012138250008125,1
x_aq_cp0_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_bht_en,1,3.330114222917846e-05,1.1654000000000002,3.138768908340449,1.0,-0.01631267847433923,1
x_aq_cp0_top/cp0_ifu_bht_inv,4,0.00013320456891671384,0.4273225,1.1509066216185955,0.5,0.014322513389490518,1
x_aq_cp0_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_btb_en,1,3.330114222917846e-05,1.1654000000000002,3.138768908340449,1.0,-0.01631267847433923,1
x_aq_cp0_top/cp0_ifu_icache_en,1,3.330114222917846e-05,1.1654000000000002,3.138768908340449,1.0,-0.01631267847433923,1
x_aq_cp0_top/cp0_ifu_icache_inv_addr[63:0],30,0.0009990342668753538,1.1299476666666668,3.0432852275486275,0.7666666666666667,0.14469209730174282,63
x_aq_cp0_top/cp0_ifu_icache_inv_req,4,0.00013320456891671384,0.39820999999999995,1.0724979981038696,0.0,0.005612952470364494,1
x_aq_cp0_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_icache_pref_en,1,3.330114222917846e-05,0.6600000000000004,1.7775763510423004,0.0,-0.017107711227373607,1
x_aq_cp0_top/cp0_ifu_icache_read_index[13:0],0,0.0,0.0,0.0,0.0,,0
