signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_cp0_top/biu_cp0_coreid[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_me_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ms_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_mt_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_rvba[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_se_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ss_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_st_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_lpmd_b[1:0],1,1.1992564609941836e-05,1.6444,4.452117031690149,1.0,0.03032674196837541,2
x_aq_cp0_top/cp0_dtu_addr[11:0],227,0.002722312166456797,0.49847255506607924,1.3495853516418128,0.5418502202643172,0.015683805025491552,7
x_aq_cp0_top/cp0_dtu_debug_info[5:0],13,0.00015590333992924387,0.4899392307692309,1.3264818741187443,0.6153846153846154,-0.0008155356814448862,3
x_aq_cp0_top/cp0_dtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_mexpt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_pcfifo_frz,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_rreg,2,2.3985129219883673e-05,0.9114800000000002,2.4677789054031485,1.0,0.008836597711932702,1
x_aq_cp0_top/cp0_dtu_satp[63:0],6,7.195538765965101e-05,0.4777900000000001,1.2935885408484775,0.5,-0.014553131307377646,2
x_aq_cp0_top/cp0_dtu_wdata[63:0],134,0.001607003657732206,0.5311184328358209,1.4379721604676106,0.5223880597014925,0.05329773240971116,8
x_aq_cp0_top/cp0_dtu_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_index[11:0],227,0.002722312166456797,0.49847255506607924,1.3495853516418128,0.5418502202643172,0.015683805025491552,7
x_aq_cp0_top/cp0_hpcp_int_off_vld,3,3.597769382982551e-05,0.8825866666666666,2.3895518916378635,0.6666666666666666,-0.017704507355765477,1
x_aq_cp0_top/cp0_hpcp_mcntwen[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdm,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmds,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdu,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_sync_stall_vld,12,0.00014391077531930203,0.31672083333333334,0.8575031722053212,0.5,0.0031067442766689653,1
x_aq_cp0_top/cp0_hpcp_wdata[63:0],134,0.001607003657732206,0.5311184328358209,1.4379721604676106,0.5223880597014925,0.05329773240971116,8
x_aq_cp0_top/cp0_hpcp_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_cskyee,1,1.1992564609941836e-05,1.6444,4.452117031690149,1.0,0.03032674196837378,1
x_aq_cp0_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_fs[1:0],1,1.1992564609941836e-05,0.5820000000000001,1.5757310340815294,0.0,-0.007459187693941363,1
x_aq_cp0_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_issue_stall,14,0.0001678959045391857,0.4370564285714286,1.1833047734447375,0.6428571428571429,0.008525366476779256,1
x_aq_cp0_top/cp0_idu_ucme,1,1.1992564609941836e-05,1.6444,4.452117031690149,1.0,0.03032674196837378,1
x_aq_cp0_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_bht_en,1,1.1992564609941836e-05,1.1654000000000002,3.1552524864581004,1.0,-0.013792909786893185,1
x_aq_cp0_top/cp0_ifu_bht_inv,4,4.7970258439767345e-05,0.4273225,1.1569507299163302,0.5,0.012328698630330101,1
x_aq_cp0_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_btb_en,1,1.1992564609941836e-05,1.1654000000000002,3.1552524864581004,1.0,-0.013792909786893185,1
x_aq_cp0_top/cp0_ifu_icache_en,1,1.1992564609941836e-05,1.1654000000000002,3.1552524864581004,1.0,-0.013792909786893185,1
x_aq_cp0_top/cp0_ifu_icache_inv_addr[63:0],48,0.0005756431012772081,0.6415293750000001,1.736903342718947,0.6041666666666666,0.01403921640514182,7
x_aq_cp0_top/cp0_ifu_icache_inv_req,6,7.195538765965101e-05,0.41839833333333326,1.1327890694868068,0.16666666666666666,0.006116610220048467,1
x_aq_cp0_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
