signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_cp0_top/biu_cp0_coreid[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_me_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ms_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_mt_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_rvba[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_se_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ss_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_st_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_lpmd_b[1:0],1,4.729921483303377e-05,1.6444,4.431881409942823,1.0,0.06071966546617241,2
x_aq_cp0_top/cp0_dtu_addr[11:0],18,0.0008513858669946079,0.7937161111111113,2.1391727545642465,0.7777777777777778,0.016797685135542625,6
x_aq_cp0_top/cp0_dtu_debug_info[5:0],3,0.00014189764449910132,0.6848000000000001,1.8456290376604512,1.0,-0.014137976913751757,1
x_aq_cp0_top/cp0_dtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_mexpt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_pcfifo_frz,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_rreg,2,9.459842966606754e-05,0.9101200000000003,2.4528970498766505,1.0,0.012423748223725939,1
x_aq_cp0_top/cp0_dtu_satp[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_wdata[63:0],18,0.0008513858669946079,0.7937161111111113,2.1391727545642465,0.7777777777777778,0.04006372891697793,7
x_aq_cp0_top/cp0_dtu_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_index[11:0],18,0.0008513858669946079,0.7937161111111113,2.1391727545642465,0.7777777777777778,0.016797685135542625,6
x_aq_cp0_top/cp0_hpcp_int_off_vld,2,9.459842966606754e-05,0.8976200000000001,2.41920785161328,0.5,0.017238624609674034,1
x_aq_cp0_top/cp0_hpcp_mcntwen[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdm,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmds,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdu,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_sync_stall_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_wdata[63:0],18,0.0008513858669946079,0.7937161111111113,2.1391727545642465,0.7777777777777778,0.04006372891697793,7
x_aq_cp0_top/cp0_hpcp_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_cskyee,1,4.729921483303377e-05,1.6444,4.431881409942823,1.0,0.060719665466168755,1
x_aq_cp0_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_fs[1:0],3,0.00014189764449910132,0.5232600000000001,1.4102567906632706,0.3333333333333333,-0.005748918568723288,2
x_aq_cp0_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_issue_stall,2,9.459842966606754e-05,0.48516000000000015,1.3075721143565195,1.0,0.012384047968973362,1
x_aq_cp0_top/cp0_idu_ucme,1,4.729921483303377e-05,1.6444,4.431881409942823,1.0,0.060719665466168755,1
x_aq_cp0_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_bht_en,1,4.729921483303377e-05,1.1654000000000002,3.1409113324904934,1.0,-0.020033052398969284,1
x_aq_cp0_top/cp0_ifu_bht_inv,4,0.00018919685933213508,0.4273225,1.1516921939919071,0.5,0.017533479537559033,1
x_aq_cp0_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_btb_en,1,4.729921483303377e-05,1.1654000000000002,3.1409113324904934,1.0,-0.020033052398969284,1
x_aq_cp0_top/cp0_ifu_icache_en,1,4.729921483303377e-05,1.1654000000000002,3.1409113324904934,1.0,-0.020033052398969284,1
x_aq_cp0_top/cp0_ifu_icache_inv_addr[63:0],18,0.0008513858669946079,0.7937161111111113,2.1391727545642465,0.7777777777777778,0.047448743625866215,6
x_aq_cp0_top/cp0_ifu_icache_inv_req,4,0.00018919685933213508,0.39820999999999995,1.0732300512365187,0.0,0.006781396060845,1
x_aq_cp0_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_icache_pref_en,1,4.729921483303377e-05,0.6600000000000004,1.7787896683059263,0.0,-0.02101900244379841,1
