signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_cp0_top/biu_cp0_coreid[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_me_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ms_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_mt_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_rvba[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_se_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ss_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_st_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_lpmd_b[1:0],1,0.00023629489603024575,1.6444,4.393912523475744,1.0,0.13282543670708166,2
x_aq_cp0_top/cp0_dtu_addr[11:0],62,0.014650283553875236,0.5381298387096777,1.4379077095368733,0.6451612903225806,0.025410824933784583,7
x_aq_cp0_top/cp0_dtu_debug_info[5:0],13,0.0030718336483931945,0.36872307692307715,0.9852450409795783,0.46153846153846156,-0.01188682963302713,3
x_aq_cp0_top/cp0_dtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_mexpt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_pcfifo_frz,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_rreg,2,0.0004725897920604915,0.9101200000000003,2.431882550392693,1.0,0.004361376793285674,1
x_aq_cp0_top/cp0_dtu_satp[63:0],6,0.0014177693761814746,0.4009933333333333,1.0714726521306353,0.5,0.0019731409187234185,2
x_aq_cp0_top/cp0_dtu_wdata[63:0],54,0.01275992438563327,0.5213240740740742,1.3930019325367737,0.6666666666666666,0.07862161274667817,8
x_aq_cp0_top/cp0_dtu_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_index[11:0],62,0.014650283553875236,0.5381298387096777,1.4379077095368733,0.6451612903225806,0.025410824933784583,7
x_aq_cp0_top/cp0_hpcp_int_off_vld,3,0.0007088846880907373,0.6308466666666667,1.6856513433833584,0.6666666666666666,0.011053883091643398,1
x_aq_cp0_top/cp0_hpcp_mcntwen[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdm,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmds,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdu,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_sync_stall_vld,6,0.0014177693761814746,0.39996333333333345,1.0687204446998522,0.3333333333333333,-0.018515005424734055,1
x_aq_cp0_top/cp0_hpcp_wdata[63:0],54,0.01275992438563327,0.5213240740740742,1.3930019325367737,0.6666666666666666,0.07862161274667817,8
x_aq_cp0_top/cp0_hpcp_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_cskyee,3,0.0007088846880907373,0.668166666666667,1.7853721019433901,1.0,0.05057049967857515,1
x_aq_cp0_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_fs[1:0],1,0.00023629489603024575,0.5820000000000001,1.555130800695015,0.0,0.003956325861585049,1
x_aq_cp0_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_issue_stall,8,0.001890359168241966,0.40344250000000004,1.0780169382463893,0.5,-0.00463322805407398,1
x_aq_cp0_top/cp0_idu_ucme,1,0.00023629489603024575,1.6444,4.393912523475744,1.0,0.1328254367070838,1
x_aq_cp0_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_bht_en,1,0.00023629489603024575,1.1654000000000002,3.1140024658590564,1.0,-0.009956038179480776,1
x_aq_cp0_top/cp0_ifu_bht_inv,4,0.000945179584120983,0.4273225,1.1418253979037725,0.5,0.0061139229821366645,1
x_aq_cp0_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_btb_en,1,0.00023629489603024575,1.1654000000000002,3.1140024658590564,1.0,-0.009956038179480776,1
x_aq_cp0_top/cp0_ifu_icache_en,1,0.00023629489603024575,1.1654000000000002,3.1140024658590564,1.0,-0.009956038179480776,1
x_aq_cp0_top/cp0_ifu_icache_inv_addr[63:0],44,0.010396975425330813,0.4756409090909093,1.2709344120237982,0.7272727272727273,0.055342250457082694,8
x_aq_cp0_top/cp0_ifu_icache_inv_req,6,0.0014177693761814746,0.4246733333333333,1.1347467025781575,0.0,-0.007711670081295734,1
x_aq_cp0_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
