signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_cp0_top/biu_cp0_coreid[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_me_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ms_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_mt_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_rvba[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_se_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ss_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_st_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_lpmd_b[1:0],1,0.00012030798845043312,1.6444,4.391714372447158,1.0,0.09407191170997795,2
x_aq_cp0_top/cp0_dtu_addr[11:0],128,0.015399422521655439,0.5592226562500001,1.4935211486567757,0.59375,0.0363936836519132,7
x_aq_cp0_top/cp0_dtu_debug_info[5:0],70,0.008421559191530318,0.42596900000000004,1.137639369689214,0.37142857142857144,-0.02812435937730394,3
x_aq_cp0_top/cp0_dtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_mexpt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_pcfifo_frz,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_rreg,28,0.003368623676612127,0.4361096428571429,1.164722078872848,0.42857142857142855,0.010131992183750016,1
x_aq_cp0_top/cp0_dtu_satp[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_wdata[63:0],76,0.009143407122232916,0.5240960526315789,1.399708201705745,0.5657894736842105,0.060354688691761874,10
x_aq_cp0_top/cp0_dtu_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_index[11:0],128,0.015399422521655439,0.5592226562500001,1.4935211486567757,0.59375,0.0363936836519132,7
x_aq_cp0_top/cp0_hpcp_int_off_vld,2,0.00024061597690086623,0.8976200000000001,2.3972820816078926,0.5,0.008142605815095155,1
x_aq_cp0_top/cp0_hpcp_mcntwen[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdm,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmds,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdu,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_sync_stall_vld,6,0.0007218479307025986,0.3401133333333333,0.9083438422895348,0.0,-0.02882705314850426,1
x_aq_cp0_top/cp0_hpcp_wdata[63:0],76,0.009143407122232916,0.5240960526315789,1.399708201705745,0.5657894736842105,0.060354688691761874,10
x_aq_cp0_top/cp0_hpcp_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_cskyee,1,0.00012030798845043312,1.6444,4.391714372447158,1.0,0.09407191170997475,1
x_aq_cp0_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_fs[1:0],1,0.00012030798845043312,0.5760000000000001,1.5383285566343732,0.0,0.0028093112832323235,1
x_aq_cp0_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_issue_stall,38,0.004571703561116458,0.42717289473684217,1.1408546225587732,0.42105263157894735,-0.03432969047571315,1
x_aq_cp0_top/cp0_idu_ucme,1,0.00012030798845043312,1.6444,4.391714372447158,1.0,0.09407191170997475,1
x_aq_cp0_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_bht_en,1,0.00012030798845043312,1.1654000000000002,3.1124446178848935,1.0,-0.00515349338084403,1
x_aq_cp0_top/cp0_ifu_bht_inv,4,0.00048123195380173246,0.4273225,1.1412541747263747,0.5,0.0032762756221661506,1
x_aq_cp0_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_btb_en,1,0.00012030798845043312,1.1654000000000002,3.1124446178848935,1.0,-0.00515349338084403,1
x_aq_cp0_top/cp0_ifu_icache_en,3,0.0003609239653512993,0.5678000000000002,1.5164287403767314,0.3333333333333333,-0.007472604882007092,1
x_aq_cp0_top/cp0_ifu_icache_inv_addr[63:0],50,0.006015399422521655,0.6253352,1.6700885340775469,0.7,0.02317996880361104,10
x_aq_cp0_top/cp0_ifu_icache_inv_req,16,0.0019249278152069298,0.4081025,1.0899231419859015,0.0625,-0.014324296057134277,1
x_aq_cp0_top/cp0_ifu_icache_inv_type[1:0],8,0.0009624639076034649,0.61648375,1.646448884246607,0.75,-0.0021126546290068386,2
x_aq_cp0_top/cp0_ifu_icache_pref_en,1,0.00012030798845043312,0.6600000000000004,1.76266813781022,0.0,-0.006630882740552113,1
