signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_cp0_top/biu_cp0_coreid[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_me_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ms_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_mt_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_rvba[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_se_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ss_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_st_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_lpmd_b[1:0],1,6.953039173422703e-07,1.6444,4.410392342777356,1.0,0.0074371336222385405,2
x_aq_cp0_top/cp0_dtu_addr[11:0],18,1.2515470512160866e-05,0.7242816666666667,1.9425725594020238,0.7777777777777778,0.0012559294372152293,6
x_aq_cp0_top/cp0_dtu_debug_info[5:0],3,2.0859117520268108e-06,0.6848000000000001,1.8366800512855348,1.0,-0.0006945056735321606,1
x_aq_cp0_top/cp0_dtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_mexpt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_pcfifo_frz,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_rreg,2,1.3906078346845406e-06,0.9101200000000003,2.44100357516938,1.0,0.0008132865647078,1
x_aq_cp0_top/cp0_dtu_satp[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_wdata[63:0],18,1.2515470512160866e-05,0.7242816666666667,1.9425725594020238,0.7777777777777778,0.004567457922952994,7
x_aq_cp0_top/cp0_dtu_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_index[11:0],18,1.2515470512160866e-05,0.7242816666666667,1.9425725594020238,0.7777777777777778,0.0012559294372152293,6
x_aq_cp0_top/cp0_hpcp_int_off_vld,2,1.3906078346845406e-06,0.90012,2.4141828968503733,0.5,0.001287222964511679,1
x_aq_cp0_top/cp0_hpcp_mcntwen[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdm,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmds,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdu,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_sync_stall_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_wdata[63:0],18,1.2515470512160866e-05,0.7242816666666667,1.9425725594020238,0.7777777777777778,0.004567457922952994,7
x_aq_cp0_top/cp0_hpcp_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_cskyee,1,6.953039173422703e-07,1.6444,4.410392342777356,1.0,0.007437133622253676,1
x_aq_cp0_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_fs[1:0],3,2.0859117520268108e-06,0.49985333333333354,1.3406405460016246,0.0,0.033046711790183966,2
x_aq_cp0_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_issue_stall,2,1.3906078346845406e-06,0.48516000000000015,1.3012320293248982,1.0,0.0008089392532316818,1
x_aq_cp0_top/cp0_idu_ucme,1,6.953039173422703e-07,1.6444,4.410392342777356,1.0,0.007437133622253676,1
x_aq_cp0_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_bht_en,1,6.953039173422703e-07,1.1654000000000002,3.1256818512969664,1.0,-0.0012847047832022934,1
x_aq_cp0_top/cp0_ifu_bht_inv,4,2.781215669369081e-06,0.4273225,1.1461079310973465,0.5,0.0010941905455323071,1
x_aq_cp0_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_btb_en,1,6.953039173422703e-07,1.1654000000000002,3.1256818512969664,1.0,-0.0012847047832022934,1
x_aq_cp0_top/cp0_ifu_icache_en,1,6.953039173422703e-07,1.1654000000000002,3.1256818512969664,1.0,-0.0012847047832022934,1
x_aq_cp0_top/cp0_ifu_icache_inv_addr[63:0],18,1.2515470512160866e-05,0.7242816666666667,1.9425725594020238,0.7777777777777778,0.004024747472659333,6
x_aq_cp0_top/cp0_ifu_icache_inv_req,4,2.781215669369081e-06,0.39820999999999995,1.06802623134114,0.0,0.0003461451537589912,1
x_aq_cp0_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_icache_pref_en,1,6.953039173422703e-07,0.6600000000000004,1.7701647690544007,0.0,-0.0013890852279778002,1
