signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_cp0_top/biu_cp0_coreid[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_me_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ms_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_mt_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_rvba[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_se_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ss_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_st_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_lpmd_b[1:0],1,1.6721597113183475e-06,1.6444,4.421981883219017,1.0,0.011534270179686687,2
x_aq_cp0_top/cp0_dtu_addr[11:0],20,3.344319422636695e-05,0.7673630000000001,2.063527903096932,0.75,0.0026943134739815093,6
x_aq_cp0_top/cp0_dtu_debug_info[5:0],3,5.016479133955042e-06,0.6857066666666668,1.843944573827841,1.0,-0.0016250598071334173,1
x_aq_cp0_top/cp0_dtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_mexpt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_pcfifo_frz,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_rreg,2,3.344319422636695e-06,0.9114800000000002,2.451075192724684,1.0,0.00164767427588492,1
x_aq_cp0_top/cp0_dtu_satp[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_wdata[63:0],20,3.344319422636695e-05,0.7673630000000001,2.063527903096932,0.75,0.007131597019937675,11
x_aq_cp0_top/cp0_dtu_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_index[11:0],20,3.344319422636695e-05,0.7673630000000001,2.063527903096932,0.75,0.0026943134739815093,6
x_aq_cp0_top/cp0_hpcp_int_off_vld,2,3.344319422636695e-06,0.90012,2.4205268381921075,0.5,0.0024339009604459803,1
x_aq_cp0_top/cp0_hpcp_mcntwen[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdm,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmds,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdu,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_sync_stall_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_wdata[63:0],20,3.344319422636695e-05,0.7673630000000001,2.063527903096932,0.75,0.007131597019937675,11
x_aq_cp0_top/cp0_hpcp_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_cskyee,1,1.6721597113183475e-06,1.6444,4.421981883219017,1.0,0.01153427017966795,1
x_aq_cp0_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_fs[1:0],3,5.016479133955042e-06,0.6165866666666667,1.6580728955451247,0.0,-0.0044381296426453856,2
x_aq_cp0_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_issue_stall,2,3.344319422636695e-06,0.48652000000000006,1.308308578097614,1.0,0.00164071944182209,1
x_aq_cp0_top/cp0_idu_ucme,1,1.6721597113183475e-06,1.6444,4.421981883219017,1.0,0.01153427017966795,1
x_aq_cp0_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_bht_en,1,1.6721597113183475e-06,1.1654000000000002,3.13389545530494,1.0,-0.00258521124086194,1
x_aq_cp0_top/cp0_ifu_bht_inv,4,6.68863884527339e-06,0.4273225,1.1491196505058734,0.5,0.002244182347005134,1
x_aq_cp0_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_btb_en,1,1.6721597113183475e-06,1.1654000000000002,3.13389545530494,1.0,-0.00258521124086194,1
x_aq_cp0_top/cp0_ifu_icache_en,1,1.6721597113183475e-06,1.1654000000000002,3.13389545530494,1.0,-0.00258521124086194,1
x_aq_cp0_top/cp0_ifu_icache_inv_addr[63:0],16,2.675455538109356e-05,0.7434618750000002,1.9992550122318427,0.75,0.006542409401066319,6
x_aq_cp0_top/cp0_ifu_icache_inv_req,4,6.68863884527339e-06,0.39820999999999995,1.0708327692268576,0.0,0.0008096702491611993,1
x_aq_cp0_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_icache_pref_en,1,1.6721597113183475e-06,0.6600000000000004,1.7748163724912143,0.0,-0.002751630968369054,1
x_aq_cp0_top/cp0_ifu_icache_read_index[13:0],0,0.0,0.0,0.0,0.0,,0
