signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_cp0_top/biu_cp0_coreid[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_me_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ms_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_mt_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_rvba[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_se_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ss_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_st_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_lpmd_b[1:0],1,0.00036563071297989033,1.6444,4.277984679805532,1.0,0.1536203648324412,2
x_aq_cp0_top/cp0_dtu_addr[11:0],42,0.015356489945155392,0.9567154761904763,2.488940738309238,0.5714285714285714,0.0006556288328025087,6
x_aq_cp0_top/cp0_dtu_debug_info[5:0],3,0.0010968921389396709,0.6848000000000001,1.781539715842148,0.3333333333333333,0.0700931569233797,1
x_aq_cp0_top/cp0_dtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_mexpt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_pcfifo_frz,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_rreg,2,0.0007312614259597807,0.9101200000000003,2.367720394541846,0.5,-0.022347796715474863,1
x_aq_cp0_top/cp0_dtu_satp[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_wdata[63:0],42,0.015356489945155392,0.9567154761904763,2.488940738309238,0.5714285714285714,0.2611315375104546,7
x_aq_cp0_top/cp0_dtu_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_index[11:0],42,0.015356489945155392,0.9567154761904763,2.488940738309238,0.5714285714285714,0.0006556288328025087,6
x_aq_cp0_top/cp0_hpcp_int_off_vld,5,0.0018281535648994515,1.2584980000000001,3.274042303311787,0.8,-0.004453721909273666,1
x_aq_cp0_top/cp0_hpcp_mcntwen[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdm,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmds,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdu,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_sync_stall_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_wdata[63:0],42,0.015356489945155392,0.9567154761904763,2.488940738309238,0.5714285714285714,0.2611315375104546,7
x_aq_cp0_top/cp0_hpcp_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_cskyee,1,0.00036563071297989033,1.6444,4.277984679805532,1.0,0.15362036483244196,1
x_aq_cp0_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_fs[1:0],9,0.0032906764168190127,1.4595533333333333,3.7970972995372754,0.8888888888888888,0.08072922096589515,2
x_aq_cp0_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_issue_stall,2,0.0007312614259597807,0.48516000000000015,1.2621667764865314,0.0,-0.022431129455314627,1
x_aq_cp0_top/cp0_idu_ucme,1,0.00036563071297989033,1.6444,4.277984679805532,1.0,0.15362036483244196,1
x_aq_cp0_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_bht_en,1,0.00036563071297989033,1.1654000000000002,3.031843435809637,1.0,0.07413472607143354,1
x_aq_cp0_top/cp0_ifu_bht_inv,4,0.0014625228519195613,0.4273225,1.1116997739821206,0.0,-0.051936434484796776,1
x_aq_cp0_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_btb_en,1,0.00036563071297989033,1.1654000000000002,3.031843435809637,1.0,0.07413472607143354,1
x_aq_cp0_top/cp0_ifu_icache_en,1,0.00036563071297989033,1.1654000000000002,3.031843435809637,1.0,0.07413472607143354,1
x_aq_cp0_top/cp0_ifu_icache_inv_addr[63:0],28,0.010237659963436929,1.0824664285714287,2.8160878118659576,0.6428571428571429,0.3524246132538748,31
x_aq_cp0_top/cp0_ifu_icache_inv_req,4,0.0014625228519195613,0.39820999999999995,1.03596222290523,0.0,-0.01908217771522785,1
x_aq_cp0_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_icache_pref_en,1,0.00036563071297989033,0.6600000000000004,1.7170213382824449,0.0,0.07250526982324153,1
x_aq_cp0_top/cp0_ifu_icache_read_index[13:0],0,0.0,0.0,0.0,0.0,,0
