signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_cp0_top/biu_cp0_coreid[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_me_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ms_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_mt_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_rvba[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_se_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ss_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_st_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_lpmd_b[1:0],1,8.21827744904668e-05,1.6444,4.36512706660989,1.0,0.07525912351666443,2
x_aq_cp0_top/cp0_dtu_addr[11:0],192,0.015779092702169626,0.7117522395833333,1.889375435250192,0.59375,0.036553565928889725,7
x_aq_cp0_top/cp0_dtu_debug_info[5:0],8,0.0006574621959237344,0.54123875,1.436740402045186,0.625,-0.010236789046986123,3
x_aq_cp0_top/cp0_dtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_mexpt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_pcfifo_frz,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_rreg,2,0.0001643655489809336,0.9101200000000003,2.415950769802356,1.0,0.007459013936228879,1
x_aq_cp0_top/cp0_dtu_satp[63:0],2,0.0001643655489809336,0.7805849999999999,2.072094813481927,1.0,-0.013744121098538573,2
x_aq_cp0_top/cp0_dtu_wdata[63:0],152,0.012491781722550954,0.7665294078947369,2.0347836692737586,0.631578947368421,0.18221879687548617,13
x_aq_cp0_top/cp0_dtu_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_index[11:0],192,0.015779092702169626,0.7117522395833333,1.889375435250192,0.59375,0.036553565928889725,7
x_aq_cp0_top/cp0_hpcp_int_off_vld,6,0.0004930966469428008,0.4887400000000001,1.2973803226313052,0.5,0.03788512494754015,1
x_aq_cp0_top/cp0_hpcp_mcntwen[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdm,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmds,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdu,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_sync_stall_vld,2,0.0001643655489809336,0.60365,1.602413618194515,0.5,-0.00335833381054563,1
x_aq_cp0_top/cp0_hpcp_wdata[63:0],152,0.012491781722550954,0.7665294078947369,2.0347836692737586,0.631578947368421,0.18221879687548617,13
x_aq_cp0_top/cp0_hpcp_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_cskyee,1,8.21827744904668e-05,1.6444,4.36512706660989,1.0,0.07525912351666235,1
x_aq_cp0_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_fs[1:0],2,0.0001643655489809336,0.5179600000000001,1.3749460079185472,0.5,-0.033389248762444895,1
x_aq_cp0_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_issue_stall,6,0.0004930966469428008,0.3630250000000001,0.963664712573617,0.5,0.00044025387314187677,1
x_aq_cp0_top/cp0_idu_ucme,1,8.21827744904668e-05,1.6444,4.36512706660989,1.0,0.07525912351666235,1
x_aq_cp0_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_bht_en,1,8.21827744904668e-05,1.1654000000000002,3.0936019724076664,1.0,-0.012649650797960418,1
x_aq_cp0_top/cp0_ifu_bht_inv,4,0.0003287310979618672,0.4273225,1.1343450565077868,0.5,0.010446357396888248,1
x_aq_cp0_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_btb_en,1,8.21827744904668e-05,1.1654000000000002,3.0936019724076664,1.0,-0.012649650797960418,1
x_aq_cp0_top/cp0_ifu_icache_en,1,8.21827744904668e-05,1.1654000000000002,3.0936019724076664,1.0,-0.012649650797960418,1
x_aq_cp0_top/cp0_ifu_icache_inv_addr[63:0],84,0.006903353057199211,0.8736264285714286,2.319077091621792,0.6904761904761905,0.18383084833288332,63
x_aq_cp0_top/cp0_ifu_icache_inv_req,4,0.0003287310979618672,0.39820999999999995,1.0570647343679909,0.0,0.0027932182368334765,1
x_aq_cp0_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_icache_pref_en,1,8.21827744904668e-05,0.6600000000000004,1.7519969982744643,0.0,-0.013835078004693108,1
