signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_cp0_top/biu_cp0_coreid[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_me_int,2,0.0005614823133071309,0.4393050000000001,1.1702798706551225,0.5,-0.003718193806781129,1
x_aq_cp0_top/biu_cp0_ms_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_mt_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_rvba[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_se_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_ss_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/biu_cp0_st_int,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_biu_lpmd_b[1:0],5,0.001403705783267827,0.6896560000000002,1.8371986079751632,0.6,0.11349322686871442,2
x_aq_cp0_top/cp0_dtu_addr[11:0],36,0.010106681639528355,0.6139894444444445,1.6356278385815204,0.6944444444444444,0.019474357755228794,6
x_aq_cp0_top/cp0_dtu_debug_info[5:0],9,0.0025266704098820887,0.5256755555555557,1.4003653979857165,0.5555555555555556,0.0018053199420416531,3
x_aq_cp0_top/cp0_dtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_mexpt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_pcfifo_frz,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_rreg,2,0.0005614823133071309,0.9101200000000003,2.424500326380624,1.0,0.005834837032760531,1
x_aq_cp0_top/cp0_dtu_satp[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_dtu_wdata[63:0],30,0.008422234699606962,0.6399293333333335,1.7047300109075745,0.7,0.06498386383334616,8
x_aq_cp0_top/cp0_dtu_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_index[11:0],36,0.010106681639528355,0.6139894444444445,1.6356278385815204,0.6944444444444444,0.019474357755228794,6
x_aq_cp0_top/cp0_hpcp_int_off_vld,4,0.0011229646266142617,0.470135,1.2524089800718086,0.5,0.018491262269214534,1
x_aq_cp0_top/cp0_hpcp_mcntwen[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdm,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmds,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_pmdu,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_sync_stall_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_hpcp_wdata[63:0],30,0.008422234699606962,0.6399293333333335,1.7047300109075745,0.7,0.06498386383334616,8
x_aq_cp0_top/cp0_hpcp_wreg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_cskyee,1,0.00028074115665356543,1.6444,4.380574360194587,1.0,0.14522931424672791,1
x_aq_cp0_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_fs[1:0],1,0.00028074115665356543,0.5820000000000001,1.5504100447781863,0.0,0.003512971691269031,1
x_aq_cp0_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_issue_stall,4,0.0011229646266142617,0.5026100000000002,1.338920262209561,0.75,0.006290348349427623,1
x_aq_cp0_top/cp0_idu_ucme,1,0.00028074115665356543,1.6444,4.380574360194587,1.0,0.14522931424672791,1
x_aq_cp0_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_bht_en,1,0.00028074115665356543,1.1654000000000002,3.104549598255152,1.0,-0.014592623523728308,1
x_aq_cp0_top/cp0_ifu_bht_inv,4,0.0011229646266142617,0.4273225,1.1383592720957498,0.5,0.009037956276020168,1
x_aq_cp0_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_btb_en,1,0.00028074115665356543,1.1654000000000002,3.104549598255152,1.0,-0.014592623523728308,1
x_aq_cp0_top/cp0_ifu_icache_en,1,0.00028074115665356543,1.1654000000000002,3.104549598255152,1.0,-0.014592623523728308,1
x_aq_cp0_top/cp0_ifu_icache_inv_addr[63:0],24,0.00673778775968557,0.6222237500000001,1.6575634915799846,0.75,0.06845541921854155,8
x_aq_cp0_top/cp0_ifu_icache_inv_req,4,0.0011229646266142617,0.39820999999999995,1.06080547067203,0.0,-0.00105328883985578,1
x_aq_cp0_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_icache_pref_en,1,0.00028074115665356543,0.6600000000000004,1.7581969579958823,0.0,-0.018176251220930285,1
x_aq_cp0_top/cp0_ifu_icache_read_index[13:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_icache_read_req,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_icache_read_tag,1,0.00028074115665356543,1.6444,4.380574360194587,1.0,0.14522931424672791,1
x_aq_cp0_top/cp0_ifu_icache_read_way,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_in_lpmd,2,0.0005614823133071309,0.39976000000000006,1.0649345695885357,0.5,0.004212238141704142,1
x_aq_cp0_top/cp0_ifu_iwpe,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_ifu_lpmd_req,2,0.0005614823133071309,0.1316200000000003,0.350627096380937,0.0,-0.0023112749585045334,1
x_aq_cp0_top/cp0_ifu_ras_en,1,0.00028074115665356543,1.1654000000000002,3.104549598255152,1.0,-0.014592623523728308,1
x_aq_cp0_top/cp0_ifu_rst_inv_done,3,0.0008422234699606962,0.6848000000000001,1.824262540659969,1.0,0.0030058161323148033,1
x_aq_cp0_top/cp0_iu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_lsu_amr[1:0],1,0.00028074115665356543,0.6600000000000004,1.7581969579958823,0.0,-0.018176251220930285,1
x_aq_cp0_top/cp0_lsu_dcache_en,1,0.00028074115665356543,1.1654000000000002,3.104549598255152,1.0,-0.014592623523728308,1
x_aq_cp0_top/cp0_lsu_dcache_pref_dist[1:0],2,0.0005614823133071309,1.1522000000000001,3.0693856590952344,0.5,0.014317705852202527,1
x_aq_cp0_top/cp0_lsu_dcache_pref_en,1,0.00028074115665356543,0.6600000000000004,1.7581969579958823,0.0,-0.018176251220930285,1
x_aq_cp0_top/cp0_lsu_dcache_read_idx[16:0],0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_lsu_dcache_read_req,0,0.0,0.0,0.0,0.0,,0
x_aq_cp0_top/cp0_lsu_dcache_read_type,0,0.0,0.0,0.0,0.0,,0
