case,target,spearman,spearman_null95,pearson,pearson_null95,best_W
cache,tv,0.415,0.162,0.44,0.146,16
cache,maxstep,0.672,0.219,0.712,0.186,64
cache,range,0.686,0.232,0.798,0.194,64
cache,level,0.446,0.135,0.429,0.156,16
conv_softmax,tv,0.765,0.232,0.697,0.192,4
conv_softmax,maxstep,0.71,0.263,0.603,0.185,4
conv_softmax,range,0.688,0.244,0.583,0.18,4
conv_softmax,level,0.915,0.247,0.896,0.209,4
coremark,tv,0.703,0.147,0.888,0.236,256
coremark,maxstep,0.407,0.079,0.474,0.104,16
coremark,range,0.386,0.077,0.41,0.097,8
coremark,level,0.802,0.136,0.938,0.215,128
csr,tv,0.34,0.231,0.279,0.181,8
csr,maxstep,0.629,0.437,0.456,0.294,16
csr,range,0.636,0.441,0.533,0.278,16
csr,level,0.572,0.316,0.403,0.223,8
debug,tv,0.391,0.136,0.167,0.326,256
debug,maxstep,0.806,0.208,0.499,0.135,256
debug,range,0.831,0.191,0.421,0.165,256
debug,level,0.618,0.268,0.238,0.293,64
exception,tv,0.499,0.161,0.429,0.201,64
exception,maxstep,0.789,0.182,0.729,0.17,64
exception,range,0.808,0.177,0.822,0.22,64
exception,level,0.562,0.154,0.489,0.176,32
interrupt,tv,0.443,0.264,0.482,0.256,16
interrupt,maxstep,0.658,0.299,0.628,0.221,16
interrupt,range,0.671,0.287,0.762,0.195,16
interrupt,level,0.498,0.245,0.436,0.245,8
ISA_FP,tv,0.863,0.139,0.747,0.123,128
ISA_FP,maxstep,0.852,0.124,0.822,0.133,64
ISA_FP,range,0.869,0.12,0.861,0.138,64
ISA_FP,level,0.942,0.155,0.833,0.137,128
ISA_INT,tv,0.689,0.235,0.635,0.161,64
ISA_INT,maxstep,0.766,0.2,0.746,0.169,32
ISA_INT,range,0.85,0.263,0.83,0.276,64
ISA_INT,level,0.701,0.189,0.748,0.138,32
ISA_LS,tv,0.741,0.166,0.559,0.149,512
ISA_LS,maxstep,0.86,0.117,0.784,0.101,128
ISA_LS,range,0.922,0.117,0.837,0.109,128
ISA_LS,level,0.813,0.113,0.641,0.07,128
ISA_THEAD,tv,0.628,0.249,0.721,0.24,32
ISA_THEAD,maxstep,0.693,0.217,0.739,0.244,16
ISA_THEAD,range,0.768,0.281,0.888,0.314,32
ISA_THEAD,level,0.733,0.273,0.77,0.235,32
MMU,tv,0.422,0.197,0.45,0.261,16
MMU,maxstep,0.718,0.234,0.675,0.28,32
MMU,range,0.728,0.232,0.785,0.339,32
MMU,level,0.519,0.208,0.455,0.226,8
