signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_idu_top/cp0_idu_cskyee,1,1.4069644741470277e-05,1.8147199999999999,1.2381655336868533,0.0,0.023544124490369567,1
x_aq_idu_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_frm[2:0],152,0.002138586000703482,1.7768750000000002,1.2123442639469604,0.16447368421052633,3.7914487809387004e-05,3
x_aq_idu_top/cp0_idu_fs[1:0],3,4.220893422441084e-05,2.1430000000000002,1.4621477355685324,0.0,0.1351858064936792,2
x_aq_idu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_issue_stall,2,2.8139289482940555e-05,2.1612000000000005,1.4745654158239443,0.5,-0.20651825953359082,1
x_aq_idu_top/cp0_idu_ucme,1,1.4069644741470277e-05,1.8147199999999999,1.2381655336868533,0.0,0.023544124490369567,1
x_aq_idu_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_yy_clk_en,1,1.4069644741470277e-05,1.8147199999999999,1.2381655336868533,0.0,0.023544124490369567,1
x_aq_idu_top/cp0_yy_priv_mode[1:0],1,1.4069644741470277e-05,1.8147199999999999,1.2381655336868533,0.0,0.023544124490368624,2
x_aq_idu_top/cpurst_b,3,4.220893422441084e-05,1.0352400000000002,0.7063340278907921,0.0,0.010424600307114062,1
x_aq_idu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/hpcp_idu_cnt_en,1,1.4069644741470277e-05,1.8147199999999999,1.2381655336868533,0.0,0.023544124490369567,1
x_aq_idu_top/idu_alu_ex1_gateclk_sel,3651,0.051368272951107984,1.887414672692413,1.2877643909267542,0.07669131744727473,0.36391795211244254,1
x_aq_idu_top/idu_bju_ex1_gateclk_sel,2,2.8139289482940555e-05,4.264500000000002,2.909626233472706,1.0,0.01485714861062412,1
x_aq_idu_top/idu_cp0_ex1_dp_sel,8,0.00011255715793176222,2.34305,1.5986398748594723,0.125,-0.20589007808614548,1
x_aq_idu_top/idu_cp0_ex1_dst0_reg[5:0],9886,0.13909250791417516,1.845291658911592,1.2590242746341973,0.11268460449119967,0.0407321424590789,5
x_aq_idu_top/idu_cp0_ex1_expt_acc_error,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_high,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_illegal,182,0.0025606753429475906,1.6704120879120878,1.1397056704652184,0.07692307692307693,-0.08423027151652496,1
x_aq_idu_top/idu_cp0_ex1_expt_page_fault,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_func[19:0],13112,0.18448118185015827,1.8716357763880414,1.276998605811865,0.10799267846247712,-0.049664333289002154,13
x_aq_idu_top/idu_cp0_ex1_gateclk_sel,8,0.00011255715793176222,2.34305,1.5986398748594723,0.125,-0.20589007808614548,1
x_aq_idu_top/idu_cp0_ex1_halt_info[21:0],2,2.8139289482940555e-05,1.24186,0.8473088132959111,0.0,0.02397955677909749,2
x_aq_idu_top/idu_cp0_ex1_length,3228,0.045416813225466056,1.8866052571251548,1.2872121346790637,0.09324659231722429,0.024896398611906623,1
x_aq_idu_top/idu_cp0_ex1_opcode[31:0],13995,0.19690467815687654,1.8649048217220436,1.2724061419186763,0.10532332976062879,0.011963158497456189,24
x_aq_idu_top/idu_cp0_ex1_sel,2,2.8139289482940555e-05,3.6707000000000005,2.5044823578868,0.5,-0.20660243838224332,1
x_aq_idu_top/idu_cp0_ex1_split,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_src0_data[63:0],9867,0.13882518466408722,1.8919334488699706,1.2908475072849235,0.11128002432350259,0.15876668033398728,63
