signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_idu_top/cp0_idu_cskyee,1,3.330114222917846e-05,1.8147199999999999,1.3006440157116885,0.0,0.031246132317071875,1
x_aq_idu_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_fs[1:0],3,9.990342668753538e-05,2.278000000000001,1.6326855205162383,0.6666666666666666,-0.04657290745259176,2
x_aq_idu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_issue_stall,2,6.660228445835692e-05,2.1612000000000005,1.5489727598506116,0.5,-0.2723872627785786,1
x_aq_idu_top/cp0_idu_ucme,1,3.330114222917846e-05,1.8147199999999999,1.3006440157116885,0.0,0.031246132317071875,1
x_aq_idu_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_yy_clk_en,1,3.330114222917846e-05,1.8147199999999999,1.3006440157116885,0.0,0.031246132317071875,1
x_aq_idu_top/cp0_yy_priv_mode[1:0],1,3.330114222917846e-05,1.8147199999999999,1.3006440157116885,0.0,0.031246132317074717,2
x_aq_idu_top/cpurst_b,3,9.990342668753538e-05,1.0352400000000002,0.741976013283244,0.0,0.011304850600669766,1
x_aq_idu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/hpcp_idu_cnt_en,1,3.330114222917846e-05,1.8147199999999999,1.3006440157116885,0.0,0.031246132317071875,1
x_aq_idu_top/idu_alu_ex1_gateclk_sel,711,0.023677112124945887,1.9341540928270042,1.3862446803362023,0.17721518987341772,0.28564977661322266,1
x_aq_idu_top/idu_bju_ex1_gateclk_sel,42,0.0013986479736254954,1.7497142857142858,1.2540531954899585,0.14285714285714285,-0.10755613562471722,1
x_aq_idu_top/idu_cp0_ex1_dp_sel,2,6.660228445835692e-05,3.6707000000000005,2.6308598508160466,0.5,-0.2724982918402841,1
x_aq_idu_top/idu_cp0_ex1_dst0_reg[5:0],2437,0.0811548836125079,1.942159265490357,1.3919821384120092,0.170701682396389,-0.016930348594562397,5
x_aq_idu_top/idu_cp0_ex1_expt_acc_error,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_high,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_illegal,82,0.002730693662792634,1.6243536585365854,1.1642048720325986,0.15853658536585366,-0.03590043123746841,1
x_aq_idu_top/idu_cp0_ex1_expt_page_fault,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_func[19:0],3382,0.11262446301908155,1.9409321969248963,1.3911026752515578,0.17711413364872855,0.06664240900724498,11
x_aq_idu_top/idu_cp0_ex1_gateclk_sel,2,6.660228445835692e-05,3.6707000000000005,2.6308598508160466,0.5,-0.2724982918402841,1
x_aq_idu_top/idu_cp0_ex1_halt_info[21:0],2,6.660228445835692e-05,1.24186,0.8900644602758098,0.0,0.03176690665082508,2
x_aq_idu_top/idu_cp0_ex1_length,484,0.016117752838922375,1.924245867768595,1.379143268752848,0.1652892561983471,-0.02581133466056425,1
x_aq_idu_top/idu_cp0_ex1_opcode[31:0],4118,0.1371341036997569,1.9370455002428364,1.3883170065090478,0.17095677513355997,0.04780922019105478,25
x_aq_idu_top/idu_cp0_ex1_sel,2,6.660228445835692e-05,3.6707000000000005,2.6308598508160466,0.5,-0.2724982918402841,1
x_aq_idu_top/idu_cp0_ex1_split,6,0.00019980685337507077,2.229666666666667,1.5980441098526654,0.16666666666666666,0.02205011849209607,1
x_aq_idu_top/idu_cp0_ex1_src0_data[63:0],3510,0.1168870092244164,1.9594685612535614,1.404388036815397,0.1606837606837607,,60
x_aq_idu_top/idu_cp0_ex1_src1_data[63:0],3530,0.11755303206899996,1.952694133144476,1.3995326765504794,0.1736543909348442,0.1413996550233234,64
x_aq_idu_top/idu_div_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_dtu_debug_info[14:0],2594,0.08638316294248893,1.8686488203546647,1.3392958173497844,0.17039321511179645,-0.12987279402325827,5
x_aq_idu_top/idu_hpcp_backend_stall,382,0.012721036331546172,1.8766981937172775,1.3450649548995506,0.25654450261780104,-0.44437714678676793,1
x_aq_idu_top/idu_hpcp_frontend_stall,746,0.02484265210296713,1.7173552278820374,1.2308608490543749,0.15683646112600536,-0.11055053821379951,1
x_aq_idu_top/idu_hpcp_inst_type[6:0],1212,0.040360984381764296,1.9334009240924093,1.3857048701134285,0.20462046204620463,-0.10548274913306731,4
x_aq_idu_top/idu_ifu_id_stall,382,0.012721036331546172,1.8679814136125654,1.338817474362901,0.2486910994764398,-0.4405714323145366,1
x_aq_idu_top/idu_iu_ex1_alu_dp_sel,675,0.02247827100469546,1.9603911111111112,1.4050492456803556,0.18518518518518517,0.4400074786850519,1
x_aq_idu_top/idu_iu_ex1_alu_sel,669,0.02227846415132039,1.9631061285500748,1.4069951498333604,0.18385650224215247,0.43962612229686887,1
x_aq_idu_top/idu_iu_ex1_bht_pred[1:0],600,0.019980685337507076,1.9565272,1.4022799077858545,0.19166666666666668,0.17274801667084239,1
x_aq_idu_top/idu_iu_ex1_bju_br_sel,36,0.0011988411202504246,1.717472222222222,1.2309447011023125,0.16666666666666666,0.03776233411892447,1
x_aq_idu_top/idu_iu_ex1_bju_dp_sel,40,0.0013320456891671385,1.72315,1.2350140714124471,0.15,0.03887098772727761,1
x_aq_idu_top/idu_iu_ex1_bju_sel,36,0.0011988411202504246,1.717472222222222,1.2309447011023125,0.16666666666666666,0.03776233411892447,1
x_aq_idu_top/idu_iu_ex1_div_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_iu_ex1_div_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_iu_ex1_dst0_reg[5:0],2437,0.0811548836125079,1.942159265490357,1.3919821384120092,0.170701682396389,-0.016930348594562397,5
x_aq_idu_top/idu_iu_ex1_func[19:0],3382,0.11262446301908155,1.9409321969248963,1.3911026752515578,0.17711413364872855,0.06664240900724498,11
x_aq_idu_top/idu_iu_ex1_inst_vld,659,0.021945452729028606,1.8533234597875572,1.328311842681388,0.18361153262518967,0.022015985010235817,1
x_aq_idu_top/idu_iu_ex1_length,484,0.016117752838922375,1.924245867768595,1.379143268752848,0.1652892561983471,-0.02581133466056425,1
x_aq_idu_top/idu_iu_ex1_mult_dp_sel,60,0.0019980685337507077,2.705608666666667,1.9391607086259484,0.25,-0.05600926345580101,1
x_aq_idu_top/idu_iu_ex1_mult_sel,60,0.0019980685337507077,2.705608666666667,1.9391607086259484,0.25,-0.05600926345580101,1
x_aq_idu_top/idu_iu_ex1_pipedown_vld,779,0.02594158979653002,1.9466408215661104,1.3951941540899127,0.2246469833119384,0.526678795356232,1
x_aq_idu_top/idu_iu_ex1_split,6,0.00019980685337507077,2.229666666666667,1.5980441098526654,0.16666666666666666,0.02205011849209607,1
x_aq_idu_top/idu_iu_ex1_src0_data[63:0],3510,0.1168870092244164,1.9594685612535614,1.404388036815397,0.1606837606837607,,60
x_aq_idu_top/idu_iu_ex1_src0_ready,171,0.005694495321189517,1.9292792982456137,1.382750823212178,0.18128654970760233,0.036396524416657354,1
x_aq_idu_top/idu_iu_ex1_src0_reg[5:0],2706,0.09011289087215692,1.921566951219512,1.3772232387878087,0.17812269031781228,0.07668143860007343,5
x_aq_idu_top/idu_iu_ex1_src1_data[63:0],3530,0.11755303206899996,1.952694133144476,1.3995326765504794,0.1736543909348442,0.1413996550233234,64
x_aq_idu_top/idu_iu_ex1_src1_ready,139,0.004628858769855806,2.2910759712230218,1.6420573154602738,0.2446043165467626,0.029243366734139457,1
x_aq_idu_top/idu_iu_ex1_src1_reg[5:0],3288,0.10949415564953878,1.9644163655717761,1.4079342213934025,0.18126520681265207,0.13071375809758112,5
x_aq_idu_top/idu_iu_ex1_src2_data[63:0],3609,0.12018382230510506,1.9545272623995567,1.400846514826162,0.17650318647824884,0.0875060624984986,64
x_aq_idu_top/idu_lsu_ex1_dp_sel,166,0.005527989610043625,2.062072289156627,1.4779260617927117,0.24096385542168675,0.07670577386754608,1
x_aq_idu_top/idu_lsu_ex1_dst0_reg[5:0],2437,0.0811548836125079,1.942159265490357,1.3919821384120092,0.170701682396389,-0.016930348594562397,5
x_aq_idu_top/idu_lsu_ex1_dst1_reg[5:0],2505,0.08341936128409204,1.9201878043912177,1.37623477827103,0.17644710578842315,0.0038458506862044796,5
x_aq_idu_top/idu_lsu_ex1_func[19:0],3382,0.11262446301908155,1.9409321969248963,1.3911026752515578,0.17711413364872855,0.06664240900724498,11
x_aq_idu_top/idu_lsu_ex1_gateclk_sel,180,0.005994205601252123,2.1861253333333335,1.5668372158766755,0.24444444444444444,-0.2399270236963374,1
x_aq_idu_top/idu_lsu_ex1_halt_info[21:0],2,6.660228445835692e-05,1.24186,0.8900644602758098,0.0,0.03176690665082508,2
x_aq_idu_top/idu_lsu_ex1_length,484,0.016117752838922375,1.924245867768595,1.379143268752848,0.1652892561983471,-0.02581133466056425,1
x_aq_idu_top/idu_lsu_ex1_sel,166,0.005527989610043625,2.062072289156627,1.4779260617927117,0.24096385542168675,0.07670577386754608,1
x_aq_idu_top/idu_lsu_ex1_split,6,0.00019980685337507077,2.229666666666667,1.5980441098526654,0.16666666666666666,0.02205011849209607,1
x_aq_idu_top/idu_lsu_ex1_src0_data[63:0],3510,0.1168870092244164,1.9594685612535614,1.404388036815397,0.1606837606837607,,60
x_aq_idu_top/idu_lsu_ex1_src1_data[63:0],3530,0.11755303206899996,1.952694133144476,1.3995326765504794,0.1736543909348442,0.1413996550233234,64
x_aq_idu_top/idu_lsu_ex1_src2_data[63:0],3609,0.12018382230510506,1.9545272623995567,1.400846514826162,0.17650318647824884,0.0875060624984986,64
