signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_idu_top/cp0_idu_cskyee,1,1.1992564609941836e-05,1.8147199999999999,1.2927367769844498,0.0,0.021477619758278894,1
x_aq_idu_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_fs[1:0],1,1.1992564609941836e-05,0.8039999999999994,0.5727386972621104,0.0,0.014870365850692928,1
x_aq_idu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_issue_stall,14,0.0001678959045391857,2.0168207142857146,1.436705557849801,0.42857142857142855,-0.2436524791165578,1
x_aq_idu_top/cp0_idu_ucme,1,1.1992564609941836e-05,1.8147199999999999,1.2927367769844498,0.0,0.021477619758278894,1
x_aq_idu_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_yy_clk_en,1,1.1992564609941836e-05,1.8147199999999999,1.2927367769844498,0.0,0.021477619758278894,1
x_aq_idu_top/cp0_yy_priv_mode[1:0],3,3.597769382982551e-05,2.036906666666667,1.4510140182974816,0.0,-0.038426360118289246,2
x_aq_idu_top/cpurst_b,3,3.597769382982551e-05,1.0352400000000002,0.737465185265706,0.0,0.00804480217722367,1
x_aq_idu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/hpcp_idu_cnt_en,1,1.1992564609941836e-05,1.8147199999999999,1.2927367769844498,0.0,0.021477619758278894,1
x_aq_idu_top/idu_alu_ex1_gateclk_sel,1647,0.019751753912574204,2.027475968427444,1.4442959513524511,0.24893746205221615,0.2953312545298362,1
x_aq_idu_top/idu_bju_ex1_gateclk_sel,2,2.3985129219883673e-05,0.30950000000000033,0.22047590398336253,0.0,0.003230582701514612,1
x_aq_idu_top/idu_cp0_ex1_dp_sel,14,0.0001678959045391857,2.6378750000000006,1.8791207600003617,0.42857142857142855,-0.24370964151359095,1
x_aq_idu_top/idu_cp0_ex1_dst0_reg[5:0],4954,0.05941116507765186,1.8676468490109004,1.330439829910683,0.19317723052079128,-0.03972079794259196,5
x_aq_idu_top/idu_cp0_ex1_expt_acc_error,0,0.0,0.0,0.0,0.0,,0
