signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_idu_top/cp0_idu_cskyee,1,4.729921483303377e-05,1.8147199999999999,1.284171451104245,0.0,0.039176963175686315,1
x_aq_idu_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_fs[1:0],3,0.00014189764449910132,1.0110000000000001,0.7154257059306074,0.0,0.05483262373928373,2
x_aq_idu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_issue_stall,2,9.459842966606754e-05,2.1612000000000005,1.5293551292356369,0.5,-0.3449818090618006,1
x_aq_idu_top/cp0_idu_ucme,1,4.729921483303377e-05,1.8147199999999999,1.284171451104245,0.0,0.039176963175686315,1
x_aq_idu_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_yy_clk_en,1,4.729921483303377e-05,1.8147199999999999,1.284171451104245,0.0,0.039176963175686315,1
x_aq_idu_top/cp0_yy_priv_mode[1:0],1,4.729921483303377e-05,1.8147199999999999,1.284171451104245,0.0,0.03917696317568728,2
x_aq_idu_top/cpurst_b,3,0.00014189764449910132,1.0352400000000002,0.7325789394733947,0.0,0.01469108734876477,1
x_aq_idu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/hpcp_idu_cnt_en,1,4.729921483303377e-05,1.8147199999999999,1.284171451104245,0.0,0.039176963175686315,1
x_aq_idu_top/idu_alu_ex1_gateclk_sel,449,0.021237347460032162,1.9512032962138084,1.380752715734809,0.14699331848552338,0.40674709926324,1
x_aq_idu_top/idu_bju_ex1_gateclk_sel,210,0.009932835114937092,2.320395714285714,1.6420086468162343,0.3,-0.13216443859608776,1
x_aq_idu_top/idu_cp0_ex1_dp_sel,2,9.459842966606754e-05,3.6707000000000005,2.5975401965969147,0.5,-0.34512563181252104,1
x_aq_idu_top/idu_cp0_ex1_dst0_reg[5:0],2091,0.09890265821587362,1.930933094213295,1.3664086765898302,0.17073170731707318,0.08431759496511365,5
x_aq_idu_top/idu_cp0_ex1_expt_acc_error,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_high,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_illegal,38,0.0017973701636552833,1.7422368421052628,1.2328793498135209,0.02631578947368421,-0.03963690330117501,1
x_aq_idu_top/idu_cp0_ex1_expt_page_fault,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_func[19:0],2428,0.114842493614606,1.936287075782537,1.370197376929805,0.16474464579901152,0.044124636259299944,11
x_aq_idu_top/idu_cp0_ex1_gateclk_sel,2,9.459842966606754e-05,3.6707000000000005,2.5975401965969147,0.5,-0.34512563181252104,1
x_aq_idu_top/idu_cp0_ex1_halt_info[21:0],2,9.459842966606754e-05,1.24186,0.878791856742813,0.0,0.039841825618262314,2
x_aq_idu_top/idu_cp0_ex1_length,386,0.018257496925551037,1.9207849740932643,1.3592274441459713,0.15544041450777202,0.04068517005260147,1
x_aq_idu_top/idu_cp0_ex1_opcode[31:0],2912,0.13773531359379435,1.941419429945055,1.3738292444864868,0.1620879120879121,0.05812191876275453,25
x_aq_idu_top/idu_cp0_ex1_sel,2,9.459842966606754e-05,3.6707000000000005,2.5975401965969147,0.5,-0.34512563181252104,1
x_aq_idu_top/idu_cp0_ex1_split,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_src0_data[63:0],2445,0.11564658026676757,1.9949668957055213,1.411721661392992,0.16278118609406952,0.07436415036083312,64
x_aq_idu_top/idu_cp0_ex1_src1_data[63:0],2547,0.12047110017973701,1.9735798743619946,1.3965873143678231,0.17314487632508835,0.13421154607687652,64
x_aq_idu_top/idu_div_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_dtu_debug_info[14:0],1879,0.08887522467127046,1.8854809898882385,1.3342448745890538,0.18520489622139436,0.058564636987089046,5
x_aq_idu_top/idu_hpcp_backend_stall,228,0.0107842209819317,1.9825552192982459,1.4029386422481283,0.2982456140350877,-0.41068154142082347,1
x_aq_idu_top/idu_hpcp_frontend_stall,520,0.024595591713177562,1.6397634615384615,1.160364917933106,0.1519230769230769,-0.18569661630692727,1
x_aq_idu_top/idu_hpcp_inst_type[6:0],926,0.043799072935389274,1.9400218250539958,1.3728402410583977,0.2084233261339093,-0.16421356376059795,3
x_aq_idu_top/idu_ifu_id_stall,228,0.0107842209819317,2.069438684210526,1.4644210005256406,0.2850877192982456,-0.4009591156323633,1
x_aq_idu_top/idu_iu_ex1_alu_dp_sel,449,0.021237347460032162,1.9302227171492203,1.3659059841936458,0.1492204899777283,0.4253374144423933,1
x_aq_idu_top/idu_iu_ex1_alu_sel,447,0.021142749030366097,1.9351006711409395,1.3693578275942617,0.14988814317673377,0.4252938502117473,1
x_aq_idu_top/idu_iu_ex1_bht_pred[1:0],378,0.017879103206886765,1.9667866931216933,1.3917801764011002,0.17195767195767195,-0.02579671715948174,1
x_aq_idu_top/idu_iu_ex1_bju_br_sel,62,0.002932551319648094,2.3030483870967746,1.6297329556192448,0.3387096774193548,0.08663173065489604,1
x_aq_idu_top/idu_iu_ex1_bju_dp_sel,62,0.002932551319648094,2.3030483870967746,1.6297329556192448,0.3387096774193548,0.08663173065489604,1
x_aq_idu_top/idu_iu_ex1_bju_sel,62,0.002932551319648094,2.3030483870967746,1.6297329556192448,0.3387096774193548,0.08663173065489604,1
x_aq_idu_top/idu_iu_ex1_div_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_iu_ex1_div_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_iu_ex1_dst0_reg[5:0],2091,0.09890265821587362,1.930933094213295,1.3664086765898302,0.17073170731707318,0.08431759496511365,5
x_aq_idu_top/idu_iu_ex1_func[19:0],2428,0.114842493614606,1.936287075782537,1.370197376929805,0.16474464579901152,0.044124636259299944,11
x_aq_idu_top/idu_iu_ex1_inst_vld,369,0.017453410273389463,1.8292476964769646,1.2944518541780117,0.16802168021680217,0.11305965115838888,1
x_aq_idu_top/idu_iu_ex1_length,386,0.018257496925551037,1.9207849740932643,1.3592274441459713,0.15544041450777202,0.04068517005260147,1
x_aq_idu_top/idu_iu_ex1_mult_dp_sel,12,0.0005675905779964053,2.2060833333333334,1.5611164451946067,0.16666666666666666,-0.024974650420046346,1
x_aq_idu_top/idu_iu_ex1_mult_sel,12,0.0005675905779964053,2.2060833333333334,1.5611164451946067,0.16666666666666666,-0.024974650420046346,1
x_aq_idu_top/idu_iu_ex1_pipedown_vld,513,0.024264497209346324,1.8336744639376217,1.2975844191983195,0.22417153996101363,0.5149239887810179,1
x_aq_idu_top/idu_iu_ex1_split,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_iu_ex1_src0_data[63:0],2445,0.11564658026676757,1.9949668957055213,1.411721661392992,0.16278118609406952,0.07436415036083312,64
x_aq_idu_top/idu_iu_ex1_src0_ready,209,0.009885535900104058,1.8582953110047846,1.3150071559872756,0.291866028708134,-0.013035543609915184,1
x_aq_idu_top/idu_iu_ex1_src0_reg[5:0],2002,0.09469302809573361,1.9779020679320678,1.399645878547881,0.18081918081918083,0.08602862599552012,5
x_aq_idu_top/idu_iu_ex1_src1_data[63:0],2547,0.12047110017973701,1.9735798743619946,1.3965873143678231,0.17314487632508835,0.13421154607687652,64
x_aq_idu_top/idu_iu_ex1_src1_ready,29,0.0013716772301579794,2.157655172413793,1.5268466616013494,0.3103448275862069,0.14293308476587463,1
x_aq_idu_top/idu_iu_ex1_src1_reg[5:0],2441,0.11545738340743544,1.9799517001229006,1.4010962836487955,0.17124129455141335,0.1430159788704397,5
x_aq_idu_top/idu_iu_ex1_src2_data[63:0],2666,0.12609970674486803,1.959281462865716,1.3864691628956063,0.1676669167291823,0.17430179505594273,63
x_aq_idu_top/idu_lsu_ex1_dp_sel,254,0.012014000567590577,1.9603464566929136,1.3872227968823863,0.23622047244094488,0.1565473233834063,1
x_aq_idu_top/idu_lsu_ex1_dst0_reg[5:0],2091,0.09890265821587362,1.930933094213295,1.3664086765898302,0.17073170731707318,0.08431759496511365,5
x_aq_idu_top/idu_lsu_ex1_dst1_reg[5:0],1926,0.09109828776842305,1.9939902492211838,1.4110305456654926,0.18328141225337488,0.05837271893583028,5
x_aq_idu_top/idu_lsu_ex1_func[19:0],2428,0.114842493614606,1.936287075782537,1.370197376929805,0.16474464579901152,0.044124636259299944,11
x_aq_idu_top/idu_lsu_ex1_gateclk_sel,254,0.012014000567590577,1.9976614173228349,1.4136284171103133,0.2440944881889764,0.10234787370248327,1
x_aq_idu_top/idu_lsu_ex1_halt_info[21:0],2,9.459842966606754e-05,1.24186,0.878791856742813,0.0,0.039841825618262314,2
x_aq_idu_top/idu_lsu_ex1_length,386,0.018257496925551037,1.9207849740932643,1.3592274441459713,0.15544041450777202,0.04068517005260147,1
x_aq_idu_top/idu_lsu_ex1_sel,254,0.012014000567590577,1.9603464566929136,1.3872227968823863,0.23622047244094488,0.1565473233834063,1
x_aq_idu_top/idu_lsu_ex1_split,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_lsu_ex1_src0_data[63:0],2445,0.11564658026676757,1.9949668957055213,1.411721661392992,0.16278118609406952,0.07436415036083312,64
x_aq_idu_top/idu_lsu_ex1_src1_data[63:0],2547,0.12047110017973701,1.9735798743619946,1.3965873143678231,0.17314487632508835,0.13421154607687652,64
x_aq_idu_top/idu_lsu_ex1_src2_data[63:0],2666,0.12609970674486803,1.959281462865716,1.3864691628956063,0.1676669167291823,0.17430179505594273,63
x_aq_idu_top/idu_lsu_ex1_src2_ready,1,4.729921483303377e-05,0.669,0.4734122623813811,0.0,0.03956500149861868,1
x_aq_idu_top/idu_lsu_ex1_src2_reg[5:0],2092,0.09894995743070666,1.9497993785850862,1.3797592451506377,0.1701720841300191,0.187744556053709,5
x_aq_idu_top/idu_lsu_ex1_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_lsu_ex1_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_mult_ex1_gateclk_sel,12,0.0005675905779964053,2.2060833333333334,1.5611164451946067,0.16666666666666666,-0.024974650420046346,1
x_aq_idu_top/idu_vidu_ex1_fp_dp_sel,30,0.0014189764449910132,1.9502666666666664,1.3800899176586867,0.23333333333333334,0.05893491676477398,1
x_aq_idu_top/idu_vidu_ex1_fp_gateclk_sel,30,0.0014189764449910132,1.9502666666666664,1.3800899176586867,0.23333333333333334,0.05893491676477398,1
x_aq_idu_top/idu_vidu_ex1_fp_sel,30,0.0014189764449910132,1.9502666666666664,1.3800899176586867,0.23333333333333334,0.05893491676477398,1
x_aq_idu_top/idu_vidu_ex1_inst_data[179:0],2943,0.1392015892536184,1.9365229697587496,1.3703643053318393,0.16106014271151886,,98
x_aq_idu_top/idu_vidu_ex1_vec_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_vidu_ex1_vec_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_vidu_ex1_vec_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/ifu_idu_id_bht_pred[1:0],388,0.018352095355217105,1.9889872164948452,1.4074901913430053,0.19845360824742267,-0.019208215799404967,1
x_aq_idu_top/ifu_idu_id_expt_acc_error,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/ifu_idu_id_expt_high,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/ifu_idu_id_expt_page_fault,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/ifu_idu_id_halt_info[21:0],1,4.729921483303377e-05,1.8147199999999999,1.284171451104245,0.0,0.039176963175686315,1
x_aq_idu_top/ifu_idu_id_inst[31:0],2950,0.13953268375744962,1.9397771593220337,1.3726671053966708,0.16576271186440678,0.11839211894022018,25
x_aq_idu_top/ifu_idu_id_inst_vld,345,0.01631822911739665,1.8463594202898552,1.3065608226137453,0.16231884057971013,0.125376020488749,1
x_aq_idu_top/ifu_idu_warm_up,2,9.459842966606754e-05,1.4680000000000004,1.0388179389773806,0.0,-0.0007896623782341157,1
x_aq_idu_top/iu_idu_bju_full,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/iu_idu_bju_global_full,8,0.00037839371866427016,1.7529649999999999,1.2404710411440623,0.125,-0.04506580872559947,1
x_aq_idu_top/iu_idu_div_full,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/iu_idu_mult_full,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/iu_idu_mult_issue_stall,12,0.0005675905779964053,1.9544200000000005,1.3830289893025696,0.3333333333333333,-0.016048877788675007,1
x_aq_idu_top/iu_yy_xx_cancel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/lsu_idu_full,164,0.007757071232617539,2.1056274390243903,1.4900296706141258,0.3048780487804878,-0.2092560378528273,1
