signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_idu_top/cp0_idu_cskyee,1,0.00012030798845043312,1.8147199999999999,1.8736235622690356,0.0,0.02996417822144512,1
x_aq_idu_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_fs[1:0],1,0.00012030798845043312,0.8039999999999994,0.8300968436256302,0.0,-0.3999926087902162,1
x_aq_idu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_issue_stall,38,0.004571703561116458,1.486832894736842,1.5350936479102144,0.3157894736842105,-0.7925814988612226,1
x_aq_idu_top/cp0_idu_ucme,1,0.00012030798845043312,1.8147199999999999,1.8736235622690356,0.0,0.02996417822144512,1
x_aq_idu_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_yy_clk_en,1,0.00012030798845043312,1.8147199999999999,1.8736235622690356,0.0,0.02996417822144512,1
x_aq_idu_top/cp0_yy_priv_mode[1:0],1,0.00012030798845043312,1.8147199999999999,1.8736235622690356,0.0,0.02996417822144579,2
x_aq_idu_top/cpurst_b,3,0.0003609239653512993,1.0352400000000002,1.0688426074564654,0.0,-0.02433228201463386,1
x_aq_idu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/hpcp_idu_cnt_en,1,0.00012030798845043312,1.8147199999999999,1.8736235622690356,0.0,0.02996417822144512,1
x_aq_idu_top/idu_alu_ex1_gateclk_sel,47,0.005654475457170356,1.6639574468085108,1.7179674434367018,0.2978723404255319,0.1361411324612291,1
x_aq_idu_top/idu_bju_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_dp_sel,50,0.006015399422521655,1.9389674000000001,2.001903878896761,0.4,-0.7956688593474617,1
x_aq_idu_top/idu_cp0_ex1_dst0_reg[5:0],201,0.024181905678537056,1.656926567164179,1.7107083501522846,0.417910447761194,0.5688900027310251,4
x_aq_idu_top/idu_cp0_ex1_expt_acc_error,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_high,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_illegal,20,0.002406159769008662,1.24795,1.2884569104510024,0.25,0.4070621954861766,1
x_aq_idu_top/idu_cp0_ex1_expt_page_fault,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_func[19:0],283,0.03404716073147257,1.6611827915194346,1.7151027262754936,0.4664310954063604,0.5200946723350479,9
x_aq_idu_top/idu_cp0_ex1_gateclk_sel,50,0.006015399422521655,1.9389674000000001,2.001903878896761,0.4,-0.7956688593474617,1
x_aq_idu_top/idu_cp0_ex1_halt_info[21:0],2,0.00024061597690086623,1.24186,1.2821692365981665,0.0,0.029667877607401763,2
x_aq_idu_top/idu_cp0_ex1_length,70,0.008421559191530318,1.7780502857142861,1.8357635945013433,0.45714285714285713,-0.6068424756109285,1
x_aq_idu_top/idu_cp0_ex1_opcode[31:0],354,0.04258902791145332,1.6412073728813559,1.694478930303392,0.4378531073446328,-0.1363420762378409,18
x_aq_idu_top/idu_cp0_ex1_sel,50,0.006015399422521655,1.9389674000000001,2.001903878896761,0.4,-0.7956688593474617,1
x_aq_idu_top/idu_cp0_ex1_split,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_src0_data[63:0],133,0.016000962463907604,1.7745817293233084,1.8321824530683977,0.48872180451127817,0.04434682013280121,15
x_aq_idu_top/idu_cp0_ex1_src1_data[63:0],273,0.032844080846968236,1.6871278021978022,1.7418898798475662,0.47619047619047616,0.23943268012603391,61
x_aq_idu_top/idu_div_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_dtu_debug_info[14:0],341,0.04102502406159769,1.6248016715542526,1.6775407202423307,0.41348973607038125,-0.7743858895102158,4
x_aq_idu_top/idu_hpcp_backend_stall,82,0.009865255052935515,1.4696814634146342,1.5173855023825695,0.4146341463414634,-0.7759287281018525,1
x_aq_idu_top/idu_hpcp_frontend_stall,122,0.01467757459095284,1.3552704918032785,1.3992608924189773,0.36885245901639346,0.6657080030209144,1
x_aq_idu_top/idu_hpcp_inst_type[6:0],151,0.0181665062560154,1.6917782781456954,1.746691304481525,0.3576158940397351,-0.28627218067548227,2
x_aq_idu_top/idu_ifu_id_stall,82,0.009865255052935515,1.8665487804878051,1.927134640741539,0.47560975609756095,-0.7856631568365393,1
x_aq_idu_top/idu_iu_ex1_alu_dp_sel,47,0.005654475457170356,1.6639574468085108,1.7179674434367018,0.2978723404255319,0.1361411324612291,1
