signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_idu_top/cp0_idu_cskyee,1,6.953039173422703e-07,1.8147199999999999,1.2526400686648678,0.0,0.0030816346147211756,1
x_aq_idu_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_fs[1:0],3,2.0859117520268108e-06,2.0279999999999987,1.3998600661547513,0.0,0.39361428108943364,2
x_aq_idu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_issue_stall,2,1.3906078346845406e-06,2.1612000000000005,1.4918035379554493,0.0,-0.026465365410342154,1
x_aq_idu_top/cp0_idu_ucme,1,6.953039173422703e-07,1.8147199999999999,1.2526400686648678,0.0,0.0030816346147211756,1
x_aq_idu_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_yy_clk_en,1,6.953039173422703e-07,1.8147199999999999,1.2526400686648678,0.0,0.0030816346147211756,1
x_aq_idu_top/cp0_yy_priv_mode[1:0],1,6.953039173422703e-07,1.8147199999999999,1.2526400686648678,0.0,0.0030816346147150165,2
x_aq_idu_top/cpurst_b,3,2.0859117520268108e-06,1.0352400000000002,0.7145912893915414,0.0,0.0011440319630494663,1
x_aq_idu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/hpcp_idu_cnt_en,1,6.953039173422703e-07,1.8147199999999999,1.2526400686648678,0.0,0.0030816346147211756,1
x_aq_idu_top/idu_alu_ex1_gateclk_sel,27607,0.019195255246068056,1.894944109102764,1.3080160680119097,0.01532220089107835,-0.02463030018805483,1
x_aq_idu_top/idu_bju_ex1_gateclk_sel,28230,0.01962842958657229,1.9769699241941199,1.3646357242940514,0.03747786043216436,-0.4312121469820016,1
x_aq_idu_top/idu_cp0_ex1_dp_sel,2,1.3906078346845406e-06,3.6707000000000005,2.533760525066198,0.0,-0.026475737599969754,1
x_aq_idu_top/idu_cp0_ex1_dst0_reg[5:0],349438,0.24296561026824826,1.9588063880860123,1.3520980473424242,0.042771536009249135,-0.32205970922070626,5
x_aq_idu_top/idu_cp0_ex1_expt_acc_error,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_high,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_illegal,204,0.00014184199913782315,1.545421568627451,1.0667524355501996,0.004901960784313725,-0.004549064694413741,1
x_aq_idu_top/idu_cp0_ex1_expt_page_fault,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_func[19:0],658651,0.4579626204614037,1.9690475110339167,1.3591671494367796,0.04710688968816566,0.18118528402429124,12
x_aq_idu_top/idu_cp0_ex1_gateclk_sel,2,1.3906078346845406e-06,3.6707000000000005,2.533760525066198,0.0,-0.026475737599969754,1
x_aq_idu_top/idu_cp0_ex1_halt_info[21:0],2,1.3906078346845406e-06,1.24186,0.8572141132913909,0.0,0.0031336187922234027,2
x_aq_idu_top/idu_cp0_ex1_length,118708,0.08253813741986622,1.9543340786636119,1.3490109628434568,0.0451696600060653,-0.3145053394444234,1
x_aq_idu_top/idu_cp0_ex1_opcode[31:0],669793,0.46570969670843126,1.9682744592135182,1.3586335378132863,0.046493468877698035,0.2255142616152474,26
x_aq_idu_top/idu_cp0_ex1_sel,2,1.3906078346845406e-06,3.6707000000000005,2.533760525066198,0.0,-0.026475737599969754,1
x_aq_idu_top/idu_cp0_ex1_split,6,4.1718235040536216e-06,1.4620933333333337,1.009233762487388,0.0,-0.012396543525387011,1
x_aq_idu_top/idu_cp0_ex1_src0_data[63:0],450160,0.3129980114307964,1.9094988081126711,1.3180626863151008,0.031586547005509155,,58
x_aq_idu_top/idu_cp0_ex1_src1_data[63:0],591608,0.41134735993102584,1.9602421897100781,1.3530891328239085,0.04950744411840272,,60
x_aq_idu_top/idu_div_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_dtu_debug_info[14:0],611337,0.4250650109162715,1.9317000995359355,1.3333874897078482,0.037871092376218024,-0.12441138467037882,5
x_aq_idu_top/idu_hpcp_backend_stall,155424,0.10806691604900502,1.7806167981135472,1.2290997775165153,0.07332200947086678,-0.7464302590772741,1
x_aq_idu_top/idu_hpcp_frontend_stall,26172,0.0181974941246819,1.731263258444139,1.1950326920596175,0.0028274491823322635,0.024951890085216415,1
x_aq_idu_top/idu_hpcp_inst_type[6:0],480722,0.3342478897526109,1.8914450717670503,1.3056008004397945,0.05827692512512429,0.22044690715384468,3
x_aq_idu_top/idu_ifu_id_stall,155424,0.10806691604900502,1.7718023587734197,1.2230154670442335,0.08587476837554046,-0.7339384896115339,1
