signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_idu_top/cp0_idu_cskyee,1,1.6721597113183475e-06,1.8147199999999999,0.9996457156547467,0.0,0.011918620729464402,1
x_aq_idu_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_fs[1:0],3,5.016479133955042e-06,2.021,1.1132758724972687,0.0,-0.10004175491008264,2
x_aq_idu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_issue_stall,2,3.344319422636695e-06,2.1612000000000005,1.190505599030726,0.0,-0.10968402656650134,1
x_aq_idu_top/cp0_idu_ucme,1,1.6721597113183475e-06,1.8147199999999999,0.9996457156547467,0.0,0.011918620729464402,1
x_aq_idu_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_yy_clk_en,1,1.6721597113183475e-06,1.8147199999999999,0.9996457156547467,0.0,0.011918620729464402,1
x_aq_idu_top/cp0_yy_priv_mode[1:0],1,1.6721597113183475e-06,1.8147199999999999,0.9996457156547467,0.0,0.011918620729486231,2
x_aq_idu_top/cpurst_b,3,5.016479133955042e-06,1.0352400000000002,0.5702660634557509,0.0,0.008631599857157082,1
x_aq_idu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/hpcp_idu_cnt_en,1,1.6721597113183475e-06,1.8147199999999999,0.9996457156547467,0.0,0.011918620729464402,1
x_aq_idu_top/idu_alu_ex1_gateclk_sel,86337,0.14436925299609216,1.9067787924065005,1.0503566668855195,0.024253796170819,0.13895856064474515,1
x_aq_idu_top/idu_bju_ex1_gateclk_sel,28496,0.04764986313372763,1.8193142195395846,1.0021764597251945,0.09611875350926445,-0.0855139108473163,1
x_aq_idu_top/idu_cp0_ex1_dp_sel,2,3.344319422636695e-06,3.6707000000000005,2.0220196660938767,0.0,-0.10973163152925941,1
x_aq_idu_top/idu_cp0_ex1_dst0_reg[5:0],474480,0.7934063398263295,1.861637582153094,1.0254904520263193,0.03207932894958691,0.06475025705590959,5
x_aq_idu_top/idu_cp0_ex1_expt_acc_error,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_high,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_illegal,3942,0.006591653582016925,1.6581968543886352,0.91342431956543,0.06747843734145104,-0.1365676468222604,1
x_aq_idu_top/idu_cp0_ex1_expt_page_fault,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_func[19:0],491867,0.8224801807270216,1.8627297745935385,1.0260920905676705,0.03091079499132896,-0.06606756443968384,12
x_aq_idu_top/idu_cp0_ex1_gateclk_sel,2,3.344319422636695e-06,3.6707000000000005,2.0220196660938767,0.0,-0.10973163152925941,1
x_aq_idu_top/idu_cp0_ex1_halt_info[21:0],2,3.344319422636695e-06,1.24186,0.6840835106479257,0.0,0.012214993299051732,2
x_aq_idu_top/idu_cp0_ex1_length,116034,0.19402737994311312,1.8582896792319492,1.0236462464124778,0.02272609752313977,0.09136870205316074,1
x_aq_idu_top/idu_cp0_ex1_opcode[31:0],547730,0.9158920386803985,1.8570966911069324,1.0229890841681646,0.03144980190970004,0.10193278669808414,26
x_aq_idu_top/idu_cp0_ex1_sel,2,3.344319422636695e-06,3.6707000000000005,2.0220196660938767,0.0,-0.10973163152925941,1
x_aq_idu_top/idu_cp0_ex1_split,320,0.0005350911076218712,1.6478625,0.9077315994275261,0.009375,-0.006265555332799689,1
x_aq_idu_top/idu_cp0_ex1_src0_data[63:0],466536,0.7801227030796165,1.8665784303890804,1.0282121378901463,0.029463964195689078,,62
x_aq_idu_top/idu_cp0_ex1_src1_data[63:0],433602,0.7250517951470581,1.879905890148108,1.0355536220026667,0.03500214482405524,0.160421122256282,64
x_aq_idu_top/idu_div_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_dtu_debug_info[14:0],354270,0.592396020928751,1.850795231772377,1.0195179002796524,0.03265588393033562,0.010521886382170038,5
x_aq_idu_top/idu_hpcp_backend_stall,4846,0.008103285961048711,1.6878490012381344,0.9297583223636949,0.09079653322327692,-0.18479525901006785,1
x_aq_idu_top/idu_hpcp_frontend_stall,21840,0.03651996809519271,1.6778483974358975,0.9242494500611542,0.05228937728937729,-0.33984612128035774,1
