signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_idu_top/cp0_idu_cskyee,1,8.21827744904668e-05,1.8147199999999999,1.4576340510835188,0.0,0.041179941396459946,1
x_aq_idu_top/cp0_idu_dis_fence_in_dbg,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_frm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_fs[1:0],2,0.0001643655489809336,0.8084999999999991,0.6494098981115676,0.0,-0.3418935442272643,1
x_aq_idu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_issue_stall,6,0.0004930966469428008,1.2761600000000002,1.025047539361854,0.16666666666666666,-0.4511470380986982,1
x_aq_idu_top/cp0_idu_ucme,1,8.21827744904668e-05,1.8147199999999999,1.4576340510835188,0.0,0.041179941396459946,1
x_aq_idu_top/cp0_idu_vill,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vl_zero,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vs[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsetvl_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_idu_vstart[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/cp0_yy_clk_en,1,8.21827744904668e-05,1.8147199999999999,1.4576340510835188,0.0,0.041179941396459946,1
x_aq_idu_top/cp0_yy_priv_mode[1:0],12,0.0009861932938856016,1.6044766666666668,1.2887607033053663,0.08333333333333333,-0.060824385790678656,2
x_aq_idu_top/cpurst_b,3,0.0002465483234714004,1.0352400000000002,0.8315338316895733,0.0,0.005582761827383729,1
x_aq_idu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/hpcp_idu_cnt_en,1,8.21827744904668e-05,1.8147199999999999,1.4576340510835188,0.0,0.041179941396459946,1
x_aq_idu_top/idu_alu_ex1_gateclk_sel,195,0.016025641025641024,1.6691977435897436,1.340746489292115,0.21025641025641026,0.15851578855410503,1
x_aq_idu_top/idu_bju_ex1_gateclk_sel,26,0.002136752136752137,2.776544615384615,2.2301985847608488,0.38461538461538464,-0.39151857496980635,1
x_aq_idu_top/idu_cp0_ex1_dp_sel,10,0.000821827744904668,2.054396,1.6501485430313092,0.1,-0.4510683171452784,1
x_aq_idu_top/idu_cp0_ex1_dst0_reg[5:0],803,0.06599276791584484,1.7819299128268993,1.4312961325057172,0.23785803237858033,0.37387928069346577,5
x_aq_idu_top/idu_cp0_ex1_expt_acc_error,2,0.0001643655489809336,1.7245000000000006,1.3851668142157079,0.5,0.009197468188297217,1
x_aq_idu_top/idu_cp0_ex1_expt_high,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_expt_illegal,80,0.006574621959237344,1.57945,1.268658582031313,0.25,0.1279558744025889,1
x_aq_idu_top/idu_cp0_ex1_expt_page_fault,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_func[19:0],1034,0.08497698882314267,1.757017408123791,1.4112857093258169,0.23500967117988394,0.25569044600241253,11
x_aq_idu_top/idu_cp0_ex1_gateclk_sel,10,0.000821827744904668,2.054396,1.6501485430313092,0.1,-0.4510683171452784,1
x_aq_idu_top/idu_cp0_ex1_halt_info[21:0],2,0.0001643655489809336,1.24186,0.9974968164116662,0.0,0.041655981490922325,2
x_aq_idu_top/idu_cp0_ex1_length,182,0.014957264957264958,1.7895824175824173,1.4374428391644423,0.21978021978021978,-0.4531579914808032,1
x_aq_idu_top/idu_cp0_ex1_opcode[31:0],1200,0.09861932938856016,1.7591233,1.4129772208023323,0.23666666666666666,-0.19039416074133864,27
x_aq_idu_top/idu_cp0_ex1_sel,6,0.0004930966469428008,2.403326666666667,1.9304194504994623,0.16666666666666666,-0.4517420306583365,1
x_aq_idu_top/idu_cp0_ex1_split,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_cp0_ex1_src0_data[63:0],890,0.07314266929651544,1.769160808988764,1.421039629818643,0.23820224719101124,,31
x_aq_idu_top/idu_cp0_ex1_src1_data[63:0],1073,0.08818211702827088,1.7628633737185462,1.4159813530132053,0.24697110904007455,0.13207806759451793,63
x_aq_idu_top/idu_div_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_dtu_debug_info[14:0],1017,0.08357988165680473,1.732409714847591,1.3915201192413915,0.232055063913471,-0.36349566922819115,4
x_aq_idu_top/idu_hpcp_backend_stall,304,0.024983563445101907,1.6584333552631578,1.3321002303850014,0.21710526315789475,-0.5038453931330975,1
x_aq_idu_top/idu_hpcp_frontend_stall,168,0.013806706114398421,1.5895833333333331,1.2767979598513877,0.19047619047619047,0.2695266685739257,1
x_aq_idu_top/idu_hpcp_inst_type[6:0],513,0.04215976331360947,1.6934990643274854,1.360265992352441,0.2553606237816764,-0.28969094708665555,2
x_aq_idu_top/idu_ifu_id_stall,304,0.024983563445101907,1.7467609868421055,1.4030474638100112,0.23684210526315788,-0.49640578333247637,1
x_aq_idu_top/idu_iu_ex1_alu_dp_sel,193,0.01586127547666009,1.6514041450777202,1.3264541714235545,0.21243523316062177,0.20492594301460726,1
x_aq_idu_top/idu_iu_ex1_alu_sel,155,0.012738330046022353,1.68001935483871,1.349438711256981,0.2129032258064516,0.19661676221327187,1
x_aq_idu_top/idu_iu_ex1_bht_pred[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_idu_top/idu_iu_ex1_bju_br_sel,2,0.0001643655489809336,2.5474999999999994,2.046223519405343,0.0,-0.0006848789970061436,1
x_aq_idu_top/idu_iu_ex1_bju_dp_sel,2,0.0001643655489809336,2.5474999999999994,2.046223519405343,0.0,-0.0006848789970061436,1
x_aq_idu_top/idu_iu_ex1_bju_sel,2,0.0001643655489809336,2.5474999999999994,2.046223519405343,0.0,-0.0006848789970061436,1
x_aq_idu_top/idu_iu_ex1_div_dp_sel,0,0.0,0.0,0.0,0.0,,0
