case,target,spearman,spearman_null95,pearson,pearson_null95,best_W
cache,tv,0.9,0.211,0.854,0.166,32
cache,maxstep,0.879,0.181,0.756,0.173,32
cache,range,0.89,0.185,0.771,0.172,32
cache,level,0.868,0.179,0.76,0.173,32
conv_softmax,tv,0.897,0.368,0.915,0.469,32
conv_softmax,maxstep,0.692,0.217,0.607,0.167,2
conv_softmax,range,0.598,0.172,0.467,0.124,2
conv_softmax,level,0.929,0.239,0.974,0.209,4
coremark,tv,0.569,0.158,0.787,0.199,512
coremark,maxstep,0.297,0.057,0.505,0.093,8
coremark,range,0.332,0.073,0.465,0.068,64
coremark,level,0.586,0.08,0.878,0.16,4
csr,tv,0.791,0.318,0.789,0.265,8
csr,maxstep,0.612,0.149,0.637,0.159,2
csr,range,0.803,0.348,0.669,0.315,16
csr,level,0.796,0.328,0.738,0.27,16
debug,tv,0.666,0.452,0.831,0.636,256
debug,maxstep,0.835,0.431,0.873,0.591,256
debug,range,0.839,0.433,0.886,0.575,256
debug,level,0.755,0.439,0.834,0.641,256
exception,tv,0.907,0.219,0.906,0.233,64
exception,maxstep,0.865,0.203,0.782,0.187,32
exception,range,0.869,0.206,0.802,0.196,32
exception,level,0.877,0.231,0.922,0.236,32
interrupt,tv,0.89,0.209,0.853,0.194,16
interrupt,maxstep,0.884,0.196,0.737,0.195,16
interrupt,range,0.89,0.189,0.759,0.201,16
interrupt,level,0.849,0.224,0.76,0.223,16
ISA_FP,tv,0.972,0.168,0.974,0.167,128
ISA_FP,maxstep,0.791,0.107,0.771,0.103,16
ISA_FP,range,0.787,0.108,0.79,0.109,16
ISA_FP,level,0.979,0.163,0.981,0.152,128
ISA_INT,tv,0.804,0.153,0.793,0.195,8
ISA_INT,maxstep,0.789,0.164,0.742,0.19,8
ISA_INT,range,0.783,0.164,0.743,0.188,8
ISA_INT,level,0.819,0.158,0.962,0.216,8
ISA_LS,tv,0.963,0.13,0.951,0.138,128
ISA_LS,maxstep,0.81,0.125,0.748,0.119,32
ISA_LS,range,0.865,0.173,0.753,0.142,64
ISA_LS,level,0.959,0.123,0.965,0.124,128
ISA_THEAD,tv,0.817,0.256,0.776,0.24,4
ISA_THEAD,maxstep,0.812,0.295,0.766,0.279,8
ISA_THEAD,range,0.781,0.261,0.771,0.244,4
ISA_THEAD,level,0.821,0.268,0.937,0.324,4
MMU,tv,0.848,0.206,0.757,0.15,4
MMU,maxstep,0.799,0.172,0.706,0.137,4
MMU,range,0.83,0.212,0.74,0.185,8
MMU,level,0.811,0.238,0.798,0.228,8
