signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_ifu_top/biu_ifu_arready,45,0.0014985514003130306,4.655062444444445,2.3515287267551432,0.08888888888888889,-0.01850075771209511,1
x_aq_ifu_top/biu_ifu_rdata[127:0],1668,0.05554630523826967,10.94475304556355,5.528798270923105,0.3890887290167866,,77
x_aq_ifu_top/biu_ifu_rid,205,0.006826734156981584,9.42464336585366,4.760907050919724,0.5219512195121951,0.6409632841251613,1
x_aq_ifu_top/biu_ifu_rlast,451,0.015018815145359486,8.289513170731707,4.1874901968403355,0.4878048780487805,-0.2644822932565822,1
x_aq_ifu_top/biu_ifu_rresp[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/biu_ifu_rvalid,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_bht_en,1,3.330114222917846e-05,10.639999999999999,5.374850703138257,0.0,-0.02432614765315013,1
x_aq_ifu_top/cp0_ifu_bht_inv,4,0.00013320456891671384,0.9595000000000002,0.48469635805086086,0.0,0.021873660150809,1
x_aq_ifu_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_btb_en,1,3.330114222917846e-05,10.639999999999999,5.374850703138257,0.0,-0.02432614765315013,1
x_aq_ifu_top/cp0_ifu_icache_en,1,3.330114222917846e-05,10.639999999999999,5.374850703138257,0.0,-0.02432614765315013,1
x_aq_ifu_top/cp0_ifu_icache_inv_addr[63:0],30,0.0009990342668753538,6.918800000000001,3.495067391435431,0.03333333333333333,0.017220169513982964,63
x_aq_ifu_top/cp0_ifu_icache_inv_req,4,0.00013320456891671384,0.7617500000000004,0.3848019288642453,0.0,0.07042007133348116,1
x_aq_ifu_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icache_pref_en,1,3.330114222917846e-05,10.967999999999996,5.540541589475601,0.0,-0.0269791252778669,1
x_aq_ifu_top/cp0_ifu_icache_read_index[13:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icache_read_req,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icache_read_tag,1,3.330114222917846e-05,21.131999999999998,10.6749384453682,1.0,-0.05631263816658485,1
x_aq_ifu_top/cp0_ifu_icache_read_way,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_iwpe,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_lpmd_req,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_ras_en,1,3.330114222917846e-05,10.639999999999999,5.374850703138257,0.0,-0.02432614765315013,1
x_aq_ifu_top/cp0_ifu_rst_inv_done,3,9.990342668753538e-05,1.533999999999999,0.7749079867118498,0.0,-0.0252403288466955,1
x_aq_ifu_top/cp0_xx_mrvbr[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_yy_clk_en,1,3.330114222917846e-05,21.131999999999998,10.6749384453682,1.0,-0.05631263816658485,1
x_aq_ifu_top/cpurst_b,3,9.990342668753538e-05,11.372333333333332,5.74479265159674,0.3333333333333333,-0.0038230699005505813,1
x_aq_ifu_top/dtu_ifu_debug_inst[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/dtu_ifu_debug_inst_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/dtu_ifu_halt_info0[21:0],1,3.330114222917846e-05,21.131999999999998,10.6749384453682,1.0,-0.05631263816658485,1
x_aq_ifu_top/dtu_ifu_halt_info1[21:0],1,3.330114222917846e-05,21.131999999999998,10.6749384453682,1.0,-0.05631263816658485,1
x_aq_ifu_top/dtu_ifu_halt_info_vld,3,9.990342668753538e-05,10.728,5.419304355570229,0.3333333333333333,-0.049994709800903606,1
x_aq_ifu_top/dtu_ifu_halt_on_reset,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/hpcp_ifu_cnt_en,1,3.330114222917846e-05,21.131999999999998,10.6749384453682,1.0,-0.05631263816658485,1
x_aq_ifu_top/idu_ifu_id_stall,382,0.012721036331546172,4.307000602094241,2.1757034976111966,0.02356020942408377,-0.019048800155553745,1
x_aq_ifu_top/ifu_biu_araddr[39:0],424,0.014119684305171668,6.430855754716981,3.2485798472764356,0.14386792452830188,-0.027332244553542596,8
