signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_ifu_top/biu_ifu_arready,293,0.003513821430712958,4.61001409556314,2.6842568260845554,0.04436860068259386,-0.0942302632114894,1
x_aq_ifu_top/biu_ifu_rdata[127:0],4136,0.049601247226719436,10.17432017408124,5.924165916180618,0.4318181818181818,,75
x_aq_ifu_top/biu_ifu_rid,473,0.005672483060502488,9.25862621564482,5.3909879892621335,0.492600422832981,0.43780819088705625,1
x_aq_ifu_top/biu_ifu_rlast,1051,0.01260418540504887,8.234625889628923,4.794746891503578,0.5223596574690771,-0.3488336781908403,1
x_aq_ifu_top/biu_ifu_rresp[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/biu_ifu_rvalid,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_bht_en,1,1.1992564609941836e-05,10.639999999999999,6.195315683964484,0.0,-0.04198910932703429,1
x_aq_ifu_top/cp0_ifu_bht_inv,4,4.7970258439767345e-05,0.9595000000000002,0.5586847179289403,0.0,0.0384252342551337,1
x_aq_ifu_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_btb_en,1,1.1992564609941836e-05,10.639999999999999,6.195315683964484,0.0,-0.04198910932703429,1
x_aq_ifu_top/cp0_ifu_icache_en,1,1.1992564609941836e-05,10.639999999999999,6.195315683964484,0.0,-0.04198910932703429,1
x_aq_ifu_top/cp0_ifu_icache_inv_addr[63:0],48,0.0005756431012772081,5.950645833333334,3.4648617914443527,0.041666666666666664,0.0015225003135930864,7
x_aq_ifu_top/cp0_ifu_icache_inv_req,6,7.195538765965101e-05,0.8453333333333335,0.49220929118214085,0.0,0.0556339706842752,1
x_aq_ifu_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icache_pref_en,1,1.1992564609941836e-05,10.967999999999996,6.386299099785944,1.0,-0.043887504643147446,1
x_aq_ifu_top/cp0_ifu_icache_read_index[13:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icache_read_req,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icache_read_tag,1,1.1992564609941836e-05,21.131999999999998,12.30445592420465,1.0,-0.039417271093358346,1
x_aq_ifu_top/cp0_ifu_icache_read_way,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_iwpe,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_lpmd_req,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_ras_en,1,1.1992564609941836e-05,10.639999999999999,6.195315683964484,0.0,-0.04198910932703429,1
x_aq_ifu_top/cp0_ifu_rst_inv_done,5,5.996282304970918e-05,2.0185999999999993,1.1753631804182993,0.0,-0.04074877953379542,1
x_aq_ifu_top/cp0_xx_mrvbr[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_yy_clk_en,1,1.1992564609941836e-05,21.131999999999998,12.30445592420465,1.0,-0.039417271093358346,1
