signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_ifu_top/biu_ifu_arready,1,0.00012030798845043312,1.1680000000000001,0.8019162154686675,0.0,-0.10536683769041456,1
x_aq_ifu_top/biu_ifu_rdata[127:0],148,0.0178055822906641,9.593525945945945,6.586647277032055,0.6486486486486487,,77
x_aq_ifu_top/biu_ifu_rid,13,0.0015640038498556303,9.605409230769231,6.594806008875228,0.7692307692307693,-0.11962484147796851,1
x_aq_ifu_top/biu_ifu_rlast,33,0.003970163618864293,9.225669090909092,6.334087022729521,0.7878787878787878,-0.23784816032763478,1
x_aq_ifu_top/biu_ifu_rresp[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/biu_ifu_rvalid,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_bht_en,1,0.00012030798845043312,10.639999999999999,7.305127168310463,0.0,-0.23435967716134284,1
x_aq_ifu_top/cp0_ifu_bht_inv,4,0.00048123195380173246,0.9595000000000002,0.6587659321422831,0.0,0.20892743913596878,1
x_aq_ifu_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_btb_en,1,0.00012030798845043312,10.639999999999999,7.305127168310463,0.0,-0.23435967716134284,1
x_aq_ifu_top/cp0_ifu_icache_en,3,0.0003609239653512993,10.990666666666668,7.545885118845008,0.3333333333333333,-0.24495583250477604,1
x_aq_ifu_top/cp0_ifu_icache_inv_addr[63:0],50,0.006015399422521655,5.0969212,3.4994039034640574,0.12,0.053290822781211916,10
x_aq_ifu_top/cp0_ifu_icache_inv_req,16,0.0019249278152069298,1.583685,1.087313939806932,0.0,0.2970629498159666,1
x_aq_ifu_top/cp0_ifu_icache_inv_type[1:0],8,0.0009624639076034649,3.2948674999999996,2.2621641062249225,0.0,0.02654761733026388,2
x_aq_ifu_top/cp0_ifu_icache_pref_en,1,0.00012030798845043312,10.967999999999996,7.530322817859882,1.0,-0.24525578205400692,1
x_aq_ifu_top/cp0_ifu_icache_read_index[13:0],2,0.00024061597690086623,7.861499999999999,5.397486582112096,0.5,-0.16023791933144982,8
x_aq_ifu_top/cp0_ifu_icache_read_req,4,0.00048123195380173246,11.006,7.556412557746707,0.5,0.052870128462602875,1
x_aq_ifu_top/cp0_ifu_icache_read_tag,2,0.00024061597690086623,12.850999999999999,8.823138086462196,0.5,0.16171648649579398,1
x_aq_ifu_top/cp0_ifu_icache_read_way,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_iwpe,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_lpmd_req,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_ras_en,1,0.00012030798845043312,10.639999999999999,7.305127168310463,0.0,-0.23435967716134284,1
x_aq_ifu_top/cp0_ifu_rst_inv_done,31,0.0037295476419634266,3.3836070967741936,2.323090237738088,0.06451612903225806,0.14645272967189196,1
x_aq_ifu_top/cp0_xx_mrvbr[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_yy_clk_en,1,0.00012030798845043312,21.131999999999998,14.508641665482774,1.0,-0.18268400597289075,1
x_aq_ifu_top/cpurst_b,3,0.0003609239653512993,11.372333333333332,7.807926804550378,0.3333333333333333,-0.0221134756398446,1
x_aq_ifu_top/dtu_ifu_debug_inst[31:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/dtu_ifu_debug_inst_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/dtu_ifu_halt_info0[21:0],1,0.00012030798845043312,21.131999999999998,14.508641665482774,1.0,-0.18268400597289075,1
x_aq_ifu_top/dtu_ifu_halt_info1[21:0],1,0.00012030798845043312,21.131999999999998,14.508641665482774,1.0,-0.18268400597289075,1
x_aq_ifu_top/dtu_ifu_halt_info_vld,3,0.0003609239653512993,10.728,7.3655455133115275,0.3333333333333333,-0.1638858973998409,1
x_aq_ifu_top/dtu_ifu_halt_on_reset,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/hpcp_ifu_cnt_en,1,0.00012030798845043312,21.131999999999998,14.508641665482774,1.0,-0.18268400597289075,1
x_aq_ifu_top/idu_ifu_id_stall,82,0.009865255052935515,3.685545365853659,2.5303926299002155,0.07317073170731707,-0.20155700737902493,1
x_aq_ifu_top/ifu_biu_araddr[39:0],46,0.005534167468719923,6.6376539130434775,4.557228001317309,0.32608695652173914,-0.2532094247332515,7
x_aq_ifu_top/ifu_biu_arburst[1:0],4,0.00048123195380173246,10.36308,7.115001621745752,0.5,-0.27755730528137335,2
x_aq_ifu_top/ifu_biu_arcache[3:0],2,0.00024061597690086623,1.04283,0.7159779854256767,0.0,-0.13507031832200692,3
x_aq_ifu_top/ifu_biu_arid,119,0.01431665062560154,2.624948739495798,1.8022165744655134,0.19327731092436976,-0.18387017616485776,1
x_aq_ifu_top/ifu_biu_arlen[1:0],6,0.0007218479307025986,6.853106666666666,4.705151851315435,0.5,-0.26655663739587954,1
x_aq_ifu_top/ifu_biu_arprot[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/ifu_biu_arsize[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/ifu_biu_arvalid,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/ifu_cp0_bht_inv_done,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/ifu_cp0_icache_inv_done,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/ifu_cp0_icache_read_data[127:0],266,0.03200192492781521,7.113206616541353,4.883729220705074,0.30451127819548873,,78
x_aq_ifu_top/ifu_cp0_icache_read_data_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/ifu_cp0_rst_inv_req,2,0.00024061597690086623,10.800999999999998,7.415665276778318,0.5,-0.01630321596436471,1
x_aq_ifu_top/ifu_cp0_warm_up,2,0.00024061597690086623,1.3300000000000005,0.9131408960388083,0.0,-0.01592101581298485,1
x_aq_ifu_top/ifu_dtu_addr_vld0,63,0.007579403272377286,4.3759796825396835,3.004425570196921,0.047619047619047616,-0.21070337202414371,1
x_aq_ifu_top/ifu_dtu_addr_vld1,12,0.0014436958614051972,7.703283333333334,5.288859432662268,0.25,-0.22028122628722943,1
x_aq_ifu_top/ifu_dtu_data_vld0,63,0.007579403272377286,4.3759796825396835,3.004425570196921,0.047619047619047616,-0.21070337202414371,1
x_aq_ifu_top/ifu_dtu_data_vld1,12,0.0014436958614051972,7.703283333333334,5.288859432662268,0.25,-0.22028122628722943,1
x_aq_ifu_top/ifu_dtu_debug_info[20:0],699,0.08409528392685274,5.201467238912732,3.5711822971859224,0.1917024320457797,-0.16321976408831265,9
x_aq_ifu_top/ifu_dtu_exe_addr0[39:0],357,0.04294995187680462,5.230012661064426,3.5907807876832183,0.1568627450980392,-0.25496816174415887,10
