signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_ifu_top/biu_ifu_arready,165,0.0002759063523675273,4.217156303030303,0.9545734393789264,0.05454545454545454,0.09930713233755784,1
x_aq_ifu_top/biu_ifu_rdata[127:0],3450,0.005768951004048299,10.27138628115942,2.32497726549772,0.5933333333333334,,81
x_aq_ifu_top/biu_ifu_rid,393,0.0006571587665481105,9.297601603053435,2.1045564599595923,0.5597964376590331,0.04772629474513567,1
x_aq_ifu_top/biu_ifu_rlast,935,0.0015634693300826548,8.031565754010694,1.817983208233223,0.5775401069518716,0.06705596705035692,1
x_aq_ifu_top/biu_ifu_rresp[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/biu_ifu_rvalid,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_bht_en,1,1.6721597113183475e-06,10.639999999999999,2.408414738551082,0.0,0.11650771677705038,1
x_aq_ifu_top/cp0_ifu_bht_inv,4,6.68863884527339e-06,0.9595000000000002,0.217187400530053,0.0,-0.10779329257660357,1
x_aq_ifu_top/cp0_ifu_btb_clr,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_btb_en,1,1.6721597113183475e-06,10.639999999999999,2.408414738551082,0.0,0.11650771677705038,1
x_aq_ifu_top/cp0_ifu_icache_en,1,1.6721597113183475e-06,10.639999999999999,2.408414738551082,0.0,0.11650771677705038,1
x_aq_ifu_top/cp0_ifu_icache_inv_addr[63:0],16,2.675455538109356e-05,7.549812499999999,1.7089360618700367,0.125,-0.052769326418131965,6
x_aq_ifu_top/cp0_ifu_icache_inv_req,4,6.68863884527339e-06,0.7617500000000004,0.17242574502737668,0.0,-0.03996756843048212,1
x_aq_ifu_top/cp0_ifu_icache_inv_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icache_pref_en,1,1.6721597113183475e-06,11.088000000000001,2.509821674911128,1.0,0.11669103038164653,1
x_aq_ifu_top/cp0_ifu_icache_read_index[13:0],0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icache_read_req,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icache_read_tag,1,1.6721597113183475e-06,21.131999999999998,4.783328971340363,1.0,-0.0055536787619832806,1
x_aq_ifu_top/cp0_ifu_icache_read_way,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_ifu_top/cp0_ifu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
