case,target,spearman,spearman_null95,pearson,pearson_null95,best_W
cache,tv,0.299,0.13,0.572,0.096,32
cache,maxstep,0.572,0.218,0.633,0.159,64
cache,range,0.684,0.241,0.577,0.157,64
cache,level,0.624,0.172,0.671,0.132,64
conv_softmax,tv,0.804,0.289,0.729,0.27,16
conv_softmax,maxstep,0.823,0.301,0.811,0.28,16
conv_softmax,range,0.833,0.264,0.799,0.229,8
conv_softmax,level,0.76,0.229,0.661,0.23,4
coremark,tv,0.368,0.114,0.396,0.131,4
coremark,maxstep,0.488,0.134,0.516,0.149,8
coremark,range,0.567,0.134,0.59,0.145,8
coremark,level,0.458,0.197,0.462,0.241,4
csr,tv,0.29,0.134,0.413,0.14,8
csr,maxstep,0.623,0.384,0.432,0.284,16
csr,range,0.649,0.387,0.303,0.242,16
csr,level,0.61,0.23,0.399,0.148,16
debug,tv,0.624,0.286,0.966,0.58,256
debug,maxstep,0.727,0.251,0.609,0.308,256
debug,range,0.799,0.246,0.596,0.268,256
debug,level,0.707,0.316,0.987,0.609,256
exception,tv,0.67,0.193,0.876,0.228,64
exception,maxstep,0.781,0.198,0.821,0.204,64
exception,range,0.825,0.202,0.811,0.217,64
exception,level,0.733,0.199,0.917,0.257,64
interrupt,tv,0.448,0.186,0.557,0.117,16
interrupt,maxstep,0.658,0.361,0.658,0.156,16
interrupt,range,0.664,0.37,0.528,0.144,16
interrupt,level,0.627,0.189,0.638,0.119,16
ISA_FP,tv,0.935,0.155,0.946,0.153,128
ISA_FP,maxstep,0.865,0.131,0.862,0.135,64
ISA_FP,range,0.867,0.121,0.866,0.132,64
ISA_FP,level,0.965,0.165,0.98,0.165,128
ISA_INT,tv,0.787,0.273,0.766,0.219,64
ISA_INT,maxstep,0.716,0.151,0.773,0.142,16
ISA_INT,range,0.72,0.154,0.819,0.154,16
ISA_INT,level,0.736,0.182,0.827,0.149,32
ISA_LS,tv,0.88,0.13,0.951,0.113,128
ISA_LS,maxstep,0.857,0.136,0.743,0.12,128
ISA_LS,range,0.922,0.13,0.847,0.115,128
ISA_LS,level,0.955,0.135,0.991,0.114,128
ISA_THEAD,tv,0.734,0.291,0.945,0.309,32
ISA_THEAD,maxstep,0.712,0.222,0.867,0.227,16
ISA_THEAD,range,0.714,0.223,0.885,0.243,16
ISA_THEAD,level,0.713,0.246,0.954,0.23,16
MMU,tv,0.56,0.195,0.647,0.224,32
MMU,maxstep,0.727,0.245,0.677,0.25,32
MMU,range,0.742,0.27,0.599,0.254,32
MMU,level,0.678,0.188,0.705,0.15,16
