signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_iu_top/cp0_iu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/cp0_xx_mrvbr[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/cp0_yy_clk_en,1,1.4069644741470277e-05,0.31353999999999993,0.8835938821899068,0.0,0.0166149953482582,1
x_aq_iu_top/cpurst_b,3,4.220893422441084e-05,0.19442,0.5478992236249337,0.0,0.009261079688510997,1
x_aq_iu_top/da_xx_fwd_data[63:0],42,0.0005909250791417517,0.5613192857142856,1.5818660675267946,0.14285714285714285,0.013834006201490195,59
x_aq_iu_top/da_xx_fwd_dst_reg[5:0],32,0.00045022863172704887,0.7256753125,2.0450413554291282,0.1875,-0.0106897913211889,4
x_aq_iu_top/da_xx_fwd_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/hpcp_iu_cnt_en,1,1.4069644741470277e-05,0.31353999999999993,0.8835938821899068,0.0,0.0166149953482582,1
x_aq_iu_top/idu_alu_ex1_gateclk_sel,3651,0.051368272951107984,0.5539738208709943,1.5611656535529055,0.062448644207066556,0.4769334209091359,1
x_aq_iu_top/idu_bju_ex1_gateclk_sel,2,2.8139289482940555e-05,1.3020749999999996,3.669405830683239,1.0,0.022199466752958714,1
x_aq_iu_top/idu_div_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_alu_dp_sel,3651,0.051368272951107984,0.5530685784716517,1.5586145702909355,0.061900849082443164,0.4791134048840957,1
x_aq_iu_top/idu_iu_ex1_alu_sel,2925,0.04115371086880056,0.5859522837606838,1.651284854200882,0.07418803418803419,0.4786492022869161,1
x_aq_iu_top/idu_iu_ex1_bht_pred[1:0],2330,0.03278227224762575,0.8981552145922747,2.5311107127342507,0.23948497854077253,0.23126277380010113,2
x_aq_iu_top/idu_iu_ex1_bju_br_sel,2,2.8139289482940555e-05,1.3020749999999996,3.669405830683239,1.0,0.022199466752958714,1
x_aq_iu_top/idu_iu_ex1_bju_dp_sel,2,2.8139289482940555e-05,1.3020749999999996,3.669405830683239,1.0,0.022199466752958714,1
x_aq_iu_top/idu_iu_ex1_bju_sel,2,2.8139289482940555e-05,1.3020749999999996,3.669405830683239,1.0,0.022199466752958714,1
x_aq_iu_top/idu_iu_ex1_div_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_div_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_dst0_reg[5:0],9886,0.13909250791417516,0.629653875177018,1.774441257905149,0.10610965001011531,0.0385066463805249,5
x_aq_iu_top/idu_iu_ex1_func[19:0],13112,0.18448118185015827,0.6324885028981085,1.7824295838369009,0.0976967663209274,-0.047108882947853564,13
