signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_iu_top/cp0_iu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/cp0_xx_mrvbr[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/cp0_yy_clk_en,1,4.729921483303377e-05,0.31353999999999993,0.8938107746106388,0.0,0.027005132336247965,1
x_aq_iu_top/cpurst_b,3,0.00014189764449910132,0.19442,0.5542345180831806,0.0,0.01504382381631041,1
x_aq_iu_top/da_xx_fwd_data[63:0],615,0.02908901712231577,0.6890766504065041,1.9643558546467499,0.19349593495934958,,54
x_aq_iu_top/da_xx_fwd_dst_reg[5:0],588,0.027811938321823857,0.6943380102040817,1.9793544515599926,0.17687074829931973,0.04716141844931691,5
x_aq_iu_top/da_xx_fwd_vld,80,0.0037839371866427015,0.79474975,2.2655989336898377,0.3,0.08917304669069696,1
x_aq_iu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/hpcp_iu_cnt_en,1,4.729921483303377e-05,0.31353999999999993,0.8938107746106388,0.0,0.027005132336247965,1
x_aq_iu_top/idu_alu_ex1_gateclk_sel,449,0.021237347460032162,0.695200267260579,1.9818124940667903,0.12694877505567928,0.5273755804266187,1
x_aq_iu_top/idu_bju_ex1_gateclk_sel,210,0.009932835114937092,0.7576700000000001,2.1598954187639308,0.22380952380952382,0.10873745781475412,1
x_aq_iu_top/idu_div_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_alu_dp_sel,449,0.021237347460032162,0.6853288864142539,1.953672076382506,0.12694877505567928,0.5395871669416347,1
x_aq_iu_top/idu_iu_ex1_alu_sel,447,0.021142749030366097,0.6853648769574945,1.9537746748877447,0.12527964205816555,0.5396810142035923,1
x_aq_iu_top/idu_iu_ex1_bht_pred[1:0],378,0.017879103206886765,1.0867588095238097,3.098031298575659,0.2857142857142857,0.2115660658792777,1
x_aq_iu_top/idu_iu_ex1_bju_br_sel,62,0.002932551319648094,0.8082916129032257,2.304202821459192,0.3709677419354839,0.1119255309381291,1
x_aq_iu_top/idu_iu_ex1_bju_dp_sel,62,0.002932551319648094,0.8082916129032257,2.304202821459192,0.3709677419354839,0.1119255309381291,1
x_aq_iu_top/idu_iu_ex1_bju_sel,62,0.002932551319648094,0.8082916129032257,2.304202821459192,0.3709677419354839,0.1119255309381291,1
x_aq_iu_top/idu_iu_ex1_div_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_div_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_dst0_reg[5:0],2091,0.09890265821587362,0.7306810616929699,2.0829578546441203,0.16451458632233382,0.026241685115975574,5
x_aq_iu_top/idu_iu_ex1_func[19:0],2428,0.114842493614606,0.7452154489291598,2.124391138799475,0.15197693574958815,-0.0851827799567213,11
