signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_iu_top/cp0_iu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/cp0_xx_mrvbr[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/cp0_yy_clk_en,1,2.5492645371810232e-05,0.31353999999999993,1.0640801327186138,0.0,0.035768068811287294,1
x_aq_iu_top/cpurst_b,3,7.64779361154307e-05,0.19442,0.659815205087558,0.0,0.013465083395077359,1
x_aq_iu_top/da_xx_fwd_data[63:0],4,0.00010197058148724093,0.2761375000000001,0.9371449500816047,0.0,-0.0001075880742909446,16
x_aq_iu_top/da_xx_fwd_dst_reg[5:0],6,0.0001529558722308614,1.09781,3.7257058445487705,0.3333333333333333,0.03605277321921987,2
x_aq_iu_top/da_xx_fwd_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/hpcp_iu_cnt_en,1,2.5492645371810232e-05,0.31353999999999993,1.0640801327186138,0.0,0.035768068811287294,1
x_aq_iu_top/idu_alu_ex1_gateclk_sel,30,0.000764779361154307,0.2999693333333333,1.0180245200766966,0.0,0.004831606943165543,1
x_aq_iu_top/idu_bju_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_div_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_alu_dp_sel,30,0.000764779361154307,0.2999693333333333,1.0180245200766966,0.0,0.004831606943165543,1
x_aq_iu_top/idu_iu_ex1_alu_sel,30,0.000764779361154307,0.2999693333333333,1.0180245200766966,0.0,0.004831606943165543,1
x_aq_iu_top/idu_iu_ex1_bht_pred[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_bju_br_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_bju_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_bju_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_div_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_div_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_dst0_reg[5:0],119,0.0030336247992454176,0.5278253781512605,1.7913137029898765,0.3025210084033613,0.003845798654405026,4
x_aq_iu_top/idu_iu_ex1_func[19:0],1392,0.03548576235755985,0.5530740948275863,1.877001837811333,0.2952586206896552,-0.1929824557190866,9
x_aq_iu_top/idu_iu_ex1_inst_vld,38,0.0009687205241287888,0.37215052631578943,1.2629903088390868,0.05263157894736842,-0.009786206530562778,1
x_aq_iu_top/idu_iu_ex1_length,14,0.00035689703520534326,0.5592771428571428,1.8980535064040178,0.35714285714285715,-0.008119022540591922,1
