signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_iu_top/cp0_iu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/cp0_xx_mrvbr[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/cp0_yy_clk_en,1,8.21827744904668e-05,0.31353999999999993,1.0187988619418067,0.0,0.05301089597070869,1
x_aq_iu_top/cpurst_b,3,0.0002465483234714004,0.19442,0.6317371778360851,0.0,0.022703374352888914,1
x_aq_iu_top/da_xx_fwd_data[63:0],36,0.0029585798816568047,0.47877972222222226,1.5557193216840417,0.3611111111111111,-0.001209937994123714,8
x_aq_iu_top/da_xx_fwd_dst_reg[5:0],219,0.01799802761341223,0.48222726027397267,1.5669215537553067,0.1963470319634703,-0.005701181041595982,4
x_aq_iu_top/da_xx_fwd_vld,4,0.0003287310979618672,0.2418499999999999,0.7858534948032975,0.0,0.009110098008115335,1
x_aq_iu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/hpcp_iu_cnt_en,1,8.21827744904668e-05,0.31353999999999993,1.0187988619418067,0.0,0.05301089597070869,1
x_aq_iu_top/idu_alu_ex1_gateclk_sel,195,0.016025641025641024,0.495235794871795,1.6091907386879851,0.28717948717948716,0.27630438105496663,1
x_aq_iu_top/idu_bju_ex1_gateclk_sel,26,0.002136752136752137,0.8964526923076923,2.912881873788817,0.3076923076923077,-0.05032631961203078,1
x_aq_iu_top/idu_div_ex1_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_alu_dp_sel,193,0.01586127547666009,0.496749481865285,1.614109226237592,0.2849740932642487,0.3074439851054973,1
x_aq_iu_top/idu_iu_ex1_alu_sel,155,0.012738330046022353,0.4928649032258065,1.6014868995901972,0.2645161290322581,0.29309780147206604,1
x_aq_iu_top/idu_iu_ex1_bht_pred[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_bju_br_sel,2,0.0001643655489809336,0.8518,2.767789980870164,1.0,0.0018951911259413954,1
x_aq_iu_top/idu_iu_ex1_bju_dp_sel,2,0.0001643655489809336,0.8518,2.767789980870164,1.0,0.0018951911259413954,1
x_aq_iu_top/idu_iu_ex1_bju_sel,2,0.0001643655489809336,0.8518,2.767789980870164,1.0,0.0018951911259413954,1
x_aq_iu_top/idu_iu_ex1_div_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_div_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_iu_top/idu_iu_ex1_dst0_reg[5:0],803,0.06599276791584484,0.5252271731008717,1.7066429999874992,0.23536737235367372,-0.07476357234857711,5
x_aq_iu_top/idu_iu_ex1_func[19:0],1034,0.08497698882314267,0.546865415860735,1.776953062812559,0.2330754352030948,0.013116549588685212,11
