case,target,spearman,spearman_null95,pearson,pearson_null95,best_W
cache,tv,0.341,0.145,0.399,0.138,32
cache,maxstep,0.537,0.265,0.565,0.299,32
cache,range,0.547,0.252,0.54,0.295,16
cache,level,0.807,0.207,0.543,0.215,64
coremark,tv,0.925,0.218,0.867,0.213,256
coremark,maxstep,0.645,0.065,0.566,0.059,4
coremark,range,0.66,0.068,0.6,0.057,4
coremark,level,0.897,0.147,0.895,0.181,8
csr,tv,0.2,0.151,0.206,0.172,4
csr,maxstep,0.457,0.33,0.174,0.184,16
csr,range,0.41,0.246,0.16,0.13,8
csr,level,0.376,0.233,0.324,0.243,2
debug,tv,0.102,0.081,0.343,0.073,128
debug,maxstep,0.41,0.283,0.498,0.143,256
debug,range,0.624,0.29,0.559,0.14,256
debug,level,0.098,0.058,0.199,0.017,2
exception,tv,0.349,0.201,0.065,0.232,64
exception,maxstep,0.613,0.195,0.367,0.17,64
exception,range,0.68,0.175,0.449,0.173,64
exception,level,0.309,0.212,0.034,0.22,64
interrupt,tv,0.349,0.181,0.611,0.12,8
interrupt,maxstep,0.517,0.302,0.812,0.1,16
interrupt,range,0.536,0.324,0.813,0.107,16
interrupt,level,0.555,0.252,0.617,0.132,16
ISA_FP,tv,0.069,0.026,0.24,0.034,16
ISA_FP,maxstep,0.428,0.059,0.317,0.046,32
ISA_FP,range,0.468,0.061,0.326,0.041,16
ISA_FP,level,0.271,0.048,0.335,0.048,32
ISA_INT,tv,0.438,0.172,0.876,0.244,128
ISA_INT,maxstep,0.611,0.187,0.811,0.197,64
ISA_INT,range,0.671,0.19,0.817,0.194,64
ISA_INT,level,0.552,0.21,0.861,0.227,128
ISA_LS,tv,0.582,0.089,0.619,0.093,128
ISA_LS,maxstep,0.728,0.091,0.661,0.089,128
ISA_LS,range,0.735,0.105,0.678,0.09,128
ISA_LS,level,0.544,0.142,0.503,0.124,128
ISA_THEAD,tv,0.638,0.374,0.89,0.474,64
ISA_THEAD,maxstep,0.633,0.247,0.842,0.387,32
ISA_THEAD,range,0.653,0.26,0.863,0.394,32
ISA_THEAD,level,0.67,0.327,0.925,0.358,32
MMU,tv,0.401,0.174,0.769,0.338,32
MMU,maxstep,0.565,0.271,0.746,0.363,32
MMU,range,0.583,0.259,0.786,0.323,32
MMU,level,0.57,0.31,0.754,0.347,32
