signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_lsu_top/biu_lsu_arready,1,1.4069644741470277e-05,9.919999999999995,1.3271000053568558,1.0,-0.0290485257899608,1
x_aq_lsu_top/biu_lsu_no_op,1,1.4069644741470277e-05,1.2299999999999933,0.16454969824485127,0.0,-0.04206028770585934,1
x_aq_lsu_top/biu_lsu_rdata[127:0],5,7.034822370735139e-05,22.892000000000003,3.0624973107489075,0.8,,50
x_aq_lsu_top/biu_lsu_rid[3:0],8,0.00011255715793176222,16.848749999999995,2.254029860408904,0.625,0.06252702732776216,2
x_aq_lsu_top/biu_lsu_rlast,9,0.0001266268026732325,8.385555555555555,1.1218216555139109,0.3333333333333333,-0.06311477035844805,1
x_aq_lsu_top/biu_lsu_rresp[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_rvalid,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_stb_awready,1,1.4069644741470277e-05,6.270000000000003,0.83880212032132,0.0,-0.026125792393021756,1
x_aq_lsu_top/biu_lsu_stb_wready,1,1.4069644741470277e-05,1.2299999999999933,0.16454969824485127,0.0,-0.04206028770585934,1
x_aq_lsu_top/biu_lsu_vb_awready,1,1.4069644741470277e-05,6.270000000000003,0.83880212032132,0.0,-0.026125792393021756,1
x_aq_lsu_top/biu_lsu_vb_wready,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_amr[1:0],1,1.4069644741470277e-05,0.23999999999999844,0.032107258194117284,0.0,-0.03358968275723865,1
x_aq_lsu_top/cp0_lsu_dcache_en,1,1.4069644741470277e-05,5.359999999999999,0.717062099668624,0.0,-0.03359881112007438,1
x_aq_lsu_top/cp0_lsu_dcache_pref_dist[1:0],2,2.8139289482940555e-05,0.7349999999999959,0.09832847821948427,0.0,-0.038444144370976395,1
x_aq_lsu_top/cp0_lsu_dcache_pref_en,1,1.4069644741470277e-05,0.23999999999999844,0.032107258194117284,0.0,-0.03358968275723865,1
x_aq_lsu_top/cp0_lsu_dcache_read_idx[16:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_type,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_way[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_wa,1,1.4069644741470277e-05,5.359999999999999,0.717062099668624,0.0,-0.03359881112007438,1
x_aq_lsu_top/cp0_lsu_dcache_wb,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_fence_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_icc_addr[63:0],896,0.012606401688357369,7.407421874999999,0.9909666945557454,0.0703125,0.004188216268962081,6
x_aq_lsu_top/cp0_lsu_icc_op[1:0],1,1.4069644741470277e-05,1.2299999999999933,0.16454969824485127,0.0,-0.04206028770585934,1
x_aq_lsu_top/cp0_lsu_icc_req,4,5.627857896588111e-05,5.522499999999997,0.7388013890708908,0.5,0.06692804488552363,1
x_aq_lsu_top/cp0_lsu_icc_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_mm,1,1.4069644741470277e-05,1.2299999999999933,0.16454969824485127,0.0,-0.04206028770585934,1
x_aq_lsu_top/cp0_lsu_mpp[1:0],1,1.4069644741470277e-05,1.2299999999999933,0.16454969824485127,0.0,-0.042060287705864466,2
x_aq_lsu_top/cp0_lsu_mprv,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_sync_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_we_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_yy_priv_mode[1:0],1,1.4069644741470277e-05,1.2299999999999933,0.16454969824485127,0.0,-0.042060287705864466,2
x_aq_lsu_top/cpurst_b,3,4.220893422441084e-05,6.4566666666666634,0.8637744322500772,0.3333333333333333,-0.021056965831581967,1
x_aq_lsu_top/da_xx_fwd_data[63:0],42,0.0005909250791417517,23.89404761904762,3.1965514841970846,0.9761904761904762,-0.02009604876999985,59
x_aq_lsu_top/da_xx_fwd_dst_reg[5:0],32,0.00045022863172704887,24.145312499999996,3.2301657608964685,0.90625,0.05649518404124531,4
x_aq_lsu_top/da_xx_fwd_vld,0,0.0,0.0,0.0,0.0,,0
