signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_lsu_top/biu_lsu_arready,1,3.330114222917846e-05,9.919999999999995,1.243775458472757,0.0,-0.024625661557859384,1
x_aq_lsu_top/biu_lsu_no_op,7,0.00023310799560424922,10.755714285714285,1.348557809164947,0.0,-0.05736750983828152,1
x_aq_lsu_top/biu_lsu_rdata[127:0],2,6.660228445835692e-05,15.599999999999993,1.9559372129208679,1.0,0.0060364234686177635,32
x_aq_lsu_top/biu_lsu_rid[3:0],44,0.0014652502580838522,23.25340909090909,2.9155261646270207,0.36363636363636365,0.11467340550359544,3
x_aq_lsu_top/biu_lsu_rlast,45,0.0014985514003130306,11.908888888888885,1.4931435219434377,0.08888888888888889,-0.10002922367985008,1
x_aq_lsu_top/biu_lsu_rresp[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_rvalid,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_stb_awready,7,0.00023310799560424922,8.154285714285717,1.0223891585487475,0.0,-0.006429428170397325,1
x_aq_lsu_top/biu_lsu_stb_wready,7,0.00023310799560424922,14.92428571428571,1.871215756720175,0.42857142857142855,-0.03980752843502007,1
x_aq_lsu_top/biu_lsu_vb_awready,5,0.00016650571114589232,11.318000000000001,1.419057524092205,0.0,-0.005973335078499123,1
x_aq_lsu_top/biu_lsu_vb_wready,6,0.00019980685337507077,30.043333333333333,3.766850876080297,0.5,-0.0023038050252509614,1
x_aq_lsu_top/cp0_lsu_amr[1:0],1,3.330114222917846e-05,0.23999999999999844,0.03009134173724394,0.0,0.003953970416179072,1
x_aq_lsu_top/cp0_lsu_dcache_en,1,3.330114222917846e-05,5.359999999999999,0.672039965465119,0.0,0.003695912954668987,1
x_aq_lsu_top/cp0_lsu_dcache_pref_dist[1:0],2,6.660228445835692e-05,0.7349999999999959,0.09215473407030965,0.0,-0.00118174556245718,1
x_aq_lsu_top/cp0_lsu_dcache_pref_en,1,3.330114222917846e-05,0.23999999999999844,0.03009134173724394,0.0,0.003953970416179072,1
x_aq_lsu_top/cp0_lsu_dcache_read_idx[16:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_type,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_way[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_wa,1,3.330114222917846e-05,5.359999999999999,0.672039965465119,0.0,0.003695912954668987,1
x_aq_lsu_top/cp0_lsu_dcache_wb,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_fence_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_icc_addr[63:0],30,0.0009990342668753538,7.0680000000000005,0.8861900141618398,0.0,-0.0019896018574532813,6
x_aq_lsu_top/cp0_lsu_icc_op[1:0],1,3.330114222917846e-05,1.2299999999999933,0.15421812640337537,0.0,-0.038510569257386496,1
x_aq_lsu_top/cp0_lsu_icc_req,4,0.00013320456891671384,5.522499999999997,0.6924143114330444,0.0,0.053366078650918455,1
x_aq_lsu_top/cp0_lsu_icc_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_mm,1,3.330114222917846e-05,1.2299999999999933,0.15421812640337537,0.0,-0.038510569257386496,1
x_aq_lsu_top/cp0_lsu_mpp[1:0],1,3.330114222917846e-05,1.2299999999999933,0.15421812640337537,0.0,-0.03851056925738999,2
x_aq_lsu_top/cp0_lsu_mprv,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_sync_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_we_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_yy_priv_mode[1:0],1,3.330114222917846e-05,1.2299999999999933,0.15421812640337537,0.0,-0.03851056925738999,2
x_aq_lsu_top/cpurst_b,3,9.990342668753538e-05,6.4566666666666634,0.8095406797922481,0.3333333333333333,-0.017523276650672256,1
x_aq_lsu_top/da_xx_fwd_data[63:0],429,0.014286190016317559,21.438414918414917,2.687961123395234,0.662004662004662,,58
x_aq_lsu_top/da_xx_fwd_dst_reg[5:0],397,0.01322055346498385,24.011612090680103,3.010590104511659,0.7355163727959698,-0.010737667394225847,5
x_aq_lsu_top/da_xx_fwd_vld,20,0.0006660228445835693,29.643500000000007,3.716719536616653,0.95,0.07497142943713159,1
x_aq_lsu_top/dtu_lsu_addr_trig_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/dtu_lsu_data_trig_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/dtu_lsu_halt_info[21:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/dtu_lsu_halt_info_vld,1,3.330114222917846e-05,1.2299999999999933,0.15421812640337537,0.0,-0.038510569257386496,1
x_aq_lsu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/hpcp_lsu_cnt_en,1,3.330114222917846e-05,1.2299999999999933,0.15421812640337537,0.0,-0.038510569257386496,1
x_aq_lsu_top/idu_lsu_ex1_dp_sel,166,0.005527989610043625,23.62578313253012,2.962214641879092,0.8313253012048193,0.30785614190653926,1
x_aq_lsu_top/idu_lsu_ex1_dst0_reg[5:0],2437,0.0811548836125079,10.6794337299959,1.3389937080398269,0.14936397209684038,0.11781695754712333,5
x_aq_lsu_top/idu_lsu_ex1_dst1_reg[5:0],2505,0.08341936128409204,10.286175648702596,1.2896867775601195,0.1249500998003992,-0.008043201092111324,5
x_aq_lsu_top/idu_lsu_ex1_func[19:0],3382,0.11262446301908155,10.253033707865168,1.2855314214452256,0.12507392075694856,-0.01000048812261884,11
x_aq_lsu_top/idu_lsu_ex1_gateclk_sel,180,0.005994205601252123,22.579166666666666,2.8309892512869093,0.7388888888888889,0.185469337926666,1
x_aq_lsu_top/idu_lsu_ex1_halt_info[21:0],2,6.660228445835692e-05,2.729999999999995,0.34228901226115144,0.0,-0.0385261591454629,2
x_aq_lsu_top/idu_lsu_ex1_length,484,0.016117752838922375,11.215929752066117,1.4062598961264392,0.13429752066115702,0.002928299744587595,1
x_aq_lsu_top/idu_lsu_ex1_sel,166,0.005527989610043625,23.62578313253012,2.962214641879092,0.8313253012048193,0.30785614190653926,1
x_aq_lsu_top/idu_lsu_ex1_split,6,0.00019980685337507077,40.678333333333335,5.100273456811928,1.0,0.06032769886396492,1
x_aq_lsu_top/idu_lsu_ex1_src0_data[63:0],3510,0.1168870092244164,9.674190883190882,1.2129557662392854,0.1,,60
x_aq_lsu_top/idu_lsu_ex1_src1_data[63:0],3530,0.11755303206899996,9.884600566572237,1.2393370566036759,0.10736543909348442,-0.029749489179107257,64
x_aq_lsu_top/idu_lsu_ex1_src2_data[63:0],3609,0.12018382230510506,9.858586866167913,1.2360754434840224,0.11194236630645608,-0.011698341162840558,64
x_aq_lsu_top/idu_lsu_ex1_src2_ready,1,3.330114222917846e-05,4.229999999999997,0.5303598981189275,0.0,-0.03766046876788206,1
x_aq_lsu_top/idu_lsu_ex1_src2_reg[5:0],2433,0.0810216790435912,10.617833949856145,1.3312702912268082,0.1467324290998767,0.11990939467919493,5
x_aq_lsu_top/idu_lsu_ex1_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/idu_lsu_ex1_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
