signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_lsu_top/biu_lsu_arready,1,4.729921483303377e-05,9.919999999999995,1.1974223251942182,0.0,-0.021335005743100172,1
x_aq_lsu_top/biu_lsu_no_op,1,4.729921483303377e-05,1.2299999999999933,0.14847071169242756,0.0,-0.034877112001447344,1
x_aq_lsu_top/biu_lsu_rdata[127:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_rid[3:0],16,0.0007567874373285403,22.167499999999997,2.6757922775950447,0.1875,0.06351612022620089,3
x_aq_lsu_top/biu_lsu_rlast,17,0.0008040866521615741,11.003529411764706,1.3282128804010354,0.0,-0.060029337083943715,1
x_aq_lsu_top/biu_lsu_rresp[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_rvalid,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_stb_awready,1,4.729921483303377e-05,6.270000000000003,0.7568385059443303,0.0,0.009677601198908089,1
x_aq_lsu_top/biu_lsu_stb_wready,1,4.729921483303377e-05,1.2299999999999933,0.14847071169242756,0.0,-0.034877112001447344,1
x_aq_lsu_top/biu_lsu_vb_awready,1,4.729921483303377e-05,6.270000000000003,0.7568385059443303,0.0,0.009677601198908089,1
x_aq_lsu_top/biu_lsu_vb_wready,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_amr[1:0],1,4.729921483303377e-05,0.23999999999999844,0.028969894964376075,0.0,0.02139163728583631,1
x_aq_lsu_top/cp0_lsu_dcache_en,1,4.729921483303377e-05,5.359999999999999,0.6469943208710699,0.0,0.021017838625275738,1
x_aq_lsu_top/cp0_lsu_dcache_pref_dist[1:0],2,9.459842966606754e-05,0.7349999999999959,0.08872030332840182,0.0,0.016349414364821676,1
x_aq_lsu_top/cp0_lsu_dcache_pref_en,1,4.729921483303377e-05,0.23999999999999844,0.028969894964376075,0.0,0.02139163728583631,1
x_aq_lsu_top/cp0_lsu_dcache_read_idx[16:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_type,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_way[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_wa,1,4.729921483303377e-05,5.359999999999999,0.6469943208710699,0.0,0.021017838625275738,1
x_aq_lsu_top/cp0_lsu_dcache_wb,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_fence_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_icc_addr[63:0],18,0.0008513858669946079,7.372777777777778,0.889952490907957,0.0,-0.0076624442319535,6
x_aq_lsu_top/cp0_lsu_icc_op[1:0],1,4.729921483303377e-05,1.2299999999999933,0.14847071169242756,0.0,-0.034877112001447344,1
x_aq_lsu_top/cp0_lsu_icc_req,4,0.00018919685933213508,5.522499999999997,0.666609353919866,0.0,0.044452471025423025,1
x_aq_lsu_top/cp0_lsu_icc_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_mm,1,4.729921483303377e-05,1.2299999999999933,0.14847071169242756,0.0,-0.034877112001447344,1
x_aq_lsu_top/cp0_lsu_mpp[1:0],1,4.729921483303377e-05,1.2299999999999933,0.14847071169242756,0.0,-0.0348771120014495,2
x_aq_lsu_top/cp0_lsu_mprv,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_sync_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_we_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_yy_priv_mode[1:0],1,4.729921483303377e-05,1.2299999999999933,0.14847071169242756,0.0,-0.0348771120014495,2
x_aq_lsu_top/cpurst_b,3,0.00014189764449910132,6.4566666666666634,0.7793706464721778,0.0,-0.015007869456888213,1
x_aq_lsu_top/da_xx_fwd_data[63:0],615,0.02908901712231577,22.480731707317073,2.7136018178470778,0.4065040650406504,,54
x_aq_lsu_top/da_xx_fwd_dst_reg[5:0],588,0.027811938321823857,23.395221088435378,2.823987906668056,0.42517006802721086,-0.05533513367992931,5
x_aq_lsu_top/da_xx_fwd_vld,80,0.0037839371866427015,27.271875,3.2919306426316624,0.4125,0.23796024357195603,1
x_aq_lsu_top/dtu_lsu_addr_trig_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/dtu_lsu_data_trig_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/dtu_lsu_halt_info[21:0],0,0.0,0.0,0.0,0.0,,0
