signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_lsu_top/biu_lsu_arready,1,0.00023629489603024575,9.919999999999995,1.2485353707335856,0.0,-0.06102057908016997,1
x_aq_lsu_top/biu_lsu_no_op,1,0.00023629489603024575,1.2299999999999933,0.1548083171373289,0.0,-0.09851962589458517,1
x_aq_lsu_top/biu_lsu_rdata[127:0],2,0.0004725897920604915,14.734999999999996,1.854553295137035,0.0,0.007900812019716383,2
x_aq_lsu_top/biu_lsu_rid[3:0],6,0.0014177693761814746,24.40833333333333,3.0720430954961975,0.6666666666666666,0.10268580740857612,2
x_aq_lsu_top/biu_lsu_rlast,7,0.0016540642722117202,14.977142857142853,1.885029496942816,0.42857142857142855,-0.12680541353969513,1
x_aq_lsu_top/biu_lsu_rresp[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_rvalid,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_stb_awready,1,0.00023629489603024575,6.270000000000003,0.7891448361390715,0.0,0.022007607674474516,1
x_aq_lsu_top/biu_lsu_stb_wready,1,0.00023629489603024575,1.2299999999999933,0.1548083171373289,0.0,-0.09851962589458517,1
x_aq_lsu_top/biu_lsu_vb_awready,1,0.00023629489603024575,6.270000000000003,0.7891448361390715,0.0,0.022007607674474516,1
x_aq_lsu_top/biu_lsu_vb_wready,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_amr[1:0],1,0.00023629489603024575,0.23999999999999844,0.03020650090484463,0.0,0.06922661103004585,1
x_aq_lsu_top/cp0_lsu_dcache_en,1,0.00023629489603024575,5.359999999999999,0.6746118535415344,0.0,0.06732260424584435,1
x_aq_lsu_top/cp0_lsu_dcache_pref_dist[1:0],2,0.0004725897920604915,0.7349999999999959,0.09250740902108677,0.0,0.04856782627011045,1
x_aq_lsu_top/cp0_lsu_dcache_pref_en,1,0.00023629489603024575,0.23999999999999844,0.03020650090484463,0.0,0.06922661103004585,1
x_aq_lsu_top/cp0_lsu_dcache_read_idx[16:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_type,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_way[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_wa,1,0.00023629489603024575,5.359999999999999,0.6746118535415344,0.0,0.06732260424584435,1
x_aq_lsu_top/cp0_lsu_dcache_wb,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_fence_req,2,0.0004725897920604915,11.364999999999998,1.4304036782648393,0.0,0.07752531006218104,1
x_aq_lsu_top/cp0_lsu_icc_addr[63:0],44,0.010396975425330813,8.184090909090907,1.0300531227116116,0.11363636363636363,0.10894998255030275,8
x_aq_lsu_top/cp0_lsu_icc_op[1:0],1,0.00023629489603024575,1.2299999999999933,0.1548083171373289,0.0,-0.09851962589458517,1
x_aq_lsu_top/cp0_lsu_icc_req,4,0.000945179584120983,5.522499999999997,0.6950641718625228,0.0,0.1314839943436032,1
x_aq_lsu_top/cp0_lsu_icc_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_mm,1,0.00023629489603024575,1.2299999999999933,0.1548083171373289,0.0,-0.09851962589458517,1
x_aq_lsu_top/cp0_lsu_mpp[1:0],4,0.000945179584120983,6.155,0.774670887788833,0.0,0.002750094073381241,2
x_aq_lsu_top/cp0_lsu_mprv,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_sync_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_we_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_yy_priv_mode[1:0],3,0.0007088846880907373,2.126666666666665,0.2676631607957081,0.0,-0.007765888943506651,2
x_aq_lsu_top/cpurst_b,3,0.0007088846880907373,6.4566666666666634,0.8126387812872834,0.3333333333333333,-0.04301726674100989,1
x_aq_lsu_top/da_xx_fwd_data[63:0],20,0.004725897920604915,21.224,2.6712615633517776,0.55,0.006503187821041635,8
x_aq_lsu_top/da_xx_fwd_dst_reg[5:0],34,0.008034026465028356,15.170882352941176,1.909413631339217,0.35294117647058826,0.01722612027358735,4
x_aq_lsu_top/da_xx_fwd_vld,10,0.0023629489603024575,14.961000000000002,1.8829977501557646,0.6,0.07699010915125572,1
x_aq_lsu_top/dtu_lsu_addr_trig_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/dtu_lsu_data_trig_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/dtu_lsu_halt_info[21:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/dtu_lsu_halt_info_vld,1,0.00023629489603024575,1.2299999999999933,0.1548083171373289,0.0,-0.09851962589458517,1
x_aq_lsu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/hpcp_lsu_cnt_en,1,0.00023629489603024575,1.2299999999999933,0.1548083171373289,0.0,-0.09851962589458517,1
x_aq_lsu_top/idu_lsu_ex1_dp_sel,18,0.004253308128544423,19.937777777777782,2.5093770936876654,0.5,0.2435431315373432,1
x_aq_lsu_top/idu_lsu_ex1_dst0_reg[5:0],202,0.04773156899810964,10.88559405940594,1.370065445021746,0.14356435643564355,0.10202954703317994,4
x_aq_lsu_top/idu_lsu_ex1_dst1_reg[5:0],220,0.05198487712665406,9.52831818181818,1.1992381324197512,0.10454545454545454,0.03787772709187339,5
x_aq_lsu_top/idu_lsu_ex1_func[19:0],259,0.06120037807183365,9.664247104247105,1.216346203746184,0.10810810810810811,-0.11564081053511609,10
x_aq_lsu_top/idu_lsu_ex1_gateclk_sel,24,0.005671077504725898,23.4725,2.9542587187040423,0.5416666666666666,0.5218538167864827,1
x_aq_lsu_top/idu_lsu_ex1_halt_info[21:0],2,0.0004725897920604915,2.729999999999995,0.3435989477926093,0.0,-0.09848375815801076,2
x_aq_lsu_top/idu_lsu_ex1_length,68,0.01606805293005671,9.677499999999998,1.218014218777649,0.10294117647058823,-0.09277535782700519,1
x_aq_lsu_top/idu_lsu_ex1_sel,12,0.002835538752362949,16.778333333333332,2.111728087563006,0.3333333333333333,0.19462993785152,1
x_aq_lsu_top/idu_lsu_ex1_split,4,0.000945179584120983,7.164999999999999,0.9017899124300548,0.0,-0.04184313345112776,1
x_aq_lsu_top/idu_lsu_ex1_src0_data[63:0],185,0.043714555765595464,9.38162162162162,1.180774841676772,0.08648648648648649,0.02315184310552723,48
x_aq_lsu_top/idu_lsu_ex1_src1_data[63:0],285,0.06734404536862004,10.175649122807016,1.28071147681439,0.12982456140350876,-0.04745754000366102,61
x_aq_lsu_top/idu_lsu_ex1_src2_data[63:0],277,0.06545368620037807,10.097075812274369,1.2708222069156356,0.13357400722021662,-0.027774057970701104,62
x_aq_lsu_top/idu_lsu_ex1_src2_ready,1,0.00023629489603024575,4.229999999999997,0.5323895784478897,0.0,-0.09619377170908507,1
x_aq_lsu_top/idu_lsu_ex1_src2_reg[5:0],128,0.030245746691871456,9.287421875,1.1689188219619298,0.0625,0.060536259094019225,4
x_aq_lsu_top/idu_lsu_ex1_vlmul[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/idu_lsu_ex1_vsew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/ifu_lsu_warm_up,2,0.0004725897920604915,7.3900000000000015,0.9301085070283471,0.0,-0.0022409380138977237,1
x_aq_lsu_top/iu_lsu_ex1_cur_pc[15:0],258,0.0609640831758034,9.371472868217054,1.1794975153063634,0.10852713178294573,0.09346136118546831,10
