signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_lsu_top/biu_lsu_arready,1,0.00012030798845043312,9.919999999999995,1.293135306223011,1.0,-0.07349821562606879,1
x_aq_lsu_top/biu_lsu_no_op,1,0.00012030798845043312,1.2299999999999933,0.16033834946111852,0.0,-0.11407227095261288,1
x_aq_lsu_top/biu_lsu_rdata[127:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_rid[3:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_rlast,1,0.00012030798845043312,1.2299999999999933,0.16033834946111852,0.0,-0.11407227095261288,1
x_aq_lsu_top/biu_lsu_rresp[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_rvalid,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_stb_awready,1,0.00012030798845043312,6.270000000000003,0.8173345131066823,0.0,-0.0111453056014091,1
x_aq_lsu_top/biu_lsu_stb_wready,1,0.00012030798845043312,1.2299999999999933,0.16033834946111852,0.0,-0.11407227095261288,1
x_aq_lsu_top/biu_lsu_vb_awready,1,0.00012030798845043312,6.270000000000003,0.8173345131066823,0.0,-0.0111453056014091,1
x_aq_lsu_top/biu_lsu_vb_wready,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_amr[1:0],1,0.00012030798845043312,0.23999999999999844,0.03128553160216944,0.0,0.0029125084884028974,1
x_aq_lsu_top/cp0_lsu_dcache_en,3,0.0003609239653512993,10.02,1.3061709443905825,0.0,-0.020636977497295393,1
x_aq_lsu_top/cp0_lsu_dcache_pref_dist[1:0],2,0.00024061597690086623,0.7349999999999959,0.09581194053164399,0.0,-0.014201449376341619,1
x_aq_lsu_top/cp0_lsu_dcache_pref_en,1,0.00012030798845043312,0.23999999999999844,0.03128553160216944,0.0,0.0029125084884028974,1
x_aq_lsu_top/cp0_lsu_dcache_read_idx[16:0],2,0.00024061597690086623,8.689999999999998,1.132796956761892,0.0,0.006354439989074542,8
x_aq_lsu_top/cp0_lsu_dcache_read_req,4,0.00048123195380173246,7.002500000000001,0.9128205626841372,0.0,0.01857122887551861,1
x_aq_lsu_top/cp0_lsu_dcache_read_type,2,0.00024061597690086623,12.544999999999996,1.6353208081217419,0.0,-0.023685211903528312,1
x_aq_lsu_top/cp0_lsu_dcache_read_way[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_wa,1,0.00012030798845043312,5.359999999999999,0.6987102057817886,0.0,0.0021140122656802167,1
x_aq_lsu_top/cp0_lsu_dcache_wb,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_fence_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_icc_addr[63:0],58,0.00697786333012512,7.5875862068965505,0.9890902835835355,0.0,-0.004275180606981651,10
x_aq_lsu_top/cp0_lsu_icc_op[1:0],21,0.002526467757459095,8.297619047619047,1.0816475955710436,0.0,0.04813256860949152,2
