signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_lsu_top/biu_lsu_arready,3,0.0008422234699606962,16.2,2.0311985199077474,0.6666666666666666,-0.12080706501426529,1
x_aq_lsu_top/biu_lsu_no_op,11,0.0030881527231892197,6.036363636363635,0.7568551162843682,0.2727272727272727,-0.19577860975562364,1
x_aq_lsu_top/biu_lsu_rdata[127:0],6,0.0016844469399213925,14.461666666666668,1.813241723995836,0.3333333333333333,,16
x_aq_lsu_top/biu_lsu_rid[3:0],10,0.002807411566535654,18.608,2.333119880150825,0.4,0.21317135126571446,2
x_aq_lsu_top/biu_lsu_rlast,7,0.0019651880965749578,6.147142857142855,0.7707449057462994,0.14285714285714285,-0.1589435847967271,1
x_aq_lsu_top/biu_lsu_rresp[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_rvalid,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/biu_lsu_stb_awready,2,0.0005614823133071309,4.130000000000001,0.5178302399517901,0.0,-0.09085521651123485,1
x_aq_lsu_top/biu_lsu_stb_wready,15,0.004211117349803481,14.051999999999998,1.7618766420829424,0.2,-0.07354543336344184,1
x_aq_lsu_top/biu_lsu_vb_awready,2,0.0005614823133071309,4.130000000000001,0.5178302399517901,0.0,-0.09085521651123485,1
x_aq_lsu_top/biu_lsu_vb_wready,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_amr[1:0],1,0.00028074115665356543,0.23999999999999844,0.030091829924559027,0.0,0.06956010728874937,1
x_aq_lsu_top/cp0_lsu_dcache_en,1,0.00028074115665356543,5.359999999999999,0.6720508683151559,0.0,0.06697066108732155,1
x_aq_lsu_top/cp0_lsu_dcache_pref_dist[1:0],2,0.0005614823133071309,0.7349999999999959,0.09215622914396211,0.0,0.040955943211201225,1
x_aq_lsu_top/cp0_lsu_dcache_pref_en,1,0.00028074115665356543,0.23999999999999844,0.030091829924559027,0.0,0.06956010728874937,1
x_aq_lsu_top/cp0_lsu_dcache_read_idx[16:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_type,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_read_way[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_dcache_wa,1,0.00028074115665356543,5.359999999999999,0.6720508683151559,0.0,0.06697066108732155,1
x_aq_lsu_top/cp0_lsu_dcache_wb,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_fence_req,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_icc_addr[63:0],24,0.00673778775968557,7.396249999999999,0.9273612378313381,0.125,0.060726161323674185,8
x_aq_lsu_top/cp0_lsu_icc_op[1:0],1,0.00028074115665356543,1.2299999999999933,0.1542206283633652,0.0,-0.1199520815817469,1
x_aq_lsu_top/cp0_lsu_icc_req,4,0.0011229646266142617,5.522499999999997,0.6924255448265759,0.0,0.16490031098880475,1
x_aq_lsu_top/cp0_lsu_icc_type[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_mm,1,0.00028074115665356543,1.2299999999999933,0.1542206283633652,0.0,-0.1199520815817469,1
x_aq_lsu_top/cp0_lsu_mpp[1:0],3,0.0008422234699606962,2.5866666666666647,0.3243230558535825,0.0,-0.05504154369543678,2
x_aq_lsu_top/cp0_lsu_mprv,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_lsu_sync_req,2,0.0005614823133071309,2.380000000000001,0.29841064675187906,0.0,-0.01330159635653816,1
x_aq_lsu_top/cp0_lsu_we_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/cp0_yy_priv_mode[1:0],1,0.00028074115665356543,1.2299999999999933,0.1542206283633652,0.0,-0.11995208158174711,2
x_aq_lsu_top/cpurst_b,3,0.0008422234699606962,6.4566666666666634,0.8095538133870999,0.3333333333333333,-0.05319878297169843,1
x_aq_lsu_top/da_xx_fwd_data[63:0],8,0.0022459292532285235,21.53125,2.699644637763191,0.75,0.07459176992951232,10
x_aq_lsu_top/da_xx_fwd_dst_reg[5:0],35,0.009825940482874789,15.023999999999997,1.8837485532774072,0.34285714285714286,-0.06589119146516063,3
x_aq_lsu_top/da_xx_fwd_vld,4,0.0011229646266142617,8.940000000000001,1.1209206646898313,0.5,0.03626119218284197,1
x_aq_lsu_top/dtu_lsu_addr_trig_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/dtu_lsu_data_trig_en,0,0.0,0.0,0.0,0.0,,0
x_aq_lsu_top/dtu_lsu_halt_info[21:0],0,0.0,0.0,0.0,0.0,,0
