case,target,spearman,spearman_null95,pearson,pearson_null95,best_W
cache,tv,0.082,0.063,0.146,0.051,1
cache,maxstep,0.607,0.195,0.61,0.191,64
cache,range,0.643,0.198,0.698,0.186,64
cache,level,0.239,0.188,0.12,0.205,64
conv_softmax,tv,0.537,0.073,0.606,0.052,8
conv_softmax,maxstep,0.646,0.06,0.624,0.044,8
conv_softmax,range,0.76,0.151,0.682,0.125,8
conv_softmax,level,0.518,0.138,0.616,0.112,4
coremark,tv,0.476,0.129,0.871,0.204,512
coremark,maxstep,0.288,0.034,0.536,0.088,8
coremark,range,0.224,0.032,0.362,0.056,4
coremark,level,0.774,0.177,0.876,0.211,512
csr,tv,0.187,0.106,0.309,0.11,2
csr,maxstep,0.511,0.251,0.565,0.216,16
csr,range,0.638,0.287,0.623,0.241,16
csr,level,0.087,0.129,0.064,0.136,1
debug,tv,0.757,0.307,0.435,0.382,256
debug,maxstep,0.738,0.218,0.611,0.273,256
debug,range,0.749,0.197,0.614,0.241,256
debug,level,0.761,0.297,0.196,0.329,256
exception,tv,0.361,0.144,0.446,0.151,4
exception,maxstep,0.738,0.19,0.771,0.278,64
exception,range,0.817,0.218,0.775,0.241,64
exception,level,0.252,0.127,0.257,0.133,2
interrupt,tv,0.257,0.147,0.275,0.143,2
interrupt,maxstep,0.533,0.286,0.507,0.249,16
interrupt,range,0.632,0.315,0.624,0.235,16
interrupt,level,0.17,0.168,0.156,0.176,1
ISA_FP,tv,0.858,0.142,0.875,0.135,64
ISA_FP,maxstep,0.859,0.121,0.821,0.143,64
ISA_FP,range,0.874,0.121,0.827,0.142,64
ISA_FP,level,0.881,0.148,0.682,0.113,128
ISA_INT,tv,0.65,0.153,0.714,0.162,16
ISA_INT,maxstep,0.698,0.16,0.71,0.171,16
ISA_INT,range,0.779,0.217,0.803,0.23,32
ISA_INT,level,0.626,0.134,0.672,0.144,16
ISA_LS,tv,0.843,0.127,0.622,0.098,128
ISA_LS,maxstep,0.795,0.137,0.674,0.118,64
ISA_LS,range,0.863,0.118,0.706,0.122,128
ISA_LS,level,0.852,0.121,0.605,0.094,128
ISA_THEAD,tv,0.632,0.24,0.739,0.279,16
ISA_THEAD,maxstep,0.674,0.239,0.751,0.305,16
ISA_THEAD,range,0.769,0.289,0.835,0.342,32
ISA_THEAD,level,0.671,0.279,0.651,0.287,32
MMU,tv,0.266,0.14,0.317,0.127,2
MMU,maxstep,0.628,0.27,0.67,0.253,32
MMU,range,0.73,0.273,0.733,0.263,32
MMU,level,0.174,0.167,0.177,0.181,1
