signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_rtu_top/cp0_rtu_ex1_chgflw,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_chgflw_pc[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt_dp,8,0.00011255715793176222,0.5865162500000001,2.892676524000567,0.25,0.2776932350635312,1
x_aq_rtu_top/cp0_rtu_ex1_expt_tval[39:0],1968,0.027689060851213507,0.42164136178861794,2.0795196531955673,0.41565040650406504,0.3450827148902308,14
x_aq_rtu_top/cp0_rtu_ex1_expt_vec[4:0],702,0.009876890608512136,0.44737572649572654,2.2064405912741316,0.10826210826210826,-0.1441284513766622,2
x_aq_rtu_top/cp0_rtu_ex1_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_flush,2,2.8139289482940555e-05,0.46457000000000004,2.291242114357349,0.0,0.2773026712931721,1
x_aq_rtu_top/cp0_rtu_ex1_halt_info[21:0],1968,0.027689060851213507,0.42164136178861794,2.0795196531955673,0.41565040650406504,0.3453786256176723,2
x_aq_rtu_top/cp0_rtu_ex1_inst_dret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_ebreak,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_len,3228,0.045416813225466056,0.46477487298636927,2.292252540373801,0.07403965303593556,0.11482970431441092,1
x_aq_rtu_top/cp0_rtu_ex1_inst_mret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_split,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_sret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_wb_data[63:0],1496,0.021048188533239535,0.4174029612299465,2.058616017882173,0.41310160427807485,0.012163464032843877,7
x_aq_rtu_top/cp0_rtu_ex1_wb_dp,2,2.8139289482940555e-05,0.46457000000000004,2.291242114357349,0.0,0.2773026712931721,1
x_aq_rtu_top/cp0_rtu_ex1_wb_preg[5:0],970,0.01364755539922617,0.4389386494845361,2.16482923847452,0.3670103092783505,0.12114713331046918,2
x_aq_rtu_top/cp0_rtu_ex1_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_fence_idle,3,4.220893422441084e-05,0.32191333333333333,1.5876646931710798,0.0,-0.1529642127154606,1
x_aq_rtu_top/cp0_rtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_int_vld[14:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_trap_pc[39:0],2,2.8139289482940555e-05,0.74503,3.6744604956403886,1.0,0.050574129863257176,5
x_aq_rtu_top/cp0_rtu_vstart_eq_0,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_yy_clk_en,1,1.4069644741470277e-05,0.26019000000000003,1.2832474885047218,0.0,0.0064887937989556044,1
x_aq_rtu_top/cpurst_b,3,4.220893422441084e-05,0.13150000000000003,0.6485531524592449,0.0,0.0070881673673002235,1
x_aq_rtu_top/dtu_rtu_async_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_dpc[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_ebreak_action,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_int_mask,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_pending_tval[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_resume_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_step_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/hpcp_rtu_cnt_en,1,1.4069644741470277e-05,0.26019000000000003,1.2832474885047218,0.0,0.0064887937989556044,1
x_aq_rtu_top/ifu_rtu_reset_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/ifu_rtu_warm_up,2,2.8139289482940555e-05,0.7062949999999999,3.483420903545264,0.0,0.021209314865348685,1
x_aq_rtu_top/iu_rtu_depd_lsu_chgflow_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_depd_lsu_next_pc[39:0],4,5.627857896588111e-05,0.55653,2.7447854443965283,0.0,-0.03444467383858731,10
x_aq_rtu_top/iu_rtu_div_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_preg[5:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt,2925,0.04115371086880056,0.4684389094017094,2.310323432905317,0.04205128205128205,0.49494234068370435,1
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt_dp,3651,0.051368272951107984,0.4600584634346755,2.2689913823278705,0.09175568337441797,0.5298894153982857,1
x_aq_rtu_top/iu_rtu_ex1_alu_data[63:0],9310,0.13098839254308828,0.47033756605800214,2.3196875375431603,0.07969924812030076,0.39065353368609124,56
x_aq_rtu_top/iu_rtu_ex1_alu_inst_len,3228,0.045416813225466056,0.46477487298636927,2.292252540373801,0.07403965303593556,0.11482970431441092,1
x_aq_rtu_top/iu_rtu_ex1_alu_inst_split,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_preg[5:0],9886,0.13909250791417516,0.488703301638681,2.410266668403101,0.1144042079708679,-0.0505557074271922,5
x_aq_rtu_top/iu_rtu_ex1_alu_wb_dp,3651,0.051368272951107984,0.4600584634346755,2.2689913823278705,0.09175568337441797,0.5298894153982857,1
x_aq_rtu_top/iu_rtu_ex1_alu_wb_vld,2925,0.04115371086880056,0.4684389094017094,2.310323432905317,0.04205128205128205,0.49494234068370435,1
x_aq_rtu_top/iu_rtu_ex1_bju_cmplt,2,2.8139289482940555e-05,0.28117499999999995,1.3867447349256892,0.0,0.010827309217897227,1
