signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_rtu_top/cp0_rtu_ex1_chgflw,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_chgflw_pc[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt_dp,2,6.660228445835692e-05,0.46457000000000004,2.4463107813883718,0.5,0.4122805960664081,1
x_aq_rtu_top/cp0_rtu_ex1_expt_tval[39:0],94,0.0031303073695427754,0.3679181914893617,1.9373662494550594,0.46808510638297873,0.41765019526365155,15
x_aq_rtu_top/cp0_rtu_ex1_expt_vec[4:0],226,0.007526058143794332,0.45247725663716815,2.3826333840853637,0.3141592920353982,-0.227968045497469,2
x_aq_rtu_top/cp0_rtu_ex1_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_flush,2,6.660228445835692e-05,0.46457000000000004,2.4463107813883718,0.5,0.4122805960664081,1
x_aq_rtu_top/cp0_rtu_ex1_halt_info[21:0],94,0.0031303073695427754,0.3679181914893617,1.9373662494550594,0.46808510638297873,0.42007591544689904,2
x_aq_rtu_top/cp0_rtu_ex1_inst_dret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_ebreak,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_len,484,0.016117752838922375,0.46393838842975205,2.4429848709896214,0.19834710743801653,0.09515462563710021,1
x_aq_rtu_top/cp0_rtu_ex1_inst_mret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_split,6,0.00019980685337507077,0.6565750000000001,3.4573616490304375,0.3333333333333333,0.031978412896891656,1
x_aq_rtu_top/cp0_rtu_ex1_inst_sret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_wb_data[63:0],64,0.0021312731026674214,0.35581624999999995,1.873640417091461,0.5,0.01294864343902602,7
x_aq_rtu_top/cp0_rtu_ex1_wb_dp,2,6.660228445835692e-05,0.46457000000000004,2.4463107813883718,0.5,0.4122805960664081,1
x_aq_rtu_top/cp0_rtu_ex1_wb_preg[5:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_fence_idle,3,9.990342668753538e-05,0.32191333333333333,1.6951160385001225,0.3333333333333333,-0.22209767296802835,1
x_aq_rtu_top/cp0_rtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_int_vld[14:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_trap_pc[39:0],2,6.660228445835692e-05,0.74503,3.9231438135432297,1.0,0.08684827566250922,5
x_aq_rtu_top/cp0_rtu_vstart_eq_0,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_yy_clk_en,1,3.330114222917846e-05,0.26019000000000003,1.3700962227639333,0.0,0.010604637032902096,1
x_aq_rtu_top/cpurst_b,3,9.990342668753538e-05,0.13150000000000003,0.692446494075319,0.0,0.011731660868412345,1
x_aq_rtu_top/dtu_rtu_async_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_dpc[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_ebreak_action,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_int_mask,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_pending_tval[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_resume_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_step_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/hpcp_rtu_cnt_en,1,3.330114222917846e-05,0.26019000000000003,1.3700962227639333,0.0,0.010604637032902096,1
x_aq_rtu_top/ifu_rtu_reset_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/ifu_rtu_warm_up,2,6.660228445835692e-05,0.7062949999999999,3.7191748785773933,0.0,0.03116999369397161,1
x_aq_rtu_top/iu_rtu_depd_lsu_chgflow_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_depd_lsu_next_pc[39:0],8,0.00026640913783342767,0.14706499999999995,0.7744079365109257,0.0,0.08392753519555221,8
x_aq_rtu_top/iu_rtu_div_data[63:0],72,0.002397682240500849,0.3828493055555555,2.0159898052556264,0.19444444444444445,,48
x_aq_rtu_top/iu_rtu_div_preg[5:0],2,6.660228445835692e-05,0.55496,2.922282177582045,0.5,0.03013285462427364,2
x_aq_rtu_top/iu_rtu_div_wb_dp,44,0.0014652502580838522,0.4154059090909091,2.1874248316971148,0.2727272727272727,0.07380224257007616,1
x_aq_rtu_top/iu_rtu_div_wb_vld,44,0.0014652502580838522,0.4154059090909091,2.1874248316971148,0.2727272727272727,0.07380224257007616,1
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt,669,0.02227846415132039,0.5087873243647235,2.6791482812647516,0.23318385650224216,0.5272460930177825,1
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt_dp,675,0.02247827100469546,0.5069256740740742,2.669345291021752,0.23407407407407407,0.5279072101068689,1
x_aq_rtu_top/iu_rtu_ex1_alu_data[63:0],2899,0.09654001132238836,0.43508712659537774,2.291061258009686,0.15971024491203864,,59
x_aq_rtu_top/iu_rtu_ex1_alu_inst_len,484,0.016117752838922375,0.46393838842975205,2.4429848709896214,0.19834710743801653,0.09515462563710021,1
x_aq_rtu_top/iu_rtu_ex1_alu_inst_split,6,0.00019980685337507077,0.6565750000000001,3.4573616490304375,0.3333333333333333,0.031978412896891656,1
x_aq_rtu_top/iu_rtu_ex1_alu_preg[5:0],2437,0.0811548836125079,0.4248727862125564,2.2372750664707004,0.191629052113254,-0.002075327310494935,5
x_aq_rtu_top/iu_rtu_ex1_alu_wb_dp,675,0.02247827100469546,0.5069256740740742,2.669345291021752,0.23407407407407407,0.5279072101068689,1
x_aq_rtu_top/iu_rtu_ex1_alu_wb_vld,669,0.02227846415132039,0.5087873243647235,2.6791482812647516,0.23318385650224216,0.5272460930177825,1
