signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_rtu_top/cp0_rtu_ex1_chgflw,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_chgflw_pc[39:0],2,2.3985129219883673e-05,0.4155049999999999,2.4491340994841586,0.0,0.0028847396391654735,5
x_aq_rtu_top/cp0_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt_dp,14,0.0001678959045391857,0.27260500000000004,1.6068307269223698,0.42857142857142855,0.30673368282546287,1
x_aq_rtu_top/cp0_rtu_ex1_expt_tval[39:0],235,0.0028182526833363314,0.37874123404255317,2.2324354007155813,0.574468085106383,0.29478538087045225,14
x_aq_rtu_top/cp0_rtu_ex1_expt_vec[4:0],302,0.0036217545122024346,0.4662136423841059,2.7480288545447755,0.4735099337748344,-0.1642092863419968,2
x_aq_rtu_top/cp0_rtu_ex1_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_flush,4,4.7970258439767345e-05,0.4201675000000001,2.476616531076667,0.5,0.2750128440858144,1
x_aq_rtu_top/cp0_rtu_ex1_halt_info[21:0],234,0.0028062601187263895,0.3793028632478632,2.235745842799289,0.5769230769230769,0.3198056027527008,2
x_aq_rtu_top/cp0_rtu_ex1_inst_dret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_ebreak,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_len,1740,0.020867062421298793,0.45454838505747125,2.6792696831800065,0.16896551724137931,0.046022324564190226,1
x_aq_rtu_top/cp0_rtu_ex1_inst_mret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_split,4,4.7970258439767345e-05,0.33187250000000007,1.9561744297446644,0.25,0.09783095057891676,1
x_aq_rtu_top/cp0_rtu_ex1_inst_sret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_wb_data[63:0],128,0.001535048270072555,0.36344085937500004,2.1422495561813686,0.71875,0.04841731025391677,8
x_aq_rtu_top/cp0_rtu_ex1_wb_dp,2,2.3985129219883673e-05,0.46457000000000004,2.7383406423445105,1.0,0.2750337461044482,1
x_aq_rtu_top/cp0_rtu_ex1_wb_preg[5:0],92,0.001103315944114649,0.37604195652173905,2.216524899950977,0.7717391304347826,0.04879487001434873,1
x_aq_rtu_top/cp0_rtu_ex1_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_fence_idle,5,5.996282304970918e-05,0.24352999999999994,1.435452346535847,0.4,-0.18344134424560396,1
x_aq_rtu_top/cp0_rtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_int_vld[14:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_trap_pc[39:0],4,4.7970258439767345e-05,0.633215,3.7323941921393526,0.5,0.12287202430728321,5
x_aq_rtu_top/cp0_rtu_vstart_eq_0,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_yy_clk_en,1,1.1992564609941836e-05,0.26019000000000003,1.5336523058562073,0.0,0.005572455896706436,1
x_aq_rtu_top/cpurst_b,3,3.597769382982551e-05,0.13150000000000003,0.7751077221264895,0.0,0.005965923634601485,1
x_aq_rtu_top/dtu_rtu_async_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_dpc[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_ebreak_action,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_int_mask,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_pending_tval[63:0],0,0.0,0.0,0.0,0.0,,0
