signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_rtu_top/cp0_rtu_ex1_chgflw,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_chgflw_pc[39:0],2,0.0004725897920604915,0.3443050000000001,1.3682891071605017,0.0,0.005424763984923392,8
x_aq_rtu_top/cp0_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt_dp,8,0.001890359168241966,0.53268125,2.1169078345177668,0.125,0.8003468059003902,1
x_aq_rtu_top/cp0_rtu_ex1_expt_tval[39:0],70,0.0165406427221172,0.40753742857142855,1.6195786418277007,0.4714285714285714,0.7812228973584285,14
x_aq_rtu_top/cp0_rtu_ex1_expt_vec[4:0],32,0.007561436672967864,0.34560406250000003,1.3734516609086918,0.21875,-0.4565677934117799,2
x_aq_rtu_top/cp0_rtu_ex1_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_flush,4,0.000945179584120983,0.41053,1.6314713035320445,0.0,0.7484639053293461,1
x_aq_rtu_top/cp0_rtu_ex1_halt_info[21:0],70,0.0165406427221172,0.40753742857142855,1.6195786418277007,0.4714285714285714,0.8104358698901574,2
x_aq_rtu_top/cp0_rtu_ex1_inst_dret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_ebreak,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_len,68,0.01606805293005671,0.5598426470588234,2.2248488860007525,0.29411764705882354,0.5142393775782725,1
x_aq_rtu_top/cp0_rtu_ex1_inst_mret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_split,4,0.000945179584120983,0.44483,1.7677815992744972,0.0,0.19401336705488165,1
x_aq_rtu_top/cp0_rtu_ex1_inst_sret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_wb_data[63:0],48,0.011342155009451797,0.40024020833333335,1.5905790427387045,0.4791666666666667,0.03243753927361709,7
x_aq_rtu_top/cp0_rtu_ex1_wb_dp,2,0.0004725897920604915,0.46457000000000004,1.846229565395664,0.0,0.7483160720794463,1
x_aq_rtu_top/cp0_rtu_ex1_wb_preg[5:0],16,0.003780718336483932,0.4599881250000001,1.8280209141914383,0.6875,0.04423854660906061,1
x_aq_rtu_top/cp0_rtu_ex1_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_fence_idle,5,0.0011814744801512287,0.36963,1.4689322045271958,0.0,-0.36075726323251284,1
x_aq_rtu_top/cp0_rtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_int_vld[14:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_trap_pc[39:0],4,0.000945179584120983,0.51752,2.0566561006598874,0.5,0.507187790064068,5
x_aq_rtu_top/cp0_rtu_vstart_eq_0,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_yy_clk_en,1,0.00023629489603024575,0.26019000000000003,1.034010957703463,0.0,0.039864780430211584,1
x_aq_rtu_top/cpurst_b,3,0.0007088846880907373,0.13150000000000003,0.5225890346977418,0.0,0.04699146775157977,1
x_aq_rtu_top/dtu_rtu_async_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_dpc[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_ebreak_action,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_int_mask,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_pending_tval[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_resume_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_step_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/hpcp_rtu_cnt_en,1,0.00023629489603024575,0.26019000000000003,1.034010957703463,0.0,0.039864780430211584,1
x_aq_rtu_top/ifu_rtu_reset_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/ifu_rtu_warm_up,2,0.0004725897920604915,0.7062949999999999,2.8068594848809227,0.0,0.049106996213550386,1
x_aq_rtu_top/iu_rtu_depd_lsu_chgflow_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_depd_lsu_next_pc[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_preg[5:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt,52,0.012287334593572778,0.4874061538461539,1.9369818360775701,0.38461538461538464,0.13547251617342315,1
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt_dp,56,0.013232514177693762,0.5034148214285715,2.0006012591854994,0.42857142857142855,0.14194040979574257,1
