signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_rtu_top/cp0_rtu_ex1_chgflw,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_chgflw_pc[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt_dp,50,0.006015399422521655,0.4944612000000001,1.6089745913950193,0.36,0.7865748298992091,1
x_aq_rtu_top/cp0_rtu_ex1_expt_tval[39:0],142,0.0170837343599615,0.42232457746478874,1.3742423358242923,0.4014084507042254,0.5745781132101337,15
x_aq_rtu_top/cp0_rtu_ex1_expt_vec[4:0],46,0.005534167468719923,0.34426000000000007,1.1202205407292813,0.13043478260869565,-0.5057700583334708,2
x_aq_rtu_top/cp0_rtu_ex1_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_flush,50,0.006015399422521655,0.4944612000000001,1.6089745913950193,0.36,0.7865748298992091,1
x_aq_rtu_top/cp0_rtu_ex1_halt_info[21:0],142,0.0170837343599615,0.42232457746478874,1.3742423358242923,0.4014084507042254,0.7964327073906295,2
x_aq_rtu_top/cp0_rtu_ex1_inst_dret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_ebreak,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_len,70,0.008421559191530318,0.47427228571428587,1.543279952233107,0.44285714285714284,0.6302669334760527,1
x_aq_rtu_top/cp0_rtu_ex1_inst_mret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_split,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_sret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_wb_data[63:0],69,0.008301251203079885,0.3996284057971014,1.3003890920606795,0.4782608695652174,0.0017774862723333768,9
x_aq_rtu_top/cp0_rtu_ex1_wb_dp,28,0.003368623676612127,0.5416885714285715,1.7626522523458614,0.5357142857142857,0.569686156212354,1
x_aq_rtu_top/cp0_rtu_ex1_wb_preg[5:0],12,0.0014436958614051972,0.49125749999999996,1.5985497655473038,0.6666666666666666,0.016496942913610844,1
x_aq_rtu_top/cp0_rtu_ex1_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_fence_idle,31,0.0037295476419634266,0.410277741935484,1.3350419854765478,0.12903225806451613,-0.4986542445569564,1
x_aq_rtu_top/cp0_rtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_int_vld[14:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_trap_pc[39:0],2,0.00024061597690086623,0.74503,2.4243243753544887,1.0,0.5107024440684091,5
x_aq_rtu_top/cp0_rtu_vstart_eq_0,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_yy_clk_en,1,0.00012030798845043312,0.26019000000000003,0.8466571268586293,0.0,0.04647473551046192,1
x_aq_rtu_top/cpurst_b,3,0.0003609239653512993,0.13150000000000003,0.4279004273104645,0.0,0.056078511655344145,1
x_aq_rtu_top/dtu_rtu_async_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_dpc[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_ebreak_action,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_int_mask,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_pending_tval[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_resume_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_step_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/hpcp_rtu_cnt_en,1,0.00012030798845043312,0.26019000000000003,0.8466571268586293,0.0,0.04647473551046192,1
x_aq_rtu_top/ifu_rtu_reset_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/ifu_rtu_warm_up,2,0.00024061597690086623,0.7062949999999999,2.298280854047486,0.0,0.026006803022286116,1
x_aq_rtu_top/iu_rtu_depd_lsu_chgflow_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_depd_lsu_next_pc[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_preg[5:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt,41,0.004932627526467758,0.5326673170731707,1.7332971299614326,0.5121951219512195,0.0397427741768546,1
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt_dp,47,0.005654475457170356,0.5174582978723404,1.6838070477180231,0.46808510638297873,0.0430880189025349,1
x_aq_rtu_top/iu_rtu_ex1_alu_data[63:0],82,0.009865255052935515,0.4410165853658537,1.435066048129663,0.3902439024390244,0.017717397101599225,18
x_aq_rtu_top/iu_rtu_ex1_alu_inst_len,70,0.008421559191530318,0.47427228571428587,1.543279952233107,0.44285714285714284,0.6302669334760527,1
x_aq_rtu_top/iu_rtu_ex1_alu_inst_split,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_preg[5:0],201,0.024181905678537056,0.44382557213930357,1.4442064788571813,0.373134328358209,-0.6022508491106517,4
x_aq_rtu_top/iu_rtu_ex1_alu_wb_dp,47,0.005654475457170356,0.5174582978723404,1.6838070477180231,0.46808510638297873,0.0430880189025349,1
x_aq_rtu_top/iu_rtu_ex1_alu_wb_vld,41,0.004932627526467758,0.5326673170731707,1.7332971299614326,0.5121951219512195,0.0397427741768546,1
x_aq_rtu_top/iu_rtu_ex1_bju_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_bju_cmplt_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_bju_data[63:0],9,0.001082771896053898,0.21517333333333336,0.7001730895752878,0.3333333333333333,0.00020613392668645007,10
