signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_rtu_top/cp0_rtu_ex1_chgflw,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_chgflw_pc[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt_dp,2,1.3906078346845406e-06,0.46457000000000004,1.5097749841535966,0.0,0.033822238622997956,1
x_aq_rtu_top/cp0_rtu_ex1_expt_tval[39:0],18,1.2515470512160866e-05,0.35094999999999993,1.140528942223356,0.5,0.033860120338950084,14
x_aq_rtu_top/cp0_rtu_ex1_expt_vec[4:0],9684,0.006733323135542545,0.4059062722015696,1.3191276571474053,0.0674308137133416,-0.08929816525234038,2
x_aq_rtu_top/cp0_rtu_ex1_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_flush,2,1.3906078346845406e-06,0.46457000000000004,1.5097749841535966,0.0,0.033822238622997956,1
x_aq_rtu_top/cp0_rtu_ex1_halt_info[21:0],18,1.2515470512160866e-05,0.35094999999999993,1.140528942223356,0.5,0.033854622151431916,2
x_aq_rtu_top/cp0_rtu_ex1_inst_dret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_ebreak,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_len,118708,0.08253813741986622,0.42485935325336116,1.3807220081486118,0.09466927250058968,0.04137398501568497,1
x_aq_rtu_top/cp0_rtu_ex1_inst_mret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_split,6,4.1718235040536216e-06,0.28882666666666673,0.9386384744813544,0.0,0.006587814618236219,1
x_aq_rtu_top/cp0_rtu_ex1_inst_sret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_wb_data[63:0],20,1.3906078346845406e-05,0.36229849999999997,1.1774096736689232,0.35,0.0005015548080243205,7
x_aq_rtu_top/cp0_rtu_ex1_wb_dp,2,1.3906078346845406e-06,0.46457000000000004,1.5097749841535966,0.0,0.033822238622997956,1
x_aq_rtu_top/cp0_rtu_ex1_wb_preg[5:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_fence_idle,3,2.0859117520268108e-06,0.32191333333333333,1.0461646204708972,0.0,-0.0021031210387768657,1
x_aq_rtu_top/cp0_rtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_int_vld[14:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_trap_pc[39:0],4,2.781215669369081e-06,0.8159749999999999,2.6517826004579086,1.0,0.006761072653866012,6
x_aq_rtu_top/cp0_rtu_vstart_eq_0,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_yy_clk_en,1,6.953039173422703e-07,0.26019000000000003,0.8455740859868788,0.0,0.003091127269222047,1
x_aq_rtu_top/cpurst_b,3,2.0859117520268108e-06,0.13150000000000003,0.4273530585621068,0.0,0.003696138795964968,1
x_aq_rtu_top/dtu_rtu_async_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_dpc[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_ebreak_action,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_int_mask,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_pending_tval[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_resume_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_step_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/hpcp_rtu_cnt_en,1,6.953039173422703e-07,0.26019000000000003,0.8455740859868788,0.0,0.003091127269222047,1
x_aq_rtu_top/ifu_rtu_reset_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/ifu_rtu_warm_up,2,1.3906078346845406e-06,0.7062949999999999,2.295340901118807,0.0,0.0025011227015259096,1
x_aq_rtu_top/iu_rtu_depd_lsu_chgflow_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_depd_lsu_next_pc[39:0],56,3.8937019371167136e-05,0.40145196428571434,1.3046518996446057,0.0,-0.06199952368973765,13
x_aq_rtu_top/iu_rtu_div_data[63:0],8,5.562431338738162e-06,0.2786687500000001,0.9056269402142898,0.0,-0.2649929513304792,7
x_aq_rtu_top/iu_rtu_div_preg[5:0],2,1.3906078346845406e-06,0.39771,1.2924911400816386,0.0,-0.26499786559663824,3
x_aq_rtu_top/iu_rtu_div_wb_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt,27125,0.01886011875790908,0.44426448294930876,1.4437854418167302,0.024147465437788018,0.14592481888963013,1
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt_dp,27127,0.018861509365743767,0.444251695727504,1.443743885479477,0.024182548752165738,0.14592914349328753,1
x_aq_rtu_top/iu_rtu_ex1_alu_data[63:0],189799,0.13196798820764558,0.4241684691173294,1.3784767499840094,0.09123335739387457,,55
x_aq_rtu_top/iu_rtu_ex1_alu_inst_len,118708,0.08253813741986622,0.42485935325336116,1.3807220081486118,0.09466927250058968,0.04137398501568497,1
x_aq_rtu_top/iu_rtu_ex1_alu_inst_split,6,4.1718235040536216e-06,0.28882666666666673,0.9386384744813544,0.0,0.006587814618236219,1
x_aq_rtu_top/iu_rtu_ex1_alu_preg[5:0],349438,0.24296561026824826,0.4150244523778181,1.3487602213058858,0.06497289934122791,-0.09725966713518741,5
x_aq_rtu_top/iu_rtu_ex1_alu_wb_dp,27127,0.018861509365743767,0.444251695727504,1.443743885479477,0.024182548752165738,0.14592914349328753,1
x_aq_rtu_top/iu_rtu_ex1_alu_wb_vld,27125,0.01886011875790908,0.44426448294930876,1.4437854418167302,0.024147465437788018,0.14592481888963013,1
