signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_rtu_top/cp0_rtu_ex1_chgflw,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_chgflw_pc[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt_dp,2,0.0007312614259597807,0.46457000000000004,1.699773663431453,0.0,0.8716459864262093,1
x_aq_rtu_top/cp0_rtu_ex1_expt_tval[39:0],42,0.015356489945155392,0.48770500000000006,1.784420247807299,0.7142857142857143,0.878763771117628,14
x_aq_rtu_top/cp0_rtu_ex1_expt_vec[4:0],60,0.021937842778793418,0.3931680000000001,1.4385272654368935,0.4666666666666667,-0.7763863877957372,2
x_aq_rtu_top/cp0_rtu_ex1_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_flush,2,0.0007312614259597807,0.46457000000000004,1.699773663431453,0.0,0.8716459864262093,1
x_aq_rtu_top/cp0_rtu_ex1_halt_info[21:0],42,0.015356489945155392,0.48770500000000006,1.784420247807299,0.7142857142857143,0.8828794122644203,2
x_aq_rtu_top/cp0_rtu_ex1_inst_dret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_ebreak,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_len,38,0.013893967093235832,0.6212152631578947,2.2729090204650078,0.5526315789473685,0.8498291083935371,1
x_aq_rtu_top/cp0_rtu_ex1_inst_mret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_split,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_sret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_wb_data[63:0],44,0.016087751371115174,0.48664727272727276,1.7805502239975932,0.6363636363636364,0.028182421609999255,18
x_aq_rtu_top/cp0_rtu_ex1_wb_dp,2,0.0007312614259597807,0.46457000000000004,1.699773663431453,0.0,0.8716459864262093,1
x_aq_rtu_top/cp0_rtu_ex1_wb_preg[5:0],14,0.005118829981718464,0.5479507142857143,2.0048479088217275,1.0,0.032609973356514846,2
x_aq_rtu_top/cp0_rtu_ex1_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_fence_idle,3,0.0010968921389396709,0.32191333333333333,1.1778199322113578,0.0,-0.2528125992134169,1
x_aq_rtu_top/cp0_rtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_int_vld[14:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_trap_pc[39:0],2,0.0007312614259597807,0.74503,2.7259236981861408,1.0,0.6892880419345393,5
x_aq_rtu_top/cp0_rtu_vstart_eq_0,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_yy_clk_en,1,0.00036563071297989033,0.26019000000000003,0.9519859428896179,0.0,0.051703092414146605,1
x_aq_rtu_top/cpurst_b,3,0.0010968921389396709,0.13150000000000003,0.4811336004073361,0.0,0.06148102252393539,1
x_aq_rtu_top/dtu_rtu_async_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_dpc[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_ebreak_action,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_int_mask,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_pending_tval[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_resume_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_step_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/hpcp_rtu_cnt_en,1,0.00036563071297989033,0.26019000000000003,0.9519859428896179,0.0,0.051703092414146605,1
x_aq_rtu_top/ifu_rtu_reset_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/ifu_rtu_warm_up,2,0.0007312614259597807,0.7062949999999999,2.584199667678322,0.0,0.05154076827865872,1
x_aq_rtu_top/iu_rtu_depd_lsu_chgflow_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_depd_lsu_next_pc[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_preg[5:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt,33,0.01206581352833638,0.5143909090909091,1.8820589361803175,0.09090909090909091,0.07400082424103373,1
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt_dp,33,0.01206581352833638,0.5143909090909091,1.8820589361803175,0.09090909090909091,0.07400082424103373,1
x_aq_rtu_top/iu_rtu_ex1_alu_data[63:0],44,0.016087751371115174,0.4039872727272727,1.478112935711126,0.06818181818181818,0.03350983406792015,18
x_aq_rtu_top/iu_rtu_ex1_alu_inst_len,38,0.013893967093235832,0.6212152631578947,2.2729090204650078,0.5526315789473685,0.8498291083935371,1
x_aq_rtu_top/iu_rtu_ex1_alu_inst_split,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_preg[5:0],119,0.043510054844606946,0.49849840336134466,1.8239112669699786,0.3025210084033613,-0.66498777614107,4
x_aq_rtu_top/iu_rtu_ex1_alu_wb_dp,33,0.01206581352833638,0.5143909090909091,1.8820589361803175,0.09090909090909091,0.07400082424103373,1
x_aq_rtu_top/iu_rtu_ex1_alu_wb_vld,33,0.01206581352833638,0.5143909090909091,1.8820589361803175,0.09090909090909091,0.07400082424103373,1
x_aq_rtu_top/iu_rtu_ex1_bju_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_bju_cmplt_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_bju_data[63:0],11,0.0040219378427787935,0.36227000000000004,1.3254773339890922,0.09090909090909091,0.007598323198967117,10
