signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_rtu_top/cp0_rtu_ex1_chgflw,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_chgflw_pc[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt_dp,4,0.00010197058148724093,0.47982,3.4976513819671524,0.75,0.7997644977760673,1
x_aq_rtu_top/cp0_rtu_ex1_expt_tval[39:0],68,0.0017334998852830959,0.3799404411764706,2.7695786110334955,0.8382352941176471,0.8077471146833458,16
x_aq_rtu_top/cp0_rtu_ex1_expt_vec[4:0],1350,0.03441507125194381,0.19643942962962965,1.4319466519047004,0.03777777777777778,-0.6770517941690155,2
x_aq_rtu_top/cp0_rtu_ex1_expt_vld,2,5.0985290743620464e-05,0.49507,3.6088163679514778,0.5,0.011101460497873129,1
x_aq_rtu_top/cp0_rtu_ex1_flush,2,5.0985290743620464e-05,0.46457000000000004,3.386486395982827,1.0,0.7997922645825245,1
x_aq_rtu_top/cp0_rtu_ex1_halt_info[21:0],68,0.0017334998852830959,0.3799404411764706,2.7695786110334955,0.8382352941176471,0.8088198985949714,5
x_aq_rtu_top/cp0_rtu_ex1_inst_dret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_ebreak,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_len,14,0.00035689703520534326,0.5579928571428572,4.067492993025539,0.42857142857142855,0.7346747859253894,1
x_aq_rtu_top/cp0_rtu_ex1_inst_mret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_split,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_sret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_wb_data[63:0],52,0.001325617559334132,0.35154384615384604,2.5625814249552907,0.7884615384615384,0.024911416598613744,48
x_aq_rtu_top/cp0_rtu_ex1_wb_dp,2,5.0985290743620464e-05,0.46457000000000004,3.386486395982827,1.0,0.7997922645825245,1
x_aq_rtu_top/cp0_rtu_ex1_wb_preg[5:0],22,0.0005608381981798251,0.38774318181818185,2.8264567457269485,0.9545454545454546,0.07249243119527844,2
x_aq_rtu_top/cp0_rtu_ex1_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_fence_idle,3,7.64779361154307e-05,0.32191333333333333,2.346589586109345,0.6666666666666666,-0.5374329727813055,1
x_aq_rtu_top/cp0_rtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_int_vld[14:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_trap_pc[39:0],2,5.0985290743620464e-05,0.74503,5.430901607075543,1.0,0.00851908600833339,5
x_aq_rtu_top/cp0_rtu_vstart_eq_0,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_yy_clk_en,1,2.5492645371810232e-05,0.26019000000000003,1.8966568985745351,0.0,0.005889034590407191,1
x_aq_rtu_top/cpurst_b,3,7.64779361154307e-05,0.13150000000000003,0.9585702070123809,0.0,0.004661714131843284,1
x_aq_rtu_top/dtu_rtu_async_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_dpc[63:0],2,5.0985290743620464e-05,0.7008350000000001,5.10874183293933,1.0,-0.37886680192351346,4
x_aq_rtu_top/dtu_rtu_ebreak_action,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_int_mask,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_pending_tval[63:0],19,0.0004843602620643944,0.34781789473684216,2.5354210749848307,0.3157894736842105,-0.1061018157107628,47
x_aq_rtu_top/dtu_rtu_resume_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_step_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_halt_req,2,5.0985290743620464e-05,0.07139000000000004,0.5203979245521969,0.0,0.005680646798863823,1
x_aq_rtu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/hpcp_rtu_cnt_en,1,2.5492645371810232e-05,0.26019000000000003,1.8966568985745351,0.0,0.005889034590407191,1
x_aq_rtu_top/ifu_rtu_reset_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/ifu_rtu_warm_up,2,5.0985290743620464e-05,0.7062949999999999,5.148542542675356,0.5,0.06138297284585442,1
x_aq_rtu_top/iu_rtu_depd_lsu_chgflow_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_depd_lsu_next_pc[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_data[63:0],2,5.0985290743620464e-05,0.44235999999999986,3.2245864393459818,0.0,-0.12236466718311897,2
x_aq_rtu_top/iu_rtu_div_preg[5:0],2,5.0985290743620464e-05,0.44235999999999986,3.2245864393459818,0.0,-0.12236466718311702,2
x_aq_rtu_top/iu_rtu_div_wb_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt,30,0.000764779361154307,0.5385273333333332,3.925598915552537,0.5333333333333333,0.07257157962837595,1
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt_dp,30,0.000764779361154307,0.5385273333333332,3.925598915552537,0.5333333333333333,0.07257157962837595,1
x_aq_rtu_top/iu_rtu_ex1_alu_data[63:0],32,0.0008157646518979274,0.39654312500000005,2.890603995593813,0.53125,0.040842050644625476,6
x_aq_rtu_top/iu_rtu_ex1_alu_inst_len,14,0.00035689703520534326,0.5579928571428572,4.067492993025539,0.42857142857142855,0.7346747859253894,1
x_aq_rtu_top/iu_rtu_ex1_alu_inst_split,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_preg[5:0],119,0.0030336247992454176,0.4682413445378152,3.41324868871003,0.5966386554621849,-0.6143235820094114,4
x_aq_rtu_top/iu_rtu_ex1_alu_wb_dp,30,0.000764779361154307,0.5385273333333332,3.925598915552537,0.5333333333333333,0.07257157962837595,1
x_aq_rtu_top/iu_rtu_ex1_alu_wb_vld,30,0.000764779361154307,0.5385273333333332,3.925598915552537,0.5333333333333333,0.07257157962837595,1
