signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_rtu_top/cp0_rtu_ex1_chgflw,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_chgflw_pc[39:0],22,0.0018080210387902695,0.36019954545454547,1.4620466118011664,0.3181818181818182,-0.2861365705861652,39
x_aq_rtu_top/cp0_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_cmplt_dp,10,0.000821827744904668,0.530284,2.1524178341591127,0.2,0.49617852956291336,1
x_aq_rtu_top/cp0_rtu_ex1_expt_tval[39:0],209,0.01717619986850756,0.4408721052631579,1.789495783300448,0.5502392344497608,0.4093276389193439,14
x_aq_rtu_top/cp0_rtu_ex1_expt_vec[4:0],162,0.013313609467455622,0.42206851851851857,1.7131721992297997,0.25308641975308643,-0.35236013129920907,3
x_aq_rtu_top/cp0_rtu_ex1_expt_vld,2,0.0001643655489809336,0.36973,1.5007306383440737,0.5,0.009474970739788896,1
x_aq_rtu_top/cp0_rtu_ex1_flush,4,0.0003287310979618672,0.5063200000000001,2.0551481805814285,0.25,0.4953391041997696,1
x_aq_rtu_top/cp0_rtu_ex1_halt_info[21:0],208,0.017094017094017096,0.4423869711538462,1.7956446098904955,0.5528846153846154,0.5089516882108164,2
x_aq_rtu_top/cp0_rtu_ex1_inst_dret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_ebreak,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_len,182,0.014957264957264958,0.4571689010989012,1.855644326338714,0.1978021978021978,0.6279394184470051,1
x_aq_rtu_top/cp0_rtu_ex1_inst_mret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_split,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_inst_sret,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_vs_dirty_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_ex1_wb_data[63:0],130,0.010683760683760684,0.47513015384615387,1.9285488845321084,0.6076923076923076,0.023942941101966434,63
x_aq_rtu_top/cp0_rtu_ex1_wb_dp,2,0.0001643655489809336,0.46457000000000004,1.8856853180848359,0.0,0.46778320293426195,1
x_aq_rtu_top/cp0_rtu_ex1_wb_preg[5:0],26,0.002136752136752137,0.5356553846153846,2.174220234458352,0.7307692307692307,0.038267591192639325,3
x_aq_rtu_top/cp0_rtu_ex1_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_fence_idle,5,0.000410913872452334,0.34304,1.3923961760678092,0.0,-0.22903651789993296,1
x_aq_rtu_top/cp0_rtu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_in_lpmd,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_int_vld[14:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_rtu_trap_pc[39:0],12,0.0009861932938856016,0.5579216666666668,2.264598866639592,0.3333333333333333,0.24465698255186588,5
x_aq_rtu_top/cp0_rtu_vstart_eq_0,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/cp0_yy_clk_en,1,8.21827744904668e-05,0.26019000000000003,1.0561087950416375,0.0,0.025359031181446556,1
x_aq_rtu_top/cpurst_b,3,0.0002465483234714004,0.13150000000000003,0.533757279480285,0.0,0.029770153672751397,1
x_aq_rtu_top/dtu_rtu_async_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_dpc[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_ebreak_action,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_int_mask,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_pending_tval[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_resume_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_step_en,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/dtu_rtu_sync_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/hpcp_rtu_cnt_en,1,8.21827744904668e-05,0.26019000000000003,1.0561087950416375,0.0,0.025359031181446556,1
x_aq_rtu_top/ifu_rtu_reset_halt_req,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/ifu_rtu_warm_up,2,0.0001643655489809336,0.7062949999999999,2.8668448495097163,0.0,0.03382495288397647,1
x_aq_rtu_top/iu_rtu_depd_lsu_chgflow_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_depd_lsu_next_pc[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_preg[5:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_div_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt,155,0.012738330046022353,0.4605933548387098,1.8695441522844654,0.16129032258064516,0.1612540957653089,1
x_aq_rtu_top/iu_rtu_ex1_alu_cmplt_dp,193,0.01586127547666009,0.4428922279792747,1.797695442655359,0.20207253886010362,0.172326762811246,1
x_aq_rtu_top/iu_rtu_ex1_alu_data[63:0],556,0.04569362261669954,0.46105053956834535,1.8713998608586875,0.16546762589928057,0.07550071893567574,47
x_aq_rtu_top/iu_rtu_ex1_alu_inst_len,182,0.014957264957264958,0.4571689010989012,1.855644326338714,0.1978021978021978,0.6279394184470051,1
x_aq_rtu_top/iu_rtu_ex1_alu_inst_split,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_alu_preg[5:0],803,0.06599276791584484,0.44755141967621426,1.8166070585088616,0.19551681195516812,-0.48886364284156264,5
x_aq_rtu_top/iu_rtu_ex1_alu_wb_dp,193,0.01586127547666009,0.4428922279792747,1.797695442655359,0.20207253886010362,0.172326762811246,1
x_aq_rtu_top/iu_rtu_ex1_alu_wb_vld,155,0.012738330046022353,0.4605933548387098,1.8695441522844654,0.16129032258064516,0.1612540957653089,1
x_aq_rtu_top/iu_rtu_ex1_bju_cmplt,2,0.0001643655489809336,0.7508500000000002,3.04769318097165,0.0,-0.0019127269644333852,1
x_aq_rtu_top/iu_rtu_ex1_bju_cmplt_dp,2,0.0001643655489809336,0.7508500000000002,3.04769318097165,0.0,-0.0019127269644333852,1
x_aq_rtu_top/iu_rtu_ex1_bju_data[63:0],205,0.016847468770545694,0.47018517073170735,1.9084772439675235,0.13658536585365855,0.03999542914644444,52
x_aq_rtu_top/iu_rtu_ex1_bju_inst_len,182,0.014957264957264958,0.4571689010989012,1.855644326338714,0.1978021978021978,0.6279394184470051,1
x_aq_rtu_top/iu_rtu_ex1_bju_preg[5:0],803,0.06599276791584484,0.44755141967621426,1.8166070585088616,0.19551681195516812,-0.48886364284156264,5
x_aq_rtu_top/iu_rtu_ex1_bju_wb_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_bju_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_branch_inst,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_cur_pc[39:0],966,0.07938856015779093,0.5206765838509317,2.113421421181458,0.20496894409937888,-0.00676449375657705,10
x_aq_rtu_top/iu_rtu_ex1_div_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_div_cmplt_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_mul_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_mul_cmplt_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex1_next_pc[39:0],1111,0.09130506245890861,0.4667963276327633,1.8947219612825204,0.2295229522952295,-0.0035898221234300347,10
x_aq_rtu_top/iu_rtu_ex2_bju_ras_mispred,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex3_mul_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_rtu_ex3_mul_preg[5:0],2,0.0001643655489809336,0.76496,3.1049655400094194,0.0,0.25794407170014233,2
x_aq_rtu_top/iu_rtu_ex3_mul_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/iu_xx_no_op,404,0.033201840894148585,0.4099881188118812,1.6641379689450149,0.2995049504950495,-0.73520099437367,1
x_aq_rtu_top/lsu_rtu_async_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/lsu_rtu_async_ld_inst,0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/lsu_rtu_async_tval[39:0],0,0.0,0.0,0.0,0.0,,0
x_aq_rtu_top/lsu_rtu_ex1_buffer_vld,64,0.005259697567389875,0.40050765625000007,1.6256568593994305,0.0625,0.44065847337890984,1
x_aq_rtu_top/lsu_rtu_ex1_cmplt,68,0.005588428665351742,0.45818926470588245,1.8597859727489268,0.014705882352941176,0.07273163572950216,1
x_aq_rtu_top/lsu_rtu_ex1_cmplt_dp,122,0.010026298487836949,0.42472434426229505,1.723952171273692,0.07377049180327869,0.456213356670661,1
x_aq_rtu_top/lsu_rtu_ex1_cmplt_for_pcgen,68,0.005588428665351742,0.45818926470588245,1.8597859727489268,0.014705882352941176,0.07273163572950216,1
x_aq_rtu_top/lsu_rtu_ex1_data[63:0],1115,0.09163379355687049,0.472581533632287,1.918204058739089,0.19910313901345292,-0.07744803524737519,63
x_aq_rtu_top/lsu_rtu_ex1_dest_reg[5:0],691,0.05678829717291256,0.47225683068017366,1.9168860924701976,0.17655571635311143,0.05053180343540877,4
