case,target,spearman,spearman_null95,pearson,pearson_null95,best_W
cache,tv,0.191,0.114,0.305,0.098,32
cache,maxstep,0.646,0.212,0.751,0.182,64
cache,range,0.624,0.163,0.785,0.133,32
cache,level,0.616,0.161,0.91,0.141,64
conv_softmax,tv,0.72,0.336,0.67,0.299,8
conv_softmax,maxstep,0.726,0.378,0.63,0.308,8
conv_softmax,range,0.736,0.393,0.627,0.321,8
conv_softmax,level,0.907,0.356,0.889,0.293,4
coremark,tv,0.678,0.268,0.887,0.179,512
coremark,maxstep,0.348,0.095,0.515,0.082,64
coremark,range,0.277,0.105,0.503,0.082,64
coremark,level,0.634,0.191,0.816,0.133,16
csr,tv,0.251,0.191,0.555,0.16,16
csr,maxstep,0.642,0.317,0.75,0.213,16
csr,range,0.734,0.328,0.694,0.297,16
csr,level,0.498,0.158,0.562,0.157,8
debug,tv,0.596,0.27,0.75,0.365,256
debug,maxstep,0.778,0.298,0.749,0.32,256
debug,range,0.799,0.293,0.528,0.241,256
debug,level,0.641,0.268,0.972,0.479,256
exception,tv,0.542,0.178,0.797,0.19,64
exception,maxstep,0.769,0.139,0.815,0.173,32
exception,range,0.789,0.15,0.846,0.191,32
exception,level,0.72,0.162,0.97,0.234,64
interrupt,tv,0.398,0.196,0.583,0.169,16
interrupt,maxstep,0.699,0.264,0.736,0.167,16
interrupt,range,0.767,0.291,0.796,0.155,16
interrupt,level,0.58,0.204,0.847,0.143,16
ISA_FP,tv,0.853,0.141,0.828,0.133,128
ISA_FP,maxstep,0.852,0.146,0.751,0.132,64
ISA_FP,range,0.868,0.137,0.784,0.127,64
ISA_FP,level,0.96,0.148,0.981,0.146,128
ISA_INT,tv,0.644,0.208,0.73,0.194,64
ISA_INT,maxstep,0.759,0.18,0.756,0.144,32
ISA_INT,range,0.872,0.241,0.86,0.254,64
ISA_INT,level,0.713,0.13,0.929,0.155,16
ISA_LS,tv,0.608,0.097,0.663,0.094,128
ISA_LS,maxstep,0.778,0.121,0.669,0.114,128
ISA_LS,range,0.875,0.135,0.795,0.125,128
ISA_LS,level,0.911,0.116,0.977,0.112,128
ISA_THEAD,tv,0.567,0.215,0.711,0.215,32
ISA_THEAD,maxstep,0.775,0.288,0.715,0.232,32
ISA_THEAD,range,0.818,0.3,0.795,0.262,32
ISA_THEAD,level,0.705,0.242,0.933,0.259,16
MMU,tv,0.351,0.139,0.412,0.157,32
MMU,maxstep,0.753,0.275,0.672,0.203,32
MMU,range,0.767,0.22,0.715,0.197,16
MMU,level,0.719,0.22,0.927,0.311,32
