signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_vidu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/cp0_yy_clk_en,1,3.330114222917846e-05,1.187,2.200820152656901,0.0,0.012715280083722025,1
x_aq_vidu_top/cpurst_b,3,9.990342668753538e-05,0.5556666666666668,1.0302631829483446,0.0,0.004974988306899891,1
x_aq_vidu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_fp_dp_sel,20,0.0006660228445835693,0.5681699999999998,1.0534456496504392,0.1,0.04974523397218318,1
x_aq_vidu_top/idu_vidu_ex1_fp_gateclk_sel,16,0.0005328182756668553,0.5005624999999998,0.928094387248795,0.125,0.04238836659355415,1
x_aq_vidu_top/idu_vidu_ex1_fp_sel,20,0.0006660228445835693,0.5681699999999998,1.0534456496504392,0.1,0.04974523397218318,1
x_aq_vidu_top/idu_vidu_ex1_inst_data[179:0],4161,0.13856605281561157,0.6475091180004807,1.2005485391108286,0.15717375630857966,,92
x_aq_vidu_top/idu_vidu_ex1_vec_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_vec_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_vec_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ifu_vidu_warm_up,2,6.660228445835692e-05,0.8842500000000002,1.6394904970403246,0.5,0.0173926270221066,1
x_aq_vidu_top/pad_yy_icg_scan_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/rtu_vidu_flush_wbt,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/rtu_yy_xx_async_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_cp0_vid_fof_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_dtu_debug_info[7:0],48,0.0015984548270005661,0.8341110416666666,1.5465277085540354,0.3125,0.017985939503705826,2
x_aq_vidu_top/vidu_idu_fp_full,16,0.0005328182756668553,0.971325,1.8009365078175776,0.4375,-0.0012690786024654819,1
x_aq_vidu_top/vidu_idu_vec_full,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_rtu_no_op,17,0.0005661194178960339,0.9780429411764707,1.8133922620935172,0.4117647058823529,-0.01173167504000673,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dp_vld,20,0.0006660228445835693,0.86423,1.6023713568076443,0.4,0.0194804965081234,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dst_reg[5:0],2439,0.08122148589696626,0.6518769331693317,1.2086469179201695,0.18901189011890118,0.009073974589888532,5
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dst_vld,935,0.03113656798428186,0.6560307272727274,1.2163484796495212,0.18823529411764706,0.014751222930803306,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dste_vld,8,0.00026640913783342767,0.46048999999999984,0.8537958484389016,0.125,0.0002644319839147491,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dstf_reg[4:0],2439,0.08122148589696626,0.6552362197621976,1.214875380963244,0.1906519065190652,0.019730404008586996,5
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dstf_vld,20,0.0006660228445835693,0.6980819999999998,1.2943158667287569,0.2,-0.011492655622566477,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_eu[9:0],1512,0.050351327050517834,0.6513081547619047,1.207592344220539,0.18518518518518517,-0.0006660947262044045,6
x_aq_vidu_top/vidu_vpu_vid_fp_inst_func[19:0],3390,0.11289087215691498,0.6517784306784661,1.2084642841653388,0.1728613569321534,0.012987644737685041,11
x_aq_vidu_top/vidu_vpu_vid_fp_inst_gateclk_vld,16,0.0005328182756668553,0.8706375000000001,1.6142515211953015,0.5,0.021212819368267383,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_src1_data[63:0],3538,0.1178194412068334,0.6602945929903901,1.2242541254790538,0.17269643866591294,0.050682752104753655,64
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf0_data[63:0],132,0.0043957507742515564,0.7078358333333333,1.3124004774833122,0.29545454545454547,0.022893403926553056,47
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf1_data[63:0],331,0.01102267807785807,0.7632876435045316,1.4152138400158127,0.2175226586102719,0.036608948857840315,47
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf2_data[63:0],272,0.009057910686336542,0.7207643014705882,1.3363711878619584,0.20588235294117646,0.011105477070830339,47
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf2_rdy,17,0.0005661194178960339,0.6281999999999999,1.1647474472612174,0.11764705882352941,-0.0176734395327951,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf2_vld,8,0.00026640913783342767,0.8184899999999998,1.5175646897625499,0.25,-0.012620689046510989,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_vld,16,0.0005328182756668553,0.7273374999999999,1.3485585743749693,0.125,0.03580459974902866,1
x_aq_vidu_top/vpu_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_rtu_ex1_cmplt_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_rtu_ex1_fp_dirty,20,0.0006660228445835693,0.6980819999999998,1.2943158667287569,0.2,-0.011492655622566477,1
x_aq_vidu_top/vpu_rtu_ex1_vec_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_fp_fwd_data[63:0],32,0.0010656365513337107,0.8475065625,1.571364382695009,0.34375,0.06638614235506644,53
x_aq_vidu_top/vpu_vidu_fp_fwd_reg[4:0],32,0.0010656365513337107,0.8475065625,1.571364382695009,0.34375,0.0639279485363493,3
x_aq_vidu_top/vpu_vidu_fp_fwd_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_fp_wb_data[63:0],16,0.0005328182756668553,0.9546206249999999,1.7699648775416397,0.3125,0.02839621097303371,34
x_aq_vidu_top/vpu_vidu_fp_wb_reg[4:0],28,0.0009324319824169969,0.9282046428571429,1.7209869282137336,0.42857142857142855,0.029610949873468566,5
x_aq_vidu_top/vpu_vidu_fp_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_vex1_fp_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_wbt_fp_wb0_reg[4:0],28,0.0009324319824169969,0.9282046428571429,1.7209869282137336,0.42857142857142855,0.029610949873468566,5
x_aq_vidu_top/vpu_vidu_wbt_fp_wb0_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_wbt_fp_wb1_reg[4:0],397,0.01322055346498385,0.6512630730478588,1.207508758083396,0.11838790931989925,0.030191696279817208,5
x_aq_vidu_top/vpu_vidu_wbt_fp_wb1_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ctrl_dis_fp_dep_stall_dp,16,0.0005328182756668553,0.45737999999999995,0.8480295883927661,0.3125,0.005235471360069294,1
x_aq_vidu_top/ctrl_dp_fgpr_reuse_inst_dp_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ctrl_fgpr_reuse_inst_gateclk_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ctrl_fgpr_reuse_inst_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ctrl_split_fp_dis_stall,16,0.0005328182756668553,0.45737999999999995,0.8480295883927661,0.3125,0.005235471360069294,1
x_aq_vidu_top/ctrl_wbt_fp_dis_inst_gateclk_vld,16,0.0005328182756668553,0.8706375000000001,1.6142515211953015,0.5,0.021212819368267383,1
x_aq_vidu_top/ctrl_wbt_fp_dis_inst_vld,16,0.0005328182756668553,0.7273374999999999,1.3485585743749693,0.125,0.03580459974902866,1
x_aq_vidu_top/dp_ctrl_dis_fp_inst_dstf_vld,20,0.0006660228445835693,0.6980819999999998,1.2943158667287569,0.2,-0.011492655622566477,1
x_aq_vidu_top/dp_ctrl_dis_fp_inst_srcf0_reg[4:0],2518,0.08385227613307136,0.6542948927720413,1.2131300638527336,0.17394757744241462,-0.0012327335777184473,5
