signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_vidu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/cp0_yy_clk_en,1,1.1992564609941836e-05,1.187,2.2210808604419037,0.0,0.00748396370428546,1
x_aq_vidu_top/cpurst_b,3,3.597769382982551e-05,0.5556666666666668,1.0397477658962802,0.0,0.002611847590088819,1
x_aq_vidu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_fp_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_fp_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_fp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_inst_data[179:0],10109,0.12123283564190201,0.6378559244237808,1.1935379826934598,0.201800375902661,,89
x_aq_vidu_top/idu_vidu_ex1_vec_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_vec_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_vec_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ifu_vidu_warm_up,2,2.3985129219883673e-05,0.8842500000000002,1.6545836148658413,0.5,0.011034971962391647,1
x_aq_vidu_top/pad_yy_icg_scan_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/rtu_vidu_flush_wbt,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/rtu_yy_xx_async_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_cp0_vid_fof_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_dtu_debug_info[7:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_idu_fp_full,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_idu_vec_full,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_rtu_no_op,1,1.1992564609941836e-05,1.187,2.2210808604419037,0.0,0.00748396370428546,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dp_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dst_reg[5:0],4954,0.05941116507765186,0.6388558417440452,1.1954089997297392,0.21659265240209932,-0.009703108869577787,5
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dst_vld,1151,0.013803441866043053,0.6438990616854909,1.2048457303842834,0.23370981754995657,0.01954357640076422,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dste_vld,14,0.0001678959045391857,0.6580414285714282,1.2313085276982707,0.42857142857142855,-0.01205243945075704,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dstf_reg[4:0],5164,0.06192960364573964,0.6372310379550735,1.1923687127898417,0.2143687064291247,-0.0050975839999141456,5
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dstf_vld,28,0.0003357918090783714,0.6711485714285713,1.2558342430605944,0.4642857142857143,-0.01844286148451209,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_eu[9:0],2119,0.02541224440846675,0.6447783152430391,1.2064909647972115,0.25719679093912223,-0.024097432006418663,5
x_aq_vidu_top/vidu_vpu_vid_fp_inst_func[19:0],7103,0.08518318642441686,0.6425508616077714,1.2023230164932397,0.2161058707588343,0.009031848235822464,11
x_aq_vidu_top/vidu_vpu_vid_fp_inst_gateclk_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_vpu_vid_fp_inst_src1_data[63:0],9572,0.11479282844636325,0.6381570862933557,1.1941015082742583,0.20089845382365232,0.05630619018011984,63
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf0_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf1_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf2_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf2_rdy,1,1.1992564609941836e-05,0.21599999999999997,0.4041730967611214,0.0,0.006390124277253901,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf2_vld,24,0.00028782155063860406,0.7387054166666666,1.3822447030017646,0.4166666666666667,-0.019262542983328742,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_rtu_ex1_cmplt_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_rtu_ex1_fp_dirty,28,0.0003357918090783714,0.6711485714285713,1.2558342430605944,0.4642857142857143,-0.01844286148451209,1
x_aq_vidu_top/vpu_rtu_ex1_vec_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_fp_fwd_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_fp_fwd_reg[4:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_fp_fwd_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_fp_wb_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_fp_wb_reg[4:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_fp_wb_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_vex1_fp_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_wbt_fp_wb0_reg[4:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_wbt_fp_wb0_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_wbt_fp_wb1_reg[4:0],1749,0.020974995502788273,0.6189661749571184,1.1581920172352067,0.17724413950829046,0.011008576201475221,5
x_aq_vidu_top/vpu_vidu_wbt_fp_wb1_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ctrl_dis_fp_dep_stall_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ctrl_dp_fgpr_reuse_inst_dp_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ctrl_fgpr_reuse_inst_gateclk_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ctrl_fgpr_reuse_inst_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ctrl_split_fp_dis_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ctrl_wbt_fp_dis_inst_gateclk_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ctrl_wbt_fp_dis_inst_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/dp_ctrl_dis_fp_inst_dstf_vld,28,0.0003357918090783714,0.6711485714285713,1.2558342430605944,0.4642857142857143,-0.01844286148451209,1
x_aq_vidu_top/dp_ctrl_dis_fp_inst_srcf0_reg[4:0],5915,0.07093601966780597,0.6478373186813187,1.2122148855965282,0.22755705832628909,-0.02324203577726121,5
x_aq_vidu_top/dp_ctrl_dis_fp_inst_srcf0_vld,14,0.0001678959045391857,0.6580414285714282,1.2313085276982707,0.42857142857142855,-0.01205243945075704,1
x_aq_vidu_top/dp_ctrl_dis_fp_inst_srcf1_reg[4:0],8511,0.10206871739521496,0.6397924086476324,1.197161477256345,0.19915403595347198,0.028351345037314298,5
x_aq_vidu_top/dp_ctrl_dis_fp_inst_srcf1_vld,14,0.0001678959045391857,0.6580414285714282,1.2313085276982707,0.42857142857142855,-0.01205243945075704,1
x_aq_vidu_top/dp_ctrl_dis_fp_inst_srcf2_reg[4:0],7140,0.0856269113149847,0.643634525210084,1.2043507372061748,0.20406162464985994,0.01109171873054089,5
x_aq_vidu_top/dp_ctrl_dis_fp_inst_srcf2_vld,24,0.00028782155063860406,0.7387054166666666,1.3822447030017646,0.4166666666666667,-0.019262542983328742,1
x_aq_vidu_top/dp_ctrl_dis_fp_inst_store,174,0.0020867062421298793,0.6728463793103449,1.2590111331961584,0.3333333333333333,-0.02682931607783898,1
x_aq_vidu_top/dp_ctrl_dis_fp_inst_wb_type,352,0.004221382742699526,0.6886893465909091,1.2886560459168566,0.34375,-0.0444221897478516,1
x_aq_vidu_top/dp_gpr_fp_src0_reg[4:0],5915,0.07093601966780597,0.6478373186813187,1.2122148855965282,0.22755705832628909,-0.02324203577726121,5
x_aq_vidu_top/dp_gpr_fp_src1_reg[4:0],8511,0.10206871739521496,0.6397924086476324,1.197161477256345,0.19915403595347198,0.028351345037314298,5
x_aq_vidu_top/dp_gpr_fp_src2_reg[4:0],7140,0.0856269113149847,0.643634525210084,1.2043507372061748,0.20406162464985994,0.01109171873054089,5
x_aq_vidu_top/dp_vec_fgpr_reuse_dstf_reg[4:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/dp_vec_fgpr_reuse_dstf_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/dp_vec_fgpr_reuse_srcf0_reg[4:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/dp_vec_fgpr_reuse_srcf0_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/dp_vec_fgpr_reuse_srcf1_reg[4:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/dp_vec_fgpr_reuse_srcf1_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/dp_vec_fgpr_reuse_srcf2_reg[4:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/dp_vec_fgpr_reuse_srcf2_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/dp_wbt_fp_dstv_reg[4:0],5164,0.06192960364573964,0.6372310379550735,1.1923687127898417,0.2143687064291247,-0.0050975839999141456,5
x_aq_vidu_top/dp_wbt_fp_dstv_type,352,0.004221382742699526,0.6886893465909091,1.2886560459168566,0.34375,-0.0444221897478516,1
x_aq_vidu_top/dp_wbt_fp_dstv_vld,28,0.0003357918090783714,0.6711485714285713,1.2558342430605944,0.4642857142857143,-0.01844286148451209,1
x_aq_vidu_top/dp_wbt_fp_srcv0_reg[4:0],5915,0.07093601966780597,0.6478373186813187,1.2122148855965282,0.22755705832628909,-0.02324203577726121,5
x_aq_vidu_top/dp_wbt_fp_srcv1_reg[4:0],8511,0.10206871739521496,0.6397924086476324,1.197161477256345,0.19915403595347198,0.028351345037314298,5
x_aq_vidu_top/dp_wbt_fp_srcv2_reg[4:0],7140,0.0856269113149847,0.643634525210084,1.2043507372061748,0.20406162464985994,0.01109171873054089,5
x_aq_vidu_top/gpr_fp_dp_src0_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/gpr_fp_dp_src1_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/gpr_fp_dp_src2_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/split_fp_ctrl_entry_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/split_fp_ctrl_inst_dp_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/split_fp_ctrl_inst_gateclk_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/split_fp_ctrl_inst_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/split_fp_dp_inst_data[179:0],10109,0.12123283564190201,0.6378559244237808,1.1935379826934598,0.201800375902661,,89
x_aq_vidu_top/split_vec0_ctrl_entry_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/split_vec1_ctrl_entry_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/wbt_ctrl_fp_dstv_info[2:0],1,1.1992564609941836e-05,0.21599999999999997,0.4041730967611214,0.0,0.006390124277253901,1
x_aq_vidu_top/wbt_ctrl_fp_srcv0_info[2:0],1,1.1992564609941836e-05,0.21599999999999997,0.4041730967611214,0.0,0.006390124277253901,1
x_aq_vidu_top/wbt_ctrl_fp_srcv1_info[2:0],1,1.1992564609941836e-05,0.21599999999999997,0.4041730967611214,0.0,0.006390124277253901,1
x_aq_vidu_top/wbt_ctrl_fp_srcv2_info[2:0],1,1.1992564609941836e-05,0.21599999999999997,0.4041730967611214,0.0,0.006390124277253901,1
x_aq_vidu_top/wbt_ctrl_fp_srcvm_info[2:0],1,1.1992564609941836e-05,1.187,2.2210808604419037,0.0,0.00748396370428546,1
x_aq_vidu_top/wbt_top_fp_gpr_no_wb,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/x_aq_vidu_vid_ctrl_fp/ctrl_dis_fp_dep_stall_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/x_aq_vidu_vid_ctrl_fp/ctrl_fgpr_reuse_inst_gateclk_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/x_aq_vidu_vid_ctrl_fp/ctrl_fgpr_reuse_inst_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/x_aq_vidu_vid_ctrl_fp/ctrl_split_fp_dis_stall,0,0.0,0.0,0.0,0.0,,0
