signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_vidu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/cp0_yy_clk_en,1,4.729921483303377e-05,1.187,2.192635456129948,0.0,0.014985058432549388,1
x_aq_vidu_top/cpurst_b,3,0.00014189764449910132,0.5556666666666668,1.0264317060849828,0.0,0.005799071428133077,1
x_aq_vidu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_fp_dp_sel,30,0.0014189764449910132,0.7990666666666667,1.4760420430875347,0.4,0.060223794173510516,1
x_aq_vidu_top/idu_vidu_ex1_fp_gateclk_sel,30,0.0014189764449910132,0.7990666666666667,1.4760420430875347,0.4,0.060223794173510516,1
x_aq_vidu_top/idu_vidu_ex1_fp_sel,30,0.0014189764449910132,0.7990666666666667,1.4760420430875347,0.4,0.060223794173510516,1
x_aq_vidu_top/idu_vidu_ex1_inst_data[179:0],2943,0.1392015892536184,0.6529574855589534,1.2061480490160232,0.15664288141352362,,98
x_aq_vidu_top/idu_vidu_ex1_vec_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_vec_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_vec_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ifu_vidu_warm_up,2,9.459842966606754e-05,0.8842500000000002,1.6333933463208987,0.5,0.0206589760173165,1
x_aq_vidu_top/pad_yy_icg_scan_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/rtu_vidu_flush_wbt,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/rtu_yy_xx_async_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_cp0_vid_fof_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_dtu_debug_info[7:0],68,0.0032163466086462963,1.0004930882352943,1.8481184657772995,0.4264705882352941,0.1427930000918645,2
x_aq_vidu_top/vidu_idu_fp_full,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_idu_vec_full,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_rtu_no_op,25,0.0011824803708258443,1.3801952,2.549507103538639,0.64,-0.08602021654864199,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dp_vld,30,0.0014189764449910132,1.0819333333333332,1.9985555078648087,0.4666666666666667,0.0701085442658166,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dst_reg[5:0],2091,0.09890265821587362,0.6653494261119082,1.2290385361488483,0.18077474892395984,0.022319817779540535,5
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dst_vld,621,0.02937281241131397,0.6859545732689212,1.2671005211827504,0.20611916264090177,-0.04184220406759403,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dste_vld,38,0.0017973701636552833,0.6235131578947368,1.1517582623113316,0.07894736842105263,-0.015615557759040916,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dstf_reg[4:0],2053,0.09710528805221834,0.6654878957622989,1.2292943183434941,0.1821724305893814,0.07981928530107932,5
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dstf_vld,54,0.0025541576009838235,0.6231892592592592,1.151159954280716,0.1111111111111111,-0.022705932545851567,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_eu[9:0],1170,0.05534008135464951,0.6883836153846155,1.2715874663110607,0.19743589743589743,-0.006955232790633179,6
x_aq_vidu_top/vidu_vpu_vid_fp_inst_func[19:0],2440,0.1154100841926024,0.6679505696721311,1.2338433883785271,0.16598360655737704,-0.0421504045055254,11
x_aq_vidu_top/vidu_vpu_vid_fp_inst_gateclk_vld,30,0.0014189764449910132,1.0819333333333332,1.9985555078648087,0.4666666666666667,0.0701085442658166,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_src1_data[63:0],2560,0.12108598997256645,0.6704539960937499,1.2384677367642507,0.16953125,0.11108595492924314,64
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf0_data[63:0],108,0.005108315201967647,0.8251087962962964,1.524147263625916,0.3333333333333333,,43
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf1_data[63:0],48,0.002270362311985621,0.8623570833333334,1.5929525836238205,0.375,0.056198374175895044,41
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf2_data[63:0],32,0.0015135748746570807,0.797941875,1.4739643193393521,0.375,0.05597565419757856,41
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf2_rdy,7,0.00033109450383123643,0.7968571428571428,1.4719605938491815,0.14285714285714285,-0.010363684660805476,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_srcf2_vld,18,0.0008513858669946079,0.5305644444444444,0.9800626896805196,0.1111111111111111,-0.028698863299950854,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_vld,6,0.00028379528899820264,0.9236666666666666,1.7062041137141493,0.3333333333333333,0.02518071635749453,1
x_aq_vidu_top/vpu_rtu_ex1_cmplt,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_rtu_ex1_cmplt_dp,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_rtu_ex1_fp_dirty,54,0.0025541576009838235,0.6231892592592592,1.151159954280716,0.1111111111111111,-0.022705932545851567,1
x_aq_vidu_top/vpu_rtu_ex1_vec_dirty,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_fp_fwd_data[63:0],32,0.0015135748746570807,1.2321837500000001,2.276099223856074,0.625,0.07231394259256527,41
x_aq_vidu_top/vpu_vidu_fp_fwd_reg[4:0],40,0.0018919685933213508,1.1355080000000002,2.097519040875489,0.525,0.12589870915774698,2
x_aq_vidu_top/vpu_vidu_fp_fwd_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vpu_vidu_fp_wb_data[63:0],34,0.0016081733043231481,1.6439800000000004,3.036772398625537,0.7058823529411765,,43
