signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_vidu_top/cp0_idu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/cp0_yy_clk_en,1,8.21827744904668e-05,1.187,2.2103335050502166,0.0,0.018716356352990772,1
x_aq_vidu_top/cpurst_b,3,0.0002465483234714004,0.5556666666666668,1.0347166394043,0.0,0.005410017194725519,1
x_aq_vidu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_fp_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_fp_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_fp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_inst_data[179:0],1220,0.10026298487836949,0.6841996311475409,1.2740601254156778,0.22213114754098362,,88
x_aq_vidu_top/idu_vidu_ex1_vec_dp_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_vec_gateclk_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/idu_vidu_ex1_vec_sel,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/ifu_vidu_warm_up,2,0.0001643655489809336,0.8842500000000002,1.6465774236231294,0.5,0.03042722312583149,1
x_aq_vidu_top/pad_yy_icg_scan_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/rtu_vidu_flush_wbt,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/rtu_yy_xx_async_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_cp0_vid_fof_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_dtu_debug_info[7:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_idu_fp_full,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_idu_vec_full,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_rtu_no_op,1,8.21827744904668e-05,1.187,2.2103335050502166,0.0,0.018716356352990772,1
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dp_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vidu_top/vidu_vpu_vid_fp_inst_dst_reg[5:0],803,0.06599276791584484,0.7053938605230387,1.3135262714159999,0.2577833125778331,-0.023134279775026644,5
