case,target,spearman,spearman_null95,pearson,pearson_null95,best_W
cache,tv,0.032,0.033,0.375,0.03,4
cache,maxstep,0.349,0.137,0.703,0.059,32
cache,range,0.374,0.141,0.681,0.061,32
cache,level,0.31,0.134,0.863,0.088,64
coremark,tv,0.125,0.094,0.29,0.152,512
coremark,maxstep,0.113,0.047,0.284,0.059,8
coremark,range,0.12,0.045,0.363,0.056,8
coremark,level,0.299,0.177,0.288,0.155,512
csr,tv,0.04,0.03,0.214,0.025,1
csr,maxstep,0.445,0.282,0.734,0.036,16
csr,range,0.464,0.281,0.696,0.039,16
csr,level,0.085,0.03,0.248,0.015,1
debug,tv,0.135,0.068,0.241,0.09,256
debug,maxstep,0.331,0.178,0.623,0.042,64
debug,range,0.645,0.265,0.499,0.062,256
debug,level,0.191,0.143,0.503,0.049,64
exception,tv,0.032,0.015,0.086,0.013,1
exception,maxstep,0.5,0.129,0.499,0.088,16
exception,range,0.531,0.141,0.479,0.081,16
exception,level,0.117,0.015,0.108,0.01,1
interrupt,tv,0.11,0.109,0.505,0.036,4
interrupt,maxstep,0.513,0.266,0.701,0.057,16
interrupt,range,0.53,0.266,0.664,0.06,16
interrupt,level,0.085,0.021,0.211,0.015,1
ISA_FP,tv,0.665,0.114,0.478,0.062,128
ISA_FP,maxstep,0.824,0.132,0.763,0.131,128
ISA_FP,range,0.832,0.11,0.829,0.115,64
ISA_FP,level,0.685,0.112,0.299,0.058,128
ISA_INT,tv,0.057,0.037,0.363,0.039,32
ISA_INT,maxstep,0.432,0.117,0.588,0.037,32
ISA_INT,range,0.474,0.127,0.671,0.037,32
ISA_INT,level,0.163,0.039,0.659,0.029,16
ISA_LS,tv,0.083,0.042,0.167,0.059,64
ISA_LS,maxstep,0.444,0.045,0.213,0.035,16
ISA_LS,range,0.479,0.046,0.232,0.038,16
ISA_LS,level,0.168,0.044,0.192,0.062,64
ISA_THEAD,tv,0.178,0.101,0.637,0.123,128
ISA_THEAD,maxstep,0.451,0.159,0.764,0.037,16
ISA_THEAD,range,0.501,0.18,0.749,0.038,16
ISA_THEAD,level,0.279,0.117,0.782,0.047,32
MMU,tv,0.006,0.02,0.172,0.024,1
MMU,maxstep,0.45,0.205,0.686,0.092,32
MMU,range,0.492,0.189,0.657,0.074,32
MMU,level,0.252,0.135,0.807,0.078,32
