signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_vpu_top/cp0_vpu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_vpu_xx_bf16,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_vpu_xx_dqnan,16,0.00022511431586352444,2.2604999999999995,1.3753027736931058,0.125,-0.02545328142776974,1
x_aq_vpu_top/cp0_vpu_xx_rm[2:0],152,0.002138586000703482,2.329657894736842,1.4173788827195848,0.13815789473684212,0.009217587459762127,3
x_aq_vpu_top/cp0_yy_clk_en,1,1.4069644741470277e-05,2.862,1.7412592516300245,0.0,0.004875198167273415,1
x_aq_vpu_top/cpurst_b,3,4.220893422441084e-05,1.553333333333334,0.9450580145115206,0.0,0.0032620886212251926,1
x_aq_vpu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/ifu_vpu_warm_up,2,2.8139289482940555e-05,8.55,5.201875122794099,1.0,0.07414490058658496,1
x_aq_vpu_top/lsu_vlsu_bytes_vld[7:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_data[63:0],42,0.0005909250791417517,2.9787857142857144,1.8123124331318485,0.2619047619047619,0.01101685852693215,59
x_aq_vpu_top/lsu_vlsu_data_grant,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_data_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_create_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_fld_req,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_fof,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_nf[2:0],2,2.8139289482940555e-05,8.099999999999998,4.928092221594407,1.0,0.028514681484399514,2
x_aq_vpu_top/lsu_vlsu_dc_sew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_split_cnt[9:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_sseg_first,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_stall,18,0.000253253605346465,2.3706666666666667,1.442328883949771,0.1111111111111111,-0.013461391883556363,1
x_aq_vpu_top/lsu_vlsu_dest_reg[4:0],32,0.00045022863172704887,3.9679062500000004,2.4140997440297336,0.375,-0.07902345747110691,4
x_aq_vpu_top/lsu_vlsu_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_func[19:0],30,0.00042208934224410833,4.016566666666667,2.4437050552488127,0.4,0.02769906788457843,4
x_aq_vpu_top/lsu_vlsu_sew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_split_last,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_expt,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_offset[3:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_sew[1:0],22,0.0003095321843123461,2.335136363636364,1.420712018518348,0.22727272727272727,0.08754730933397604,1
x_aq_vpu_top/lsu_vlsu_st_size[1:0],7,9.848751319029195e-05,2.5740000000000003,1.5660381948622233,0.0,0.08264579688608768,2
x_aq_vpu_top/lsu_vlsu_vl_update,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_vl_upval[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/pad_yy_icg_scan_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/rtu_vpu_gpr_wb_grnt,5300,0.07456911712979247,2.127582641509434,1.2944349958545587,0.10622641509433962,-0.16714258352836484,1
x_aq_vpu_top/rtu_yy_xx_async_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/rtu_yy_xx_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dp_vld,772,0.010861765740415055,3.81830829015544,2.323083380785737,0.35233160621761656,0.33027049579902873,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dst_reg[5:0],9935,0.1397819205065072,2.0368505284348264,1.239232993300016,0.09139406139909412,0.028640541714980743,5
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dst_vld,3365,0.047344354555047485,2.272453491827638,1.3825753551865227,0.1462109955423477,-0.04354499504734715,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dste_vld,630,0.008863876187126274,2.5263666666666666,1.5370577677648634,0.2920634920634921,0.03424118958736107,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dstf_reg[4:0],10559,0.14856137882518466,2.0371001041765315,1.2393848367903115,0.09309593711525713,0.06245140878011886,5
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dstf_vld,590,0.008301090397467464,2.976576271186441,1.810968193705727,0.2135593220338983,0.0478369231403148,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_eu[9:0],7795,0.10967288075976081,2.241950224502887,1.3640169706882117,0.14509300833867864,0.21627218640893317,6
x_aq_vpu_top/vidu_vpu_vid_fp_inst_func[19:0],12947,0.1821596904678157,2.0941666023016916,1.2741044621636737,0.10558430524445818,-0.007656176107530052,12
x_aq_vpu_top/vidu_vpu_vid_fp_inst_gateclk_vld,772,0.010861765740415055,3.8056230569948184,2.315365603147716,0.35233160621761656,0.2794138572489612,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_src1_data[63:0],12607,0.17737601125571578,2.1085174902831763,1.2828356349333685,0.11136670103910526,0.06377452947497982,63
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf0_data[63:0],9235,0.12993316918747802,2.1172713589604766,1.288161545073796,0.11315646995127233,0.07105178267149173,62
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf1_data[63:0],9053,0.12737249384453042,2.157896277477079,1.3128780074126325,0.11377443941234949,0.06670208719126502,62
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf2_data[63:0],7316,0.10293352092859655,2.1701737288135594,1.3203476879598315,0.11577364680153089,0.009718611238008544,62
