signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_vpu_top/cp0_vpu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_vpu_xx_bf16,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_vpu_xx_dqnan,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_vpu_xx_rm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_yy_clk_en,1,3.330114222917846e-05,2.862,1.9753228858777825,0.0,0.004988007030259691,1
x_aq_vpu_top/cpurst_b,3,9.990342668753538e-05,1.553333333333334,1.0720946480538631,0.0,-0.0005091736528365816,1
x_aq_vpu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/ifu_vpu_warm_up,2,6.660228445835692e-05,8.55,5.901121828880168,1.0,0.17944175952243305,1
x_aq_vpu_top/lsu_vlsu_bytes_vld[7:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_data[63:0],429,0.014286190016317559,1.5646759906759908,1.0799232331816129,0.14219114219114218,,58
x_aq_vpu_top/lsu_vlsu_data_grant,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_data_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_create_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_fld_req,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_fof,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_nf[2:0],2,6.660228445835692e-05,8.099999999999998,5.5905364694654205,1.0,0.0002704861125581384,2
x_aq_vpu_top/lsu_vlsu_dc_sew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_split_cnt[9:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_sseg_first,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_stall,196,0.006527023876918978,1.5798010204081634,1.0903623727272251,0.1326530612244898,0.015365579764862681,1
x_aq_vpu_top/lsu_vlsu_dest_reg[4:0],397,0.01322055346498385,1.674874055415617,1.1559808010570933,0.14105793450881612,0.0024943509928472586,5
x_aq_vpu_top/lsu_vlsu_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_func[19:0],294,0.009790535815378467,1.5450544217687077,1.0663806286675024,0.1360544217687075,-0.0017174845174452733,4
x_aq_vpu_top/lsu_vlsu_sew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_split_last,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_expt,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_offset[3:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_sew[1:0],81,0.0026973925205634555,1.4227901234567903,0.9819950708123946,0.13580246913580246,0.018012787567183403,2
x_aq_vpu_top/lsu_vlsu_st_size[1:0],105,0.0034966199340637385,1.3446190476190478,0.9280422004014999,0.09523809523809523,-0.0018489695488360775,2
x_aq_vpu_top/lsu_vlsu_vl_update,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_vl_upval[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/pad_yy_icg_scan_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/rtu_vpu_gpr_wb_grnt,1062,0.03536581304738753,1.4097457627118646,0.9729919875450649,0.05555555555555555,-0.007722648853950727,1
x_aq_vpu_top/rtu_yy_xx_async_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/rtu_yy_xx_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dp_vld,20,0.0006660228445835693,3.13685,2.165021521511433,0.95,0.12273902607606196,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dst_reg[5:0],2439,0.08122148589696626,1.4644637146371464,1.010757753689848,0.07462074620746208,0.015605875652682415,5
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dst_vld,935,0.03113656798428186,1.5050716577540109,1.0387849372632811,0.07807486631016043,0.0030599235942554022,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dste_vld,8,0.00026640913783342767,1.084625,0.7485969899004855,0.0,0.0007580868950853868,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dstf_reg[4:0],2439,0.08122148589696626,1.4641931119311196,1.0105709864927148,0.07257072570725707,0.01673656121770118,5
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dstf_vld,20,0.0006660228445835693,1.6424999999999996,1.1336365618638213,0.2,0.0006803991595037275,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_eu[9:0],1512,0.050351327050517834,1.4894312169312172,1.0279900662980535,0.0873015873015873,0.07548216699999781,6
x_aq_vpu_top/vidu_vpu_vid_fp_inst_func[19:0],3390,0.11289087215691498,1.466367551622419,1.0120717623439324,0.06637168141592921,0.002170107981978447,11
x_aq_vpu_top/vidu_vpu_vid_fp_inst_gateclk_vld,16,0.0005328182756668553,3.69125,2.5476626843103998,0.9375,0.1261783958528158,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_src1_data[63:0],3538,0.1178194412068334,1.474381288863765,1.017602761146952,0.06896551724137931,0.015891299399598737,64
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf0_data[63:0],132,0.0043957507742515564,1.6381136363636366,1.1306091389159911,0.2803030303030303,0.01912164284602528,47
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf1_data[63:0],331,0.01102267807785807,1.630558912386707,1.125394946334538,0.18731117824773413,-5.500609221731895e-05,47
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf2_data[63:0],272,0.009057910686336542,1.6176323529411767,1.1164731683092357,0.18382352941176472,-0.006759686047914851,47
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf2_rdy,17,0.0005661194178960339,3.626764705882353,2.5031555993093,0.6470588235294118,-0.10798575506734688,1
