signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_vpu_top/cp0_vpu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_vpu_xx_bf16,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_vpu_xx_dqnan,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_vpu_xx_rm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_yy_clk_en,1,1.6721597113183475e-06,2.862,1.9222635042703828,0.0,0.0014716750430019256,1
x_aq_vpu_top/cpurst_b,3,5.016479133955042e-06,1.553333333333334,1.0432969869438606,0.0,0.0004757089138752603,1
x_aq_vpu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/ifu_vpu_warm_up,2,3.344319422636695e-06,8.55,5.742611097663094,1.0,0.0360893796084715,1
x_aq_vpu_top/lsu_vlsu_bytes_vld[7:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_data[63:0],196925,0.32929005115136556,1.466913784435699,0.985253260563206,0.009521391392662181,,61
x_aq_vpu_top/lsu_vlsu_data_grant,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_data_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_create_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_fld_req,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_fof,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_nf[2:0],2,3.344319422636695e-06,8.099999999999998,5.440368408312402,1.0,0.004751748231104396,2
x_aq_vpu_top/lsu_vlsu_dc_sew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_split_cnt[9:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_sseg_first,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_stall,92,0.00015383869344128795,1.59775,1.073129459800141,0.0,-0.006897050868609556,1
x_aq_vpu_top/lsu_vlsu_dest_reg[4:0],165025,0.2759481563603103,1.4701482320860475,0.9874256786885512,0.010986214209968186,-0.013754219564693228,5
x_aq_vpu_top/lsu_vlsu_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_func[19:0],76454,0.12784329856913293,1.4730182985847702,0.9893533600600829,0.011784864101289665,0.004572636230799667,4
x_aq_vpu_top/lsu_vlsu_sew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_split_last,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_expt,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_offset[3:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_sew[1:0],24,4.013183307164034e-05,3.939,2.6456310074496985,0.625,0.08664011824101117,2
x_aq_vpu_top/lsu_vlsu_st_size[1:0],56205,0.09398373657464772,1.4872997242238237,0.9989454855998816,0.0240725914064585,0.01892246006827558,2
x_aq_vpu_top/lsu_vlsu_vl_update,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_vl_upval[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/pad_yy_icg_scan_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/rtu_vpu_gpr_wb_grnt,98106,0.16404890063859778,1.4874576070780585,0.9990515276853622,0.024646810592624305,0.04640598883728791,1
x_aq_vpu_top/rtu_yy_xx_async_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/rtu_yy_xx_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dp_vld,20,3.344319422636695e-05,5.37935,3.613042691019176,0.95,0.06926257082824343,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dst_reg[5:0],474483,0.7934113563054634,1.4730909537327996,0.9894021589208286,0.014695995430816278,-0.052981885137920647,5
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dst_vld,106965,0.17886256352116703,1.4760114429953723,0.9913637067629171,0.015780862899079137,-0.008704678703214832,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dste_vld,162,0.00027088987323357227,1.9190802469135797,1.2889510553487662,0.08024691358024691,0.03523836651940755,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dstf_reg[4:0],457163,0.7644495501054297,1.4701049253767255,0.9873965917190125,0.012724126843160974,-0.05022837935458467,5
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dstf_vld,1058,0.0017691449745748115,1.5673572778827976,1.0527161752014935,0.026465028355387523,-0.001256497857774293,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_eu[9:0],297714,0.4978253562954305,1.4752590002485608,0.9908583282754088,0.015454429418838215,0.004561857198014115,6
x_aq_vpu_top/vidu_vpu_vid_fp_inst_func[19:0],491872,0.8224885415255782,1.4726149791002539,0.989082470358599,0.014450914058942164,0.056613830815519024,12
x_aq_vpu_top/vidu_vpu_vid_fp_inst_gateclk_vld,20,3.344319422636695e-05,5.46665,3.6716777727532097,0.95,0.06976609620789963,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_src1_data[63:0],433609,0.7250635002650373,1.4740099928737642,0.9900194319465702,0.014775984815813326,0.04481959771553112,64
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf0_data[63:0],11362,0.018999078639999063,2.2712553247667664,1.525489594576845,0.5338848794226368,0.2947650223484958,40
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf1_data[63:0],11250,0.018811796752331408,2.2491533333333336,1.5106447827305192,0.5099555555555556,0.3130159284093,40
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf2_data[63:0],9935,0.01661290673194778,2.247972622043281,1.5098517574957366,0.5157523905385003,0.2978843687229484,40
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf2_rdy,1,1.6721597113183475e-06,0.6180000000000012,0.41507996004161385,0.0,0.001118349368106027,1
