signal,n_edges,edge_rate,impact_mW,lift,spec,lvl_corr,max_hamming
x_aq_vpu_top/cp0_vpu_icg_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_vpu_xx_bf16,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_vpu_xx_dqnan,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_vpu_xx_rm[2:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/cp0_yy_clk_en,3,0.0008422234699606962,1.8753333333333335,1.2826556700313014,0.0,0.01384954899765562,1
x_aq_vpu_top/cpurst_b,3,0.0008422234699606962,1.553333333333334,1.062420089290058,0.0,0.00010898744143179547,1
x_aq_vpu_top/forever_cpuclk,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/ifu_vpu_warm_up,2,0.0005614823133071309,8.55,5.847870233967806,1.0,0.4689798504028561,1
x_aq_vpu_top/lsu_vlsu_bytes_vld[7:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_data[63:0],8,0.0022459292532285235,2.391625,1.6357792571126613,0.5,-0.0010587631187284475,10
x_aq_vpu_top/lsu_vlsu_data_grant,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_data_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_create_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_fld_req,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_fof,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_nf[2:0],2,0.0005614823133071309,8.099999999999998,5.540087590074762,1.0,0.014731884200548603,2
x_aq_vpu_top/lsu_vlsu_dc_sew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_split_cnt[9:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_sseg_first,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_dc_stall,10,0.002807411566535654,0.9879000000000001,0.6756854975598592,0.2,-0.0063034780660219565,1
x_aq_vpu_top/lsu_vlsu_dest_reg[4:0],35,0.009825940482874789,1.9974285714285718,1.3661641037817525,0.37142857142857144,0.012576964407381885,3
x_aq_vpu_top/lsu_vlsu_expt_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_func[19:0],20,0.005614823133071308,2.4631499999999997,1.684699598455883,0.4,0.008398311183925228,4
x_aq_vpu_top/lsu_vlsu_sew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_split_last,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_expt,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_offset[3:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_sew[1:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_st_size[1:0],6,0.0016844469399213925,1.7904999999999998,1.224632941978872,0.3333333333333333,-0.015757500326420454,1
x_aq_vpu_top/lsu_vlsu_vl_update,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/lsu_vlsu_vl_upval[6:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/pad_yy_icg_scan_en,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/rtu_vpu_gpr_wb_grnt,114,0.032004491858506456,1.4419298245614034,0.9862243860260879,0.11403508771929824,0.01118693882479607,1
x_aq_vpu_top/rtu_yy_xx_async_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/rtu_yy_xx_flush,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dp_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dst_reg[5:0],172,0.04828747894441325,1.5304418604651162,1.0467632047523114,0.18604651162790697,0.015261781122973845,4
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dst_vld,37,0.010387422796181921,1.6400270270270272,1.1217152320764991,0.21621621621621623,0.008624816892086965,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dste_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dstf_reg[4:0],133,0.0373385738349242,1.489827067669173,1.0189842529569704,0.19548872180451127,0.03668344053574006,4
x_aq_vpu_top/vidu_vpu_vid_fp_inst_dstf_vld,2,0.0005614823133071309,0.4464999999999999,0.30538877888498533,0.5,0.0019262033829266778,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_eu[9:0],118,0.03312745648512072,1.4473898305084743,0.9899588195062239,0.1694915254237288,-0.008161354707199213,3
x_aq_vpu_top/vidu_vpu_vid_fp_inst_func[19:0],196,0.055025266704098824,1.4613163265306124,0.9994840056525787,0.21428571428571427,0.03216494365470871,10
x_aq_vpu_top/vidu_vpu_vid_fp_inst_gateclk_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vidu_vpu_vid_fp_inst_src1_data[63:0],206,0.05783267827063447,1.5135582524271842,1.0352154680403816,0.2087378640776699,0.002634746943075084,62
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf0_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf1_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf2_data[63:0],0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf2_rdy,1,0.00028074115665356543,0.6180000000000012,0.42268816427977907,0.0,0.00942287562838341,1
x_aq_vpu_top/vidu_vpu_vid_fp_inst_srcf2_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vidu_vpu_vid_fp_inst_vld,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vlsu_buf_stall,0,0.0,0.0,0.0,0.0,,0
x_aq_vpu_top/vlsu_dtu_data[63:0],0,0.0,0.0,0.0,0.0,,0
